date,time,open price,high price,low price,close price,volume,adjusted price
20130702,0,0.06,0.06,0.05,0.06,170000,0.06
20130701,0,0.06,0.06,0.06,0.06,0,0.06
20130628,0,0.06,0.06,0.06,0.06,105000,0.06
20130627,0,0.06,0.06,0.06,0.06,201000,0.06
20130626,0,0.06,0.07,0.05,0.06,1785000,0.06
20130625,0,0.05,0.05,0.05,0.05,140000,0.05
20130624,0,0.06,0.06,0.05,0.06,1267000,0.06
20130621,0,0.06,0.06,0.05,0.05,220000,0.05
20130620,0,0.06,0.06,0.06,0.06,400000,0.06
20130619,0,0.06,0.06,0.06,0.06,36000,0.06
20130618,0,0.06,0.06,0.06,0.06,2270000,0.06
20130617,0,0.06,0.06,0.06,0.06,0,0.06
20130614,0,0.06,0.06,0.06,0.06,0,0.06
20130613,0,0.06,0.06,0.06,0.06,0,0.06
20130612,0,0.06,0.06,0.06,0.06,0,0.06
20130611,0,0.06,0.06,0.06,0.06,0,0.06
20130610,0,0.05,0.06,0.05,0.06,340000,0.06
20130607,0,0.06,0.06,0.06,0.06,445000,0.06
20130606,0,0.06,0.06,0.06,0.06,460000,0.06
20130605,0,0.05,0.07,0.05,0.06,3250000,0.06
20130604,0,0.05,0.06,0.05,0.06,520000,0.06
20130603,0,0.06,0.06,0.06,0.06,755000,0.06
20130531,0,0.07,0.07,0.06,0.06,923000,0.06
20130530,0,0.06,0.06,0.06,0.06,390000,0.06
20130529,0,0.06,0.07,0.06,0.06,1480000,0.06
20130528,0,0.06,0.06,0.06,0.06,293000,0.06
20130527,0,0.06,0.06,0.05,0.06,2578000,0.06
20130524,0,0.06,0.06,0.06,0.06,610000,0.06
20130523,0,0.06,0.06,0.06,0.06,350000,0.06
20130522,0,0.06,0.06,0.06,0.06,510000,0.06
20130521,0,0.06,0.06,0.06,0.06,410000,0.06
20130520,0,0.06,0.06,0.06,0.06,1009000,0.06
20130517,0,0.06,0.06,0.06,0.06,0,0.06
20130516,0,0.06,0.06,0.06,0.06,1350000,0.06
20130515,0,0.06,0.06,0.06,0.06,1309000,0.06
20130514,0,0.06,0.06,0.06,0.06,2678000,0.06
20130513,0,0.06,0.06,0.06,0.06,999000,0.06
20130510,0,0.06,0.07,0.06,0.06,466000,0.06
20130509,0,0.06,0.06,0.06,0.06,1112000,0.06
20130508,0,0.06,0.06,0.06,0.06,621000,0.06
20130507,0,0.06,0.06,0.05,0.06,1049000,0.06
20130506,0,0.06,0.06,0.06,0.06,58000,0.06
20130503,0,0.06,0.07,0.06,0.06,5527000,0.06
20130502,0,0.06,0.06,0.06,0.06,2225000,0.06
20130501,0,0.06,0.06,0.06,0.06,0,0.06
20130430,0,0.06,0.06,0.06,0.06,5000,0.06
20130429,0,0.05,0.06,0.05,0.05,740000,0.05
20130426,0,0.05,0.06,0.05,0.05,1783000,0.05
