date,time,open price,high price,low price,close price,volume,adjusted price
20130702,0,12.76,12.87,12.76,12.87,1000,12.87
20130701,0,12.99,12.99,12.99,12.99,0,12.99
20130628,0,12.99,13,12.5,12.99,800,12.99
20130627,0,12.99,12.99,12.99,12.99,0,12.99
20130626,0,12.59,12.99,12.59,12.99,200,12.99
20130625,0,12.98,12.98,12.3,12.59,1100,12.59
20130624,0,13.04,13.04,12.4,12.98,400,12.98
20130621,0,12.88,13.04,12.88,13.04,100,13.04
20130620,0,13.09,13.09,12.5,12.88,0,12.88
20130619,0,13.01,13.09,13.01,13.09,100,13.09
20130618,0,13.01,13.01,13.01,13.01,0,13.01
20130617,0,12.6,13.01,12.51,13.01,600,13.01
20130614,0,12.71,13.01,12.6,13.01,200,13.01
20130613,0,12.81,12.81,12.6,12.6,100,12.6
20130612,0,12.81,12.81,12.8,12.8,0,12.8
20130611,0,12.8,12.8,12.8,12.8,0,12.8
20130610,0,13,13,13,13,100,13
20130607,0,12.99,13.04,12.6,13.04,2100,13.04
20130606,0,12.6,12.8,12.6,12.8,100,12.8
20130605,0,12.79,12.79,12.79,12.79,0,12.79
20130604,0,12.79,12.79,12.79,12.79,0,12.79
20130603,0,12.8,12.8,12.7,12.8,500,12.8
20130531,0,12.65,13.01,12.65,13,1000,13
20130530,0,12.61,12.65,12.61,12.65,200,12.65
20130529,0,12.6,12.61,12.6,12.6,1500,12.6
20130528,0,12.64,12.65,12.5,12.65,1600,12.65
20130527,0,12.64,12.64,12.64,12.64,0,12.64
20130524,0,12.76,12.76,12.3,12.75,400,12.75
20130523,0,12.98,12.98,12.76,12.76,0,12.76
20130522,0,12.77,13,12.77,13,1100,13
20130521,0,12.95,12.95,12.76,12.76,300,12.76
20130520,0,12.96,12.96,12.96,12.96,100,12.96
20130517,0,13,13.3,13,13.3,600,13.3
20130516,0,13.3,13.3,13.3,13.3,0,13.3
20130515,0,13.5,13.54,13.07,13.29,800,13.29
20130514,0,13.49,13.5,13.23,13.5,300,13.5
20130513,0,13.35,13.5,13.3,13.5,1600,13.5
20130510,0,13.49,13.5,13.35,13.5,1200,13.5
20130509,0,13.49,13.49,13.49,13.49,0,13.49
20130508,0,13.49,13.49,13.49,13.49,0,13.49
20130507,0,13.49,13.49,13.37,13.49,200,13.49
20130506,0,13.63,13.63,13.63,13.63,0,13.63
20130503,0,13.35,13.64,13.35,13.64,800,13.64
20130502,0,13.49,13.49,13.31,13.35,1200,13.35
20130501,0,13.64,13.64,13.64,13.64,0,13.64
20130430,0,13.64,13.64,13.64,13.64,0,13.64
20130429,0,13.59,13.64,13.31,13.64,500,13.64
20130426,0,13.5,13.64,13.31,13.64,0,13.64
20130425,0,13.64,13.64,13.5,13.5,2000,13.5
20130424,0,13.59,13.69,13.31,13.69,100,13.69
20130423,0,13.69,13.69,13.31,13.59,4200,13.59
20130422,0,13.69,13.69,13.69,13.69,0,13.69
20130419,0,13.69,13.69,13.69,13.69,0,13.69
20130418,0,13.7,13.7,13.69,13.69,0,13.69
20130417,0,13.74,13.74,13.74,13.74,0,13.74
20130416,0,13.57,13.79,13.57,13.79,600,13.79
20130415,0,13.53,13.74,13.53,13.74,800,13.74
20130412,0,14.11,14.11,13.52,13.58,400,13.58
20130411,0,14.18,14.26,13.9,14.11,56500,14.11
20130410,0,14.29,14.29,14.18,14.18,4500,14.18
20130409,0,14.29,14.29,14.29,14.29,0,14.29
20130408,0,14.01,14.3,13.85,14.3,300,14.3
20130405,0,14.29,14.29,14,14,100,14
20130404,0,14.29,14.3,14.29,14.3,0,14.3
20130403,0,14.1,14.3,14.1,14.3,100,14.3
20130402,0,14.5,14.5,13.6,14.1,500,14.1
20130401,0,13.64,13.64,13.64,13.64,0,13.64
20130329,0,13.64,13.64,13.64,13.64,0,13.64
20130328,0,14.74,14.74,13.64,13.64,700,13.64
20130327,0,14.5,14.75,14.3,14.75,1100,14.75
20130326,0,14.64,14.64,14.3,14.5,600,14.5
