date,time,open price,high price,low price,close price,volume,adjusted price
20130702,0,5.31,5.32,5.28,5.32,18000,5.32
20130701,0,5.22,5.36,5.22,5.32,9100,5.32
20130628,0,5.2,5.26,5.06,5.2,13900,5.2
20130627,0,5.25,5.3,5.11,5.25,9200,5.25
20130626,0,5.1,5.34,5.1,5.3,16500,5.3
20130625,0,4.98,5.17,4.98,5.14,17300,5.14
20130624,0,5.24,5.24,4.98,5.04,24300,5.04
20130621,0,5.13,5.25,5.11,5.24,10900,5.24
20130620,0,5.21,5.25,5.1,5.18,26200,5.18
20130619,0,5.23,5.25,5.22,5.22,8700,5.22
20130618,0,5.18,5.2,5.14,5.2,10300,5.2
20130617,0,5.27,5.27,5,5.2,22900,5.2
20130614,0,5.17,5.31,5.17,5.29,13500,5.29
20130613,0,5.1,5.18,5.1,5.16,2500,5.16
20130612,0,4.96,5.11,4.93,5.09,9200,5.09
20130611,0,5,5.05,4.95,4.96,21000,4.96
20130610,0,5.03,5.14,4.98,5.04,12900,5.04
20130607,0,5.13,5.16,4.88,5.09,27300,5.09
20130606,0,5.2,5.33,5.14,5.14,41300,5.14
20130605,0,5.16,5.34,5.16,5.19,11800,5.19
20130604,0,5.25,5.3,5.18,5.23,21100,5.23
20130603,0,5.43,5.7,5.13,5.23,35300,5.23
20130531,0,5.45,5.7,5.45,5.55,22600,5.29
20130530,0,5.18,5.45,5.18,5.45,31500,5.19
20130529,0,5.46,5.58,5.25,5.28,46200,5.03
20130528,0,5.53,5.6,5.39,5.46,21000,5.2
20130524,0,5.67,5.7,5.41,5.48,36400,5.22
20130523,0,5.5,5.69,5.36,5.64,18400,5.38
20130522,0,5.74,5.74,5.45,5.5,54900,5.24
20130521,0,5.66,5.75,5.66,5.75,54400,5.48
20130520,0,5.58,5.75,5.58,5.75,50500,5.48
20130517,0,5.7,5.7,5.64,5.64,12200,5.38
20130516,0,5.7,5.75,5.67,5.7,51100,5.43
20130515,0,5.49,5.66,5.48,5.61,13500,5.35
20130514,0,5.47,5.58,5.47,5.54,16200,5.28
20130513,0,5.24,5.62,5.24,5.44,93100,5.19
20130510,0,5.2,5.26,5.2,5.24,24400,4.99
20130509,0,5.18,5.27,5.18,5.19,39500,4.95
20130508,0,5.19,5.2,5.15,5.16,28500,4.92
20130507,0,5.07,5.16,5.07,5.12,24200,4.88
20130506,0,5.05,5.14,5.05,5.09,23900,4.85
20130503,0,5.08,5.1,5.01,5.04,9900,4.8
20130502,0,5.08,5.1,5,5.1,6200,4.86
20130501,0,5,5.09,5,5.09,12100,4.85
20130430,0,4.93,5.05,4.9,5.01,9200,4.78
20130429,0,5.02,5.07,4.94,4.97,44700,4.74
20130426,0,4.92,5.12,4.92,5.1,7200,4.86
20130425,0,5.11,5.12,5.06,5.12,14800,4.88
20130424,0,5.14,5.15,5.07,5.12,21700,4.88
20130423,0,5.03,5.15,5.01,5.1,13100,4.86
20130422,0,4.97,5.11,4.97,5.11,18300,4.87
20130419,0,5.1,5.1,5.03,5.1,26200,4.86
20130418,0,5.01,5.1,5,5.08,28700,4.84
20130417,0,5.08,5.2,5.08,5.08,11200,4.84
20130416,0,4.95,5.18,4.94,5.11,8600,4.87
20130415,0,4.97,5.13,4.97,5.08,7000,4.84
20130412,0,5.08,5.2,4.97,4.97,21100,4.74
20130411,0,5.04,5.28,5.04,5.16,16100,4.92
20130410,0,5.03,5.25,4.98,5,30100,4.77
20130409,0,5.16,5.23,4.98,5.09,33600,4.85
20130408,0,5.3,5.3,5.16,5.16,13100,4.92
20130405,0,5,5.2,5,5.13,10000,4.89
20130404,0,5.1,5.2,5.08,5.09,19900,4.85
20130403,0,5.21,5.25,5.14,5.17,13800,4.93
20130402,0,5.4,5.45,5.1,5.15,33300,4.91
20130401,0,5.06,5.45,5.01,5.39,28500,5.14
20130328,0,5.16,5.25,4.97,5.05,15800,4.81
20130327,0,4.73,5.2,4.71,5.11,9900,4.87
20130326,0,4.78,4.89,4.78,4.87,9800,4.64
20130325,0,4.67,4.83,4.67,4.82,5300,4.59
20130322,0,4.7,4.7,4.64,4.7,3900,4.48
20130321,0,4.75,4.82,4.65,4.7,8200,4.48
20130320,0,4.76,4.88,4.76,4.76,5800,4.54
20130319,0,4.85,4.9,4.75,4.83,7200,4.6
20130318,0,4.89,4.92,4.85,4.89,7100,4.66
20130315,0,4.86,4.98,4.85,4.91,16800,4.68
20130314,0,4.82,4.91,4.8,4.83,24800,4.6
20130313,0,5.13,5.13,4.8,4.84,23400,4.61
