date,time,open price,high price,low price,close price,volume,adjusted price
20130702,0,24.7,24.77,24.3,24.41,18394100,24.41
20130701,0,24.97,25.06,24.62,24.81,20582200,24.81
20130628,0,24.68,24.98,24.42,24.88,96778900,24.88
20130627,0,24.24,24.84,24.21,24.66,34694100,24.66
20130626,0,24.51,24.65,23.99,24.16,29890300,24.16
20130625,0,24.14,24.43,24.04,24.25,24713200,24.25
20130624,0,23.95,24.11,23.38,23.94,40626000,23.94
20130621,0,24.59,24.7,24.05,24.53,45833900,24.53
20130620,0,24.28,24.75,23.65,23.9,42765600,23.9
20130619,0,24.2,25.19,24.1,24.31,31790600,24.31
20130618,0,24.09,24.69,24.08,24.21,36709100,24.21
20130617,0,23.91,24.25,23.75,24.02,33664500,24.02
20130614,0,23.56,23.89,23.26,23.63,30677100,23.63
20130613,0,23.72,23.83,23.27,23.73,31189300,23.73
20130612,0,24.16,24.26,23.58,23.77,26445800,23.77
20130611,0,24.03,24.35,24,24.03,29885900,24.03
20130610,0,24.06,24.6,23.99,24.33,58393000,24.33
20130607,0,23.03,23.4,22.86,23.29,38699200,23.29
20130606,0,22.99,23.09,22.67,22.97,31260700,22.97
20130605,0,23.35,23.71,22.79,22.9,53819700,22.9
20130604,0,23.89,23.93,23.32,23.52,34760800,23.52
20130603,0,24.27,24.32,23.71,23.85,35733800,23.85
20130531,0,24.63,24.95,24.27,24.35,35925000,24.35
20130530,0,24.13,24.78,23.93,24.55,60733200,24.55
20130529,0,23.79,23.81,23.26,23.32,64237800,23.32
20130528,0,24.54,24.54,23.92,24.1,50079700,24.1
20130524,0,24.97,24.97,24.08,24.31,58727900,24.31
20130523,0,24.8,25.53,24.77,25.06,37663100,25.06
20130522,0,25.65,25.85,24.92,25.16,45314500,25.16
20130521,0,25.87,26.08,25.59,25.66,26261300,25.66
20130520,0,26.18,26.19,25.69,25.76,42402900,25.76
20130517,0,26.4,26.6,26.2,26.25,29462700,26.25
20130516,0,26.48,26.55,25.9,26.13,35499100,26.13
20130515,0,26.92,26.99,26.4,26.6,30299800,26.6
20130514,0,26.89,27.28,26.82,27.07,24930300,27.07
20130513,0,26.6,27.33,26.53,26.82,29068800,26.82
20130510,0,27.14,27.3,26.57,26.68,30847100,26.68
20130509,0,27.08,27.55,26.85,27.04,33457200,27.04
20130508,0,26.88,27.3,26.65,27.12,34654900,27.12
20130507,0,27.55,27.85,26.85,26.89,41259100,26.89
20130506,0,28.33,28.46,27.48,27.57,43939400,27.57
20130503,0,29.04,29.07,28.15,28.31,58506400,28.31
20130502,0,28.01,29.02,27.98,28.97,104257000,28.97
20130501,0,27.85,27.92,27.31,27.43,64567600,27.43
20130430,0,27.13,27.85,27.01,27.77,36245700,27.77
20130429,0,27.16,27.41,26.86,26.98,29201100,26.98
20130426,0,26.6,27.62,26.6,26.85,33018000,26.85
20130425,0,26.07,26.4,26,26.14,17150000,26.14
20130424,0,25.93,26.4,25.8,26.11,19729900,26.11
20130423,0,26.22,26.33,25.77,25.98,25191500,25.98
20130422,0,25.81,26.36,25.7,25.97,25687600,25.97
20130419,0,25.62,25.96,25.33,25.73,20380900,25.73
20130418,0,26.82,26.82,25.15,25.69,39059000,25.69
20130417,0,26.65,27.2,26.39,26.63,26440600,26.63
20130416,0,26.81,27.11,26.4,26.92,27365900,26.92
20130415,0,27.16,27.48,26.36,26.52,30275400,26.52
20130412,0,28,28,27.24,27.4,28697400,27.4
20130411,0,27.48,28.1,27.25,28.02,33368500,28.02
20130410,0,27.01,27.84,26.9,27.57,45949400,27.57
20130409,0,26.58,26.89,26.42,26.59,21311100,26.59
20130408,0,27.19,27.2,26.63,26.85,27256000,26.85
20130405,0,26.86,27.8,26.61,27.39,64566600,27.39
20130404,0,26.62,27.23,26.11,27.07,82016800,27.07
20130403,0,25.83,26.39,25.7,26.25,48195200,26.25
