date,time,open price,high price,low price,close price,volume,adjusted price
20130702,0,49.6,50.8,47.1,47.9,2900,46.84
20130701,0,49.5,50.5,49.5,49.95,0,48.84
20130628,0,49.5,50.75,48,48.85,900,47.76
20130627,0,49.5,49.5,48.25,48.5,400,47.42
20130626,0,49.5,50.8,48.2,48.85,100,47.76
20130625,0,49.5,49.5,47.6,49,300,47.91
20130624,0,51.75,51.8,47.5,48.2,1700,47.13
20130621,0,51.9,57,43.05,48,0,46.93
20130620,0,49.75,50.7,49.75,50,100,48.89
20130619,0,49.5,50.7,48.45,49.8,200,48.69
20130618,0,49.5,49.5,47.3,49.3,0,48.2
20130617,0,49.7,49.7,48,48.2,100,47.13
20130614,0,49.7,49.7,47.85,48.5,400,47.42
20130613,0,49.75,49.8,48,48.1,200,47.03
20130612,0,49.8,49.9,47.5,49.5,2400,48.4
20130611,0,49.8,49.8,47.4,48.75,200,47.67
20130610,0,49.8,49.8,47.75,48.95,0,47.86
20130607,0,49.9,49.9,48.9,48.95,0,47.86
20130606,0,49.8,49.8,47.75,49.15,500,48.06
20130605,0,49.8,49.8,49,49,0,47.91
20130604,0,46.7,50,46.7,47.75,0,46.69
20130603,0,49,50.35,47.2,50.35,100,49.23
20130531,0,49.5,49.5,47.5,48.45,1000,47.37
20130530,0,49,49.6,47.7,47.7,200,46.64
20130529,0,49.75,49.75,47.15,48.9,100,47.81
20130528,0,47.5,49.85,47.5,49,0,47.91
20130527,0,49.8,49.8,47.45,49.35,100,48.25
20130524,0,49.8,49.8,49.8,49.8,0,48.69
20130523,0,47.7,49.8,47.7,49.8,0,48.69
20130522,0,49.8,49.8,49.8,49.8,0,48.69
20130521,0,49.8,49.8,49.65,49.65,0,48.55
20130520,0,50,50,47.55,47.65,100,46.59
20130517,0,49,49,47.4,47.4,500,46.35
20130516,0,49.8,49.8,47.4,48.1,100,47.03
20130515,0,50,50,47.6,49.5,500,48.4
20130514,0,47.55,50.8,47.55,49,100,47.91
20130513,0,51.15,51.15,51.15,51.15,0,50.01
20130510,0,47.6,47.8,47.6,47.8,100,46.74
20130509,0,47.55,49.5,47.55,47.6,200,46.54
20130508,0,49.5,49.5,49.5,49.5,0,48.4
20130507,0,49.5,49.5,49.5,49.5,0,48.4
20130506,0,49.7,51,49.7,50.3,0,49.18
20130503,0,50.75,50.75,48,48,0,46.93
20130502,0,49.8,49.8,47.1,48.55,300,47.47
20130501,0,47,47,47,47,0,45.96
20130430,0,47,47,47,47,100,45.96
20130429,0,49.8,49.8,47,47,100,45.96
20130426,0,47.45,57.35,47,47.05,1900,46
20130425,0,47.1,49.9,47.1,47.8,0,46.74
20130424,0,49.8,49.8,49.8,49.8,0,48.69
20130423,0,49.25,49.8,47.5,49.8,200,48.69
20130422,0,47.15,49.8,47.15,48.3,200,47.23
20130419,0,48.3,48.3,48.3,48.3,0,47.23
20130418,0,49.8,49.8,47.2,48.3,500,47.23
20130417,0,49.75,49.8,47.15,48.5,400,47.42
20130416,0,49.8,49.8,47.15,48.15,100,47.08
20130415,0,47,49.7,45.6,47.25,1300,46.2
20130412,0,49.4,49.4,48,48.35,0,47.28
20130411,0,48.35,48.35,48.35,48.35,0,47.28
20130410,0,49.4,49.4,47,48.35,0,47.28
20130409,0,47.1,48.75,47.05,47.2,100,46.15
20130408,0,49.55,49.55,49.55,49.55,0,48.45
20130405,0,49.6,49.75,47.5,48.9,400,47.81
20130404,0,49.2,49.2,49.2,49.2,0,48.11
20130403,0,48,49.5,48,49.2,0,48.11
20130402,0,47.45,47.7,47.45,47.65,0,46.59
20130401,0,47.15,49.9,47.1,47.6,0,46.54
20130329,0,49,49,49,49,0,47.91
20130328,0,46,49.5,46,49,300,47.91
20130327,0,47.25,47.25,47.25,47.25,0,46.2
20130326,0,47.3,47.95,47.2,47.25,800,46.2
20130325,0,47.1,49,47.1,48.05,300,46.98
20130322,0,47,49.4,47,47.5,400,46.44
20130321,0,49.75,49.75,47.35,47.65,1000,46.59
20130320,0,47.1,50.85,47.1,49.55,1700,48.45
20130319,0,50.3,50.3,47.3,48.7,200,47.62
20130318,0,47.5,49.9,47.5,49,900,47.91
20130315,0,47.1,50,47,49.65,500,48.55
20130314,0,47.5,49.95,47.5,49.85,100,48.74
20130313,0,47.8,50,47.25,48.6,400,47.52
20130312,0,47.25,49.5,47.2,49.4,100,48.3
20130311,0,47.2,50,47.2,48.3,200,47.23
20130308,0,49.4,49.75,47.4,48.5,100,47.42
20130307,0,47.5,49.85,47.5,47.6,200,46.54
20130306,0,50.9,50.9,48,48.05,400,46.98
20130305,0,50.25,50.25,50.25,50.25,0,49.13
20130304,0,51.05,51.05,50.25,50.25,0,49.13
20130301,0,48.35,51.85,48.35,51.85,400,50.7
20130228,0,50,50,50,50,0,48.89
20130227,0,49.5,50.9,49,50,400,48.89
20130226,0,50.8,50.8,48.2,49.75,2900,48.64
20130225,0,48.7,50.65,48,50,1400,48.89
20130222,0,48.6,50,48.6,50,200,48.89
20130221,0,48.85,50.3,48.85,50.15,200,49.04
20130220,0,50,50,50,50,0,48.89
20130219,0,51.45,52.9,49,50.55,1700,49.43
20130218,0,49.15,49.15,49,49,400,47.91
20130215,0,49.5,50,47.5,50,900,48.89
20130214,0,51.75,51.75,50,50.2,800,49.08
20130213,0,51,51.9,48.75,49.75,500,48.64
20130212,0,49,50.95,49,50.3,1200,49.18
20130211,0,50,51.85,49.7,50,200,48.89
20130208,0,49.05,51,49.05,50,0,48.89
20130207,0,51.65,51.8,49.5,50,0,48.89
20130206,0,53.85,53.9,48.3,50.55,200,49.43
20130205,0,52.8,52.85,47,47.95,0,46.88
20130204,0,51.95,51.95,50,50.5,100,49.38
20130201,0,52.3,52.85,49.3,50.05,200,48.94
20130131,0,52.95,53,49.05,49.55,100,48.45
20130130,0,48.85,53.4,48.85,50,200,48.89
20130129,0,50,50,50,50,0,48.89
20130128,0,46,50.8,46,49.8,400,48.69
20130125,0,42.25,50.05,42.25,49.65,100,48.55
20130124,0,48.25,51,48.25,49,100,47.91
20130123,0,51,51,51,51,0,49.87
20130122,0,51,51,51,51,0,49.87
20130121,0,50,51.75,49.05,51,100,49.87
20130118,0,48.85,50.55,48.75,49.1,400,48.01
20130117,0,50.5,50.5,50.5,50.5,100,49.38
20130116,0,50.25,52,50.25,52,0,50.84
20130115,0,49,52,48.9,50.15,300,49.04
20130114,0,50,51,50,51,100,49.87
20130111,0,51,51.55,50,50,300,48.89
20130110,0,50,51.95,49,49.65,300,48.55
20130109,0,49.05,51.75,49.05,51.75,0,50.6
20130108,0,50,51.85,50,50.95,0,49.82
20130107,0,49.25,50.95,49.2,49.8,300,48.69
20130104,0,48.95,50.4,48.95,50.4,200,49.28
20130103,0,51.6,52,49.2,50,100,48.89
20130102,0,51.4,51.4,51.4,51.4,0,50.26
20130101,0,49.2,51,49,50.6,200,49.48
20121231,0,49.9,49.9,48.4,49.8,0,48.69
20121228,0,50.55,50.55,47.6,48,900,46.93
20121227,0,49.5,49.55,49,49,600,47.91
20121226,0,49.45,51.55,49.4,49.9,400,48.79
20121225,0,49.45,49.45,49.45,49.45,0,48.35
20121224,0,48.85,51.4,48.1,49.45,0,48.35
20121221,0,50.3,51.65,49.5,49.6,300,48.5
20121220,0,51.9,51.9,50,51.3,100,50.16
20121219,0,50.05,52.7,50.05,52.3,200,51.14
20121218,0,49.5,51.75,49.5,51.4,0,50.26
20121217,0,49.55,51.6,49.5,49.75,700,48.64
20121214,0,52.9,52.9,49,49.3,1100,48.2
20121213,0,53.9,53.9,48.65,50,1000,48.89
20121212,0,51,51,50.2,51,700,49.87
20121211,0,52,52,49.5,51.25,600,50.11
20121210,0,51.5,53.85,51,51.75,800,50.6
20121207,0,53.65,53.65,50.8,51.7,200,50.55
20121206,0,50.55,50.55,50.5,50.5,0,49.38
20121205,0,53.9,53.9,51.35,52.75,100,51.58
20121204,0,52,52,50.15,52,100,50.84
20121203,0,50.5,53.55,50.4,51.1,300,49.96
20121130,0,52.9,52.9,52.9,52.9,0,51.72
20121129,0,51.4,51.4,51.4,51.4,0,50.26
20121128,0,51.4,51.4,51.4,51.4,0,50.26
20121127,0,51.55,51.9,50.9,51.4,500,50.26
20121126,0,53.1,53.1,51.25,52.9,100,51.72
20121123,0,50.7,54.7,50.05,53.15,200,51.97
20121122,0,52,52,52,52,0,50.84
20121121,0,50.7,53.35,50.1,51.45,600,50.31
20121120,0,51,52.7,50.5,50.55,600,49.43
20121119,0,54.8,54.8,50.55,50.55,200,49.43
20121116,0,55.85,55.85,53,54,100,52.8
20121115,0,49.25,56.65,49.2,54.8,700,53.58
20121114,0,55,55,55,55,0,53.78
20121113,0,55,55,55,55,0,53.78
20121112,0,54.9,55.6,51.5,55,300,53.78
20121109,0,52,53.9,51.1,52.3,600,51.14
20121108,0,52.5,53,50.1,52.5,1800,51.33
20121107,0,52.05,53,52,52.8,600,51.63
20121106,0,55,55.05,52.25,53.15,1200,51.97
20121105,0,52.1,54.9,52,54.9,1000,53.68
20121102,0,52.5,54.7,50.55,53.55,100,52.36
20121101,0,53.95,55,51,54.15,100,52.95
20121031,0,54.45,56,51.3,53.4,700,52.21
20121030,0,50.3,54,50.3,52.7,300,51.53
20121029,0,54.05,54.1,50.5,51,800,49.87
20121026,0,52.85,52.85,50.35,51.75,100,50.6
20121025,0,50,52.7,50,50.8,100,49.67
20121024,0,50.45,50.45,50.45,50.45,0,49.33
20121023,0,51,51,50.05,50.45,700,49.33
20121022,0,52,52,50.25,51.3,400,50.16
20121019,0,53.8,53.8,50,50.8,1900,49.67
20121018,0,52,54.1,52,52.75,200,51.58
20121017,0,50.35,52.65,50,50.75,2100,49.62
20121016,0,52,52,50.05,51.5,100,50.36
20121015,0,51,52.85,51,52.85,100,51.68
20121012,0,50.05,51.5,50.05,50.9,200,49.77
20121011,0,50.1,52.05,50.1,52.05,200,50.89
20121010,0,50,53.35,49.9,52.5,22100,51.33
20121009,0,49.75,54.1,49.75,52.7,1400,51.53
20121008,0,51,51.85,50,51.05,200,49.92
20121005,0,50.05,51,50,50,1300,48.89
20121004,0,50,51,50,51,0,49.87
20121003,0,51.9,51.9,50,50.05,100,48.94
20121002,0,49.35,49.35,49.35,49.35,0,48.25
20121001,0,53,53,49,49.35,200,48.25
20120928,0,54.3,54.3,50.85,50.85,0,49.72
20120927,0,51,53,50.4,53,0,51.82
20120926,0,52.8,53.85,52,53.35,300,52.16
20120925,0,53.5,53.5,50,50,500,48.89
20120924,0,55.55,55.6,50.35,50.35,0,49.23
20120921,0,50.05,51.9,50.05,51,200,49.87
20120920,0,49.2,51,49,51,100,49.87
20120919,0,50.5,50.5,50.5,50.5,0,49.38
20120918,0,52.8,52.8,49.3,50.5,100,49.38
20120917,0,51,51,50.1,50.3,100,49.18
20120914,0,51.1,53.15,50.4,50.55,200,49.43
20120913,0,51,51,51,51,0,48.89
20120912,0,53.4,53.4,50,50.7,100,48.6
20120911,0,50.4,50.4,50.4,50.4,0,48.31
20120910,0,52,52,50,50.4,1000,48.31
20120907,0,53.3,53.3,53.3,53.3,0,51.09
20120906,0,52,52,51,51,0,48.89
20120905,0,51,54,51,54,1400,51.76
20120904,0,52,52,52,52,0,49.85
20120903,0,54,54,50.1,51.7,0,49.56
20120831,0,52.95,52.95,52.95,52.95,0,50.76
20120830,0,49.15,50.05,49.15,50,0,47.93
20120829,0,53.85,53.85,52.15,52.15,0,49.99
20120828,0,49.15,51.95,49.15,51.95,300,49.8
20120827,0,52,52,50,50.1,400,48.03
20120824,0,52.9,52.9,52.9,52.9,0,50.71
20120823,0,51.25,51.25,51.25,51.25,0,49.13
20120822,0,54.3,54.7,51.2,51.25,200,49.13
20120821,0,49.25,51,49.25,50,0,47.93
20120820,0,50.9,50.9,50.9,50.9,0,48.79
20120817,0,49.1,52.85,48.9,50.9,3400,48.79
20120816,0,51.3,52,49.75,49.75,100,47.69
20120815,0,52.5,52.5,52.5,52.5,0,50.33
20120814,0,53.9,53.9,51.15,52.5,100,50.33
20120813,0,57.95,57.95,50.65,52,300,49.85
20120810,0,51.15,55,51.1,54.25,200,52
20120809,0,52.2,53.8,52.2,53.8,100,51.57
20120808,0,53.75,53.75,50.55,50.75,200,48.65
20120807,0,53.7,53.7,53.7,53.7,0,51.48
20120806,0,53.7,53.7,53.7,53.7,0,51.48
20120803,0,53.95,54,52,53.1,500,50.9
20120802,0,51.2,51.2,51.2,51.2,0,49.08
20120801,0,53.55,53.55,51.2,51.2,0,49.08
20120731,0,50,51.9,49.3,49.6,800,47.55
20120730,0,53.95,54,49.05,51,0,48.89
