date,time,open price,high price,low price,close price,volume,adjusted price
20130702,0,1.9,1.97,1.75,1.89,18800,1.89
20130701,0,1.75,2,1.75,2,26900,2
20130628,0,1.55,1.85,1.55,1.77,33100,1.77
20130627,0,1.2,1.55,1.2,1.55,39700,1.55
20130626,0,1.18,1.28,1.18,1.28,5600,1.28
20130625,0,1.26,1.28,1.15,1.18,10700,1.18
20130624,0,1.16,1.28,0.9,1.28,23600,1.28
20130621,0,1.08,1.14,1.01,1.14,19300,1.14
20130620,0,1.14,1.15,1.04,1.14,7900,1.14
20130619,0,1.05,1.23,1,1.15,14600,1.15
20130618,0,1.2,1.2,1.05,1.05,3500,1.05
20130617,0,1,1.18,0.95,1.18,48800,1.18
20130614,0,0.8,1.1,0.8,1,110600,1
20130613,0,0.7,0.9,0.7,0.75,51400,0.75
20130612,0,0.65,0.65,0.65,0.65,1100,0.65
20130611,0,0.65,0.65,0.65,0.65,0,0.65
20130610,0,0.65,0.65,0.65,0.65,3000,0.65
20130607,0,0.8,0.8,0.8,0.8,500,0.8
20130606,0,0.6,0.8,0.6,0.8,700,0.8
20130605,0,0.6,0.6,0.6,0.6,500,0.6
20130604,0,0.6,0.6,0.6,0.6,0,0.6
20130603,0,0.6,0.6,0.6,0.6,300,0.6
20130531,0,0.73,0.73,0.73,0.73,0,0.73
20130530,0,0.73,0.73,0.73,0.73,200,0.73
20130529,0,0.8,0.8,0.6,0.6,1200,0.6
20130528,0,0.78,0.8,0.78,0.8,2500,0.8
20130524,0,0.8,0.8,0.8,0.8,1300,0.8
20130523,0,0.8,0.8,0.6,0.8,1200,0.8
20130522,0,0.6,0.6,0.6,0.6,800,0.6
20130521,0,0.8,0.8,0.8,0.8,0,0.8
20130520,0,0.8,0.8,0.8,0.8,300,0.8
20130517,0,0.6,0.6,0.6,0.6,7400,0.6
20130516,0,0.8,0.8,0.7,0.8,1000,0.8
20130515,0,0.8,0.8,0.8,0.8,400,0.8
20130514,0,0.8,0.8,0.6,0.8,4000,0.8
20130513,0,0.71,0.71,0.51,0.51,3600,0.51
20130510,0,0.71,0.95,0.71,0.71,13500,0.71
