date,time,open price,high price,low price,close price,volume,adjusted price
20130702,0,12.64,12.96,12.56,12.94,366500,12.94
20130701,0,12.82,13.02,12.66,12.7,326400,12.7
20130628,0,13,13.11,12.72,12.82,637000,12.82
20130627,0,12.26,12.99,12.16,12.85,901200,12.85
20130626,0,12,12.26,11.96,12.22,215500,12.22
20130625,0,11.75,11.93,11.56,11.93,185500,11.93
20130624,0,11.88,12.05,11.65,11.65,320300,11.65
20130621,0,12.04,12.1,11.82,12.03,222700,12.03
20130620,0,11.99,12.04,11.71,12,331900,12
20130619,0,12.19,12.25,12.11,12.18,226200,12.18
20130618,0,12.16,12.33,12.16,12.22,241500,12.22
20130617,0,11.97,12.19,11.93,12.16,367000,12.16
20130614,0,11.96,12.13,11.86,11.86,139900,11.86
20130613,0,11.75,12.03,11.66,12,136700,12
20130612,0,12.03,12.39,11.67,11.75,211600,11.75
20130611,0,12.13,12.16,11.92,12.07,516000,12.07
20130610,0,11.99,12.31,11.73,12.2,725100,12.2
20130607,0,11.95,12.01,11.77,11.97,253100,11.97
20130606,0,11.88,12.19,11.7,11.91,310600,11.91
20130605,0,11.8,11.91,11.56,11.84,392800,11.84
20130604,0,11.61,12,11.43,11.85,549900,11.85
20130603,0,11.39,11.68,11.17,11.53,485600,11.53
20130531,0,11.27,11.5,11.24,11.39,202300,11.39
20130530,0,11.17,11.39,11.1,11.35,136400,11.35
20130529,0,11.19,11.39,10.98,11.16,116600,11.16
20130528,0,11.16,11.63,11.12,11.23,304300,11.23
20130524,0,10.88,11.15,10.76,10.98,96300,10.98
20130523,0,10.69,10.88,10.64,10.88,106500,10.88
20130522,0,11.09,11.32,10.7,10.76,254100,10.76
20130521,0,11.37,11.4,11.04,11.11,298700,11.11
20130520,0,10.47,12.06,10.47,11.33,855600,11.33
20130517,0,10.54,10.66,10.41,10.45,871500,10.45
20130516,0,10.4,10.61,9.91,10.48,725100,10.48
20130515,0,10.65,10.78,10.45,10.56,315400,10.56
20130514,0,10.5,10.74,10.5,10.65,142500,10.65
20130513,0,10.65,10.75,10.38,10.48,161300,10.48
20130510,0,10.64,10.79,10.62,10.64,62600,10.64
20130509,0,10.6,10.81,10.57,10.66,124800,10.66
20130508,0,10.96,11,10.42,10.54,259400,10.54
20130507,0,10.99,11.1,10.93,10.96,183700,10.96
20130506,0,10.94,11.07,10.82,11,184100,11
20130503,0,11.7,11.7,10.63,10.91,410100,10.91
20130502,0,11.32,11.57,11.22,11.32,242600,11.32
20130501,0,11.6,11.74,11.22,11.29,385800,11.29
20130430,0,11.28,11.48,11.28,11.41,128900,11.41
20130429,0,11.27,11.45,11.27,11.29,94700,11.29
20130426,0,11.15,11.28,11.09,11.27,150300,11.27
20130425,0,11.24,11.48,11.15,11.19,213400,11.19
20130424,0,11.09,11.22,11.02,11.19,143800,11.19
20130423,0,10.78,11.09,10.78,11.07,184500,11.07
20130422,0,10.74,10.77,10.35,10.67,144800,10.67
20130419,0,10.57,10.78,10.53,10.77,158100,10.77
20130418,0,10.69,10.77,10.37,10.6,153500,10.6
20130417,0,10.78,10.98,10.41,10.64,231900,10.64
20130416,0,10.8,10.86,10.66,10.84,199100,10.84
20130415,0,11.02,11.06,10.46,10.74,423900,10.74
20130412,0,11.18,11.35,10.87,11.05,144000,11.05
20130411,0,11.03,11.43,10.99,11.26,126900,11.26
20130410,0,10.98,11.15,10.95,11.08,244500,11.08
20130409,0,11.07,11.29,11,11,138600,11
20130408,0,11.2,11.2,11,11.02,152400,11.02
20130405,0,10.82,11.17,10.82,11.17,240500,11.17
20130404,0,11.21,11.32,11.01,11.04,202300,11.04
20130403,0,11.62,11.62,11.21,11.25,152500,11.25
20130402,0,11.69,11.78,11.5,11.58,202600,11.58
20130401,0,11.84,11.88,11.54,11.7,170900,11.7
20130328,0,11.91,12.04,11.71,11.95,214600,11.95
20130327,0,11.98,12.05,11.83,11.88,334900,11.88
20130326,0,11.83,12.12,11.82,12.1,318800,12.1
20130325,0,11.87,11.87,11.69,11.8,155700,11.8
20130322,0,11.56,11.86,11.54,11.8,180900,11.8
20130321,0,11.45,11.64,11.42,11.54,189300,11.54
20130320,0,11.55,11.61,11.44,11.57,103900,11.57
20130319,0,11.27,11.63,11.27,11.46,238100,11.46
20130318,0,11.15,11.34,10.83,11.24,208000,11.24
20130315,0,11.49,11.65,11.34,11.36,307900,11.36
20130314,0,11.67,11.96,11.49,11.5,574900,11.5
20130313,0,11.29,11.66,11.1,11.58,711200,11.58
20130312,0,10.52,11.25,10.47,11.23,491800,11.23
20130311,0,10.49,10.63,10.39,10.53,143500,10.53
20130308,0,10.4,10.6,10.36,10.54,273600,10.54
20130307,0,10.11,10.35,10.11,10.31,254900,10.31
20130306,0,10.1,10.19,10,10.14,197900,10.14
20130305,0,10.08,10.23,9.86,10.1,173800,10.1
20130304,0,9.66,10.09,9.59,10.07,308200,10.07
20130301,0,9.47,9.84,9.27,9.77,203600,9.77
20130228,0,9.8,9.94,9.48,9.76,416800,9.76
20130227,0,9.63,10.13,9.58,10.05,264500,10.05
20130226,0,9.5,9.8,9.44,9.73,176100,9.73
20130225,0,9.73,9.8,9.41,9.43,265100,9.43
20130222,0,9.79,9.88,9.66,9.77,100800,9.77
20130221,0,9.68,9.88,9.53,9.72,151900,9.72
20130220,0,9.95,10.14,9.66,9.7,268000,9.7
20130219,0,9.8,10.08,9.8,9.97,303500,9.97
20130215,0,9.95,9.95,9.6,9.85,347000,9.85
20130214,0,9.55,9.95,9.55,9.89,313000,9.89
20130213,0,9.9,9.9,9,9.61,655200,9.61
20130212,0,9.77,10.04,9.7,9.95,680700,9.95
20130211,0,9.64,9.79,9.59,9.73,360000,9.73
20130208,0,9.45,9.6,9.45,9.59,373800,9.59
20130207,0,9.38,9.49,9.25,9.46,178400,9.46
20130206,0,9.3,9.42,9.2,9.41,120400,9.41
20130205,0,9.38,9.59,9.33,9.36,146200,9.36
20130204,0,9.37,9.53,9.17,9.38,313800,9.38
20130201,0,9.45,9.56,9.35,9.49,250800,9.49
20130131,0,9.21,9.43,9.16,9.43,358100,9.43
20130130,0,9.14,9.27,9.13,9.21,404400,9.21
20130129,0,9.18,9.28,9.11,9.18,290800,9.18
20130128,0,9.1,9.25,9.01,9.21,236800,9.21
20130125,0,9.07,9.14,8.93,9.1,244100,9.1
20130124,0,8.8,9.06,8.8,9.05,478700,9.05
20130123,0,8.52,8.9,8.52,8.8,434500,8.8
20130122,0,8.59,8.65,8.46,8.55,174600,8.55
20130118,0,8.06,8.66,8.05,8.58,1052200,8.58
20130117,0,8.02,8.13,8,8.07,104300,8.07
20130116,0,8.08,8.08,7.99,7.99,159800,7.99
20130115,0,8.05,8.15,7.97,8.08,72800,8.08
20130114,0,8.42,8.42,8.09,8.12,128300,8.12
20130111,0,8.31,8.46,8.27,8.38,285500,8.38
20130110,0,8.17,8.35,7.94,8.3,415600,8.3
20130109,0,8.07,8.21,8.06,8.08,224300,8.08
20130108,0,8,8.15,7.85,8.07,262400,8.07
20130107,0,7.94,8.1,7.84,8,119100,8
20130104,0,7.95,8.05,7.77,8.01,131800,8.01
20130103,0,7.9,8.01,7.83,7.9,175800,7.9
20130102,0,7.65,7.95,7.64,7.9,251900,7.9
20121231,0,7.6,7.61,7.47,7.57,302000,7.57
20121228,0,7.56,7.66,7.46,7.54,148200,7.54
20121227,0,7.5,7.63,7.37,7.6,142100,7.6
20121226,0,7.43,7.56,7.4,7.51,104900,7.51
20121224,0,7.42,7.45,7.32,7.43,31800,7.43
20121221,0,7.51,7.6,7.35,7.43,312900,7.43
20121220,0,7.41,7.62,7.34,7.58,164300,7.58
20121219,0,7.34,7.43,7.31,7.42,173200,7.42
20121218,0,7.13,7.42,7.13,7.33,396700,7.33
20121217,0,7.2,7.24,7.09,7.14,558600,7.14
20121214,0,7.15,7.3,6.92,7.18,125000,7.18
20121213,0,7.19,7.26,7.12,7.15,479400,7.15
