date,time,open price,high price,low price,close price,volume,adjusted price
20130702,0,30,30,30,30,0,30
20130701,0,30.69,30.69,30.69,30.69,100,30.69
20130628,0,29.17,29.17,29.17,29.17,0,29.17
20130627,0,29.17,29.17,29.17,29.17,0,29.17
20130626,0,29.17,29.17,29.17,29.17,700,29.17
20130625,0,26.91,27.41,26.91,27.41,200,27.41
20130624,0,27.2,27.2,26.85,26.85,1300,26.85
20130621,0,27.9,27.9,27.17,27.5,200,27.5
20130620,0,27.91,27.91,27.91,27.91,400,27.91
20130619,0,29,29,29,29,0,29
20130618,0,29,29,29,29,800,29
20130617,0,29.35,29.35,29.35,29.35,0,29.35
20130614,0,29.35,29.35,29.35,29.35,300,29.35
20130613,0,29.32,29.32,29.31,29.31,500,29.31
20130612,0,29.09,29.09,29.09,29.09,0,29.09
20130611,0,30.08,30.08,29.09,29.09,200,29.09
20130610,0,29.95,29.98,29.95,29.98,300,29.98
20130607,0,28.56,28.56,28.56,28.56,300,28.56
20130606,0,29.55,29.55,29.2,29.54,500,29.54
20130605,0,30.37,30.37,30.37,30.37,0,30.37
20130604,0,30.37,30.37,30.37,30.37,0,30.37
20130603,0,30.37,30.37,30.37,30.37,0,30.37
20130531,0,30.37,30.37,30.37,30.37,0,30.37
20130530,0,30.5,30.93,30.5,30.93,2000,30.93
20130529,0,29.86,29.86,29.86,29.86,200,29.86
20130528,0,29.3,29.3,29.3,29.3,0,29.3
20130527,0,29.3,29.3,29.3,29.3,0,29.3
20130524,0,30.42,30.42,29.3,29.3,400,29.3
20130523,0,29,29,28.78,28.78,2700,28.78
20130522,0,30.6,30.6,30,30,100,30
20130521,0,31,31,29.87,30.72,2900,30.72
20130520,0,31.28,31.28,31.28,31.28,100,31.28
20130517,0,29.19,29.39,28.77,29.39,700,29.39
20130516,0,27.75,27.75,27.75,27.75,0,27.75
20130515,0,27.72,27.75,27.66,27.75,100,27.75
20130514,0,27.44,27.44,27.44,27.44,100,27.44
20130513,0,26.99,26.99,26.31,26.31,400,26.31
20130510,0,26.35,26.35,26.35,26.35,0,26.35
20130509,0,26.35,26.35,26.35,26.35,100,26.35
20130508,0,27.56,27.56,27.56,27.56,0,27.56
20130507,0,27.56,27.56,27.56,27.56,0,27.56
20130506,0,25.75,25.75,25.75,25.75,0,25.75
20130503,0,25.75,25.75,25.75,25.75,0,25.75
20130502,0,25.75,25.75,25.75,25.75,0,25.75
20130501,0,25.75,25.75,25.75,25.75,0,25.75
20130430,0,25.75,25.75,25.75,25.75,100,25.75
20130429,0,26.12,26.19,26.12,26.19,2000,26.19
20130426,0,25.25,25.25,25.25,25.25,0,25.25
20130425,0,25,25.25,25,25.25,1300,25.25
20130424,0,24.67,24.67,24.67,24.67,0,24.67
20130423,0,24.67,24.67,24.67,24.67,0,24.67
20130422,0,25.5,25.5,24.67,24.67,200,24.67
20130419,0,23.93,23.93,23.93,23.93,0,23.93
20130418,0,23.93,23.93,23.93,23.93,0,23.93
20130417,0,23.93,23.93,23.93,23.93,0,23.93
20130416,0,23.93,23.93,23.93,23.93,300,23.93
20130415,0,24.72,24.72,24.72,24.72,500,24.72
20130412,0,24,24,24,24,0,24
20130411,0,24,24,24,24,0,24
20130410,0,24,24,24,24,0,24
20130409,0,24,24,24,24,0,24
20130408,0,23.55,24,23.52,24,2100,24
20130405,0,23.25,23.25,23.25,23.25,1000,23.25
20130404,0,24.23,24.25,24.23,24.25,100,24.25
20130403,0,24.65,24.65,24.65,24.65,0,24.65
20130402,0,24.66,24.66,24.1,24.1,600,24.1
20130401,0,24.75,24.75,24.75,24.75,0,24.75
20130329,0,24.75,24.75,24.75,24.75,0,24.75
20130328,0,25,25,24.75,24.75,200,24.75
20130327,0,25,25,25,25,0,25
20130326,0,23.63,23.63,23.63,23.63,0,23.63
20130325,0,24,24.15,23.5,23.63,900,23.63
20130322,0,24.95,24.95,24.15,24.15,600,24.15
20130321,0,25.58,25.58,25.58,25.58,0,25.58
20130320,0,26.45,26.45,26.45,26.45,0,26.45
20130319,0,26.45,26.45,26.45,26.45,0,26.45
20130318,0,28.11,28.11,28.11,28.11,0,28.11
20130315,0,28.11,28.11,28.11,28.11,0,28.11
20130314,0,28.11,28.11,28.11,28.11,0,28.11
20130313,0,28.11,28.11,28.11,28.11,0,28.11
20130312,0,28.14,28.14,28.06,28.06,100,28.06
20130311,0,28.39,28.39,28.39,28.39,100,28.39
20130308,0,28.07,28.47,27.73,27.76,3100,27.76
20130307,0,28.09,28.09,28.07,28.07,300,28.07
20130306,0,27.5,27.93,27.5,27.93,100,27.93
20130305,0,27.4,27.4,27.4,27.4,0,27.4
20130304,0,27.4,27.4,27.4,27.4,0,27.4
