date,time,open price,high price,low price,close price,volume,adjusted price
20130702,0,0.55,0.55,0.55,0.55,0,0.55
20130701,0,0.55,0.55,0.55,0.55,0,0.55
20130628,0,0.55,0.55,0.55,0.55,0,0.55
20130627,0,0.55,0.55,0.55,0.55,0,0.55
20130626,0,0.55,0.55,0.55,0.55,0,0.55
20130625,0,0.55,0.55,0.55,0.55,0,0.55
20130624,0,0.55,0.55,0.55,0.55,0,0.55
20130621,0,0.55,0.55,0.55,0.55,0,0.55
20130620,0,0.55,0.55,0.55,0.55,0,0.55
20130619,0,0.55,0.55,0.55,0.55,0,0.55
20130618,0,0.55,0.55,0.55,0.55,0,0.55
20130617,0,0.55,0.55,0.55,0.55,0,0.55
20130614,0,0.55,0.55,0.55,0.55,0,0.55
20130613,0,0.55,0.55,0.55,0.55,0,0.55
20130612,0,0.55,0.55,0.55,0.55,0,0.55
20130611,0,0.55,0.55,0.55,0.55,0,0.55
20130610,0,0.55,0.55,0.55,0.55,0,0.55
20130607,0,0.55,0.55,0.55,0.55,0,0.55
20130606,0,0.55,0.55,0.55,0.55,0,0.55
20130605,0,0.55,0.55,0.55,0.55,0,0.55
20130604,0,0.55,0.55,0.55,0.55,0,0.55
20130603,0,0.55,0.55,0.55,0.55,0,0.55
20130531,0,0.55,0.55,0.55,0.55,0,0.55
20130530,0,0.55,0.55,0.55,0.55,0,0.55
20130529,0,0.55,0.55,0.55,0.55,0,0.55
20130528,0,0.55,0.55,0.55,0.55,0,0.55
20130524,0,0.55,0.55,0.55,0.55,0,0.55
20130523,0,0.55,0.55,0.55,0.55,0,0.55
20130522,0,0.55,0.55,0.55,0.55,0,0.55
20130521,0,0.55,0.55,0.55,0.55,0,0.55
20130520,0,0.55,0.55,0.55,0.55,0,0.55
20130517,0,0.55,0.55,0.55,0.55,0,0.55
20130516,0,0.55,0.55,0.55,0.55,0,0.55
20130515,0,0.55,0.55,0.55,0.55,0,0.55
20130514,0,0.55,0.55,0.55,0.55,0,0.55
20130513,0,0.55,0.55,0.55,0.55,0,0.55
20130510,0,0.55,0.55,0.55,0.55,0,0.55
20130509,0,0.55,0.55,0.55,0.55,0,0.55
20130508,0,0.55,0.55,0.55,0.55,0,0.55
20130507,0,0.55,0.55,0.55,0.55,0,0.55
20130506,0,0.55,0.55,0.55,0.55,0,0.55
20130503,0,0.55,0.55,0.55,0.55,0,0.55
20130502,0,0.55,0.55,0.55,0.55,0,0.55
20130501,0,0.55,0.55,0.55,0.55,0,0.55
20130430,0,0.55,0.55,0.55,0.55,500,0.55
20130429,0,0.55,0.55,0.55,0.55,0,0.55
20130426,0,0.55,0.55,0.55,0.55,0,0.55
20130425,0,0.55,0.55,0.55,0.55,0,0.55
20130424,0,0.55,0.55,0.55,0.55,0,0.55
20130423,0,0.55,0.55,0.55,0.55,0,0.55
20130422,0,0.55,0.55,0.55,0.55,0,0.55
20130419,0,0.55,0.55,0.55,0.55,0,0.55
20130418,0,0.55,0.55,0.55,0.55,0,0.55
20130417,0,0.55,0.55,0.55,0.55,0,0.55
20130416,0,0.55,0.55,0.55,0.55,0,0.55
20130415,0,0.55,0.55,0.55,0.55,0,0.55
20130412,0,0.55,0.55,0.55,0.55,0,0.55
20130411,0,0.55,0.55,0.55,0.55,0,0.55
20130410,0,0.55,0.55,0.55,0.55,0,0.55
20130409,0,0.55,0.55,0.55,0.55,0,0.55
20130408,0,0.55,0.55,0.55,0.55,0,0.55
20130405,0,0.55,0.55,0.55,0.55,0,0.55
20130404,0,0.55,0.55,0.55,0.55,0,0.55
20130403,0,0.55,0.55,0.55,0.55,0,0.55
20130402,0,0.55,0.55,0.55,0.55,0,0.55
20130401,0,0.55,0.55,0.55,0.55,0,0.55
20130328,0,0.55,0.55,0.55,0.55,0,0.55
