date,time,open price,high price,low price,close price,volume,adjusted price
20130702,0,63.95,65.2,63.2,63.69,279100,63.69
20130701,0,63.4,64.46,61.7,63.95,436300,63.95
20130628,0,64.61,65.12,63.31,63.95,376800,63.95
20130627,0,64.54,65.65,64.54,64.99,438800,64.99
20130626,0,62.22,64.17,61.95,63.91,299300,63.91
20130625,0,61.12,62.35,60.82,61.76,322800,61.76
20130624,0,62.2,62.63,59.65,60.54,629200,60.54
20130621,0,64.31,64.76,62.32,63.29,727300,63.29
20130620,0,66.07,67.71,63.02,64.07,561000,64.07
20130619,0,67.01,68.09,66.8,66.96,407600,66.96
20130618,0,66.95,67.76,66.59,67.2,407000,67.2
20130617,0,67.07,67.85,66.63,67,242000,67
20130614,0,67.42,68,66.28,66.61,340000,66.61
20130613,0,65.83,67.53,65.29,67.14,434400,67.14
20130612,0,66.4,66.64,65.28,65.64,402900,65.64
20130611,0,66.67,66.99,65.85,66.12,416000,66.12
20130610,0,67.82,68.08,67.04,67.53,265000,67.53
20130607,0,67.08,67.61,66.49,67.46,337100,67.46
20130606,0,64.26,66.63,64.26,66.53,316500,66.53
20130605,0,64.27,65.44,63.53,64.26,248100,64.26
20130604,0,65.5,66.55,63.56,64.44,581400,64.44
20130603,0,66.79,67.23,64.3,65.46,351000,65.46
20130531,0,67.22,68.02,66.59,66.7,329500,66.7
20130530,0,67.07,68.02,67.01,67.58,313500,67.58
20130529,0,65.75,67.78,65.75,66.86,357200,66.86
20130528,0,68.26,68.54,65.54,66.53,432500,66.53
20130524,0,67.11,67.93,66.29,67.73,687600,67.73
20130523,0,65.22,67.54,63.71,67.48,980400,67.48
20130522,0,70.77,70.97,65.23,66.28,1564000,66.28
20130521,0,63.95,72.18,63.95,69.79,2247200,69.79
20130520,0,63.96,65.57,63.39,64.12,508600,64.12
20130517,0,62.44,64.16,60.83,64.05,421600,64.05
20130516,0,62.68,63.25,61.91,62.15,401600,62.15
20130515,0,62.85,65,62.1,62.62,684900,62.62
20130514,0,61.48,63.96,61.48,62.85,488800,62.85
20130513,0,61.41,62.28,60.83,61.54,363700,61.54
20130510,0,61.75,63.23,61.67,61.9,465300,61.9
20130509,0,61.26,61.81,60.28,61.6,461700,61.6
20130508,0,61.17,61.86,60,61.19,561000,61.19
20130507,0,59.18,61.48,58.29,61.02,1087000,61.02
20130506,0,61.01,61.54,58.83,58.86,632900,58.86
20130503,0,58.2,61.19,58.2,60.83,1581900,60.83
20130502,0,55.83,57.91,55.46,57.66,1026400,57.66
20130501,0,55.83,57.11,55.35,55.62,812800,55.62
20130430,0,55.82,56.82,55.28,55.39,793000,55.39
20130429,0,56.15,56.34,55.56,55.68,684300,55.68
20130426,0,54.66,55.8,54.38,55.69,945300,55.69
20130425,0,57.02,57.08,54.65,55.19,898300,55.19
20130424,0,57.41,57.68,56.08,56.16,509700,56.16
20130423,0,56.51,57.69,56.26,57.3,726400,57.3
20130422,0,55.57,56.38,54.8,55.98,429100,55.98
20130419,0,55.81,56.36,54.86,55.92,382600,55.92
20130418,0,56.32,56.71,54.4,55.25,487500,55.25
20130417,0,56.35,56.85,55.6,56.19,510100,56.19
20130416,0,57.54,57.54,54.99,56.71,1076400,56.71
20130415,0,58.4,58.49,55.31,56.98,1494400,56.98
20130412,0,61.18,61.57,60.13,60.5,275900,60.5
20130411,0,60.69,62.28,60.51,61.6,630300,61.6
20130410,0,61.5,61.62,59.59,60.56,1134900,60.56
20130409,0,63.51,63.97,60.94,61.57,631900,61.57
20130408,0,63.18,64.18,62.41,63.2,866100,63.2
20130405,0,59.08,63.11,58.18,62.93,1039100,62.93
20130404,0,61.09,61.13,59.53,60.16,647200,60.16
20130403,0,61.9,61.9,60.05,61.16,1032000,61.16
20130402,0,63.93,65,61.72,61.91,579400,61.91
20130401,0,63.17,63.69,61.47,63.38,785000,63.38
20130328,0,62.14,63.43,61.67,62.98,348500,62.98
20130327,0,61.64,62.27,60.6,62,330100,62
20130326,0,61.8,63.77,61.55,61.96,532800,61.96
20130325,0,61.49,62.35,60.88,61.33,219400,61.33
20130322,0,61.61,61.99,60.87,61.32,361200,61.32
20130321,0,60.57,62,60.57,61.19,252600,61.19
20130320,0,60.78,61.98,60.35,60.99,469100,60.99
20130319,0,61.43,61.93,60,60.55,304200,60.55
20130318,0,60.12,61.79,60,61.27,438200,61.27
20130315,0,61.34,61.95,60.83,61.15,493800,61.15
20130314,0,61.33,62.01,60.81,61.22,383400,61.22
20130313,0,61.31,61.66,60.86,60.92,494600,60.92
20130312,0,62.44,62.71,60.89,61.11,503800,61.11
20130311,0,62.45,63.1,61.89,62.51,487100,62.51
20130308,0,61.47,62.9,61.24,62.87,995600,62.87
20130307,0,61.82,62.13,60.12,60.94,836700,60.94
20130306,0,59.42,61.99,58.63,61.68,1323000,61.68
20130305,0,59.11,62.07,58.36,59.05,875100,59.05
20130304,0,58.82,59.45,57.89,58.74,910900,58.74
20130301,0,55.26,59.05,55.2,58.27,2053800,58.27
20130228,0,56.23,57.87,55.23,55.6,763100,55.6
20130227,0,54.84,58.35,54.6,56.37,957500,56.37
20130226,0,54.51,54.96,53.1,54.07,321200,54.07
20130225,0,55.5,55.81,54.24,54.46,283200,54.46
20130222,0,54.47,55.23,53.93,55.16,449800,55.16
20130221,0,54.02,54.84,52.87,54.09,1081100,54.09
20130220,0,55.27,55.84,54.64,55.39,656400,55.39
20130219,0,55.49,56.03,54.94,55.39,269000,55.39
20130215,0,55.96,56.41,55.39,55.49,440100,55.49
20130214,0,54.66,56.17,54.15,55.77,585100,55.77
20130213,0,54.66,55.14,54.11,54.85,669300,54.85
20130212,0,52.25,55.42,51.59,54.74,1163100,54.74
20130211,0,52,52.55,50.92,52.26,847800,52.26
20130208,0,50.68,55.22,49.27,53,2253800,53
20130207,0,50.62,50.64,48.81,49.31,1669300,49.31
20130206,0,51.17,51.17,50.31,50.5,700100,50.5
20130205,0,51.82,51.99,50.72,50.74,641000,50.74
20130204,0,52.94,53.31,51.48,51.56,348700,51.56
20130201,0,52.77,53.92,52.77,53.43,279200,53.43
20130131,0,51.69,53.19,51.6,52.69,433200,52.69
20130130,0,52.64,54.62,51.41,51.93,628800,51.93
20130129,0,54.32,55.35,53.42,54.87,367900,54.87
20130128,0,53.7,54.38,53.2,54.38,306200,54.38
20130125,0,54.4,54.56,53.6,53.75,332900,53.75
20130124,0,54.66,55.95,53.86,54,578900,54
20130123,0,54.94,55.2,54.61,54.76,413400,54.76
20130122,0,54.31,55.32,54.25,54.82,647500,54.82
20130118,0,52.35,54.32,52.34,54.15,648300,54.15
20130117,0,52.07,52.24,51.52,52.23,315300,52.23
20130116,0,52.85,53.21,51.61,51.67,555200,51.67
20130115,0,52.78,53.14,52.07,52.89,389300,52.89
20130114,0,53.48,54.04,52.84,53,731400,53
20130111,0,52.42,53.58,52.42,53.53,236800,53.53
20130110,0,52.1,53.05,51.58,52.36,474000,52.36
20130109,0,51.97,52.5,51.56,51.67,206800,51.67
20130108,0,52.95,53.35,51.45,51.87,552800,51.87
20130107,0,53.54,55.3,51.97,52.91,865000,52.91
20130104,0,52.23,53.49,51.64,53.1,689600,53.1
20130103,0,51.44,52.79,51.15,52.21,364700,52.21
20130102,0,50.17,51.88,49.53,51.38,651200,51.38
20121231,0,49.09,50.61,47.95,48.8,596600,48.8
20121228,0,48.47,49.17,48.02,48.85,104900,48.85
20121227,0,48.92,49.53,47.93,48.85,174900,48.85
20121226,0,49.51,49.77,48.65,48.88,158200,48.88
20121224,0,49.05,49.64,48.47,49.22,154000,49.22
20121221,0,48.84,49.51,47.84,48.85,763800,48.85
20121220,0,49.4,50.49,48.74,49.48,140200,49.48
20121219,0,50.02,50.25,48.91,49.5,370700,49.5
20121218,0,49.62,50.28,49.18,50.18,377900,50.18
20121217,0,47.79,49.56,47.79,49.55,443000,49.55
20121214,0,47.63,48.22,47.43,47.76,205900,47.76
20121213,0,47.41,48.46,46.75,47.75,254500,47.75
20121212,0,47.55,48.35,46.56,47.61,418600,47.61
20121211,0,46.44,47.06,46.3,46.94,364400,46.94
20121210,0,45.44,46.72,45.14,46.21,482200,46.21
20121207,0,44.97,45.65,44.49,45.3,316300,45.3
20121206,0,42.83,45.46,42.71,44.71,513600,44.71
20121205,0,43.32,43.55,41.68,42.87,342200,42.87
20121204,0,44.52,44.89,43.01,43.17,683500,43.17
20121203,0,44.8,45.53,44.17,44.8,624400,44.8
20121130,0,45.3,45.52,44.31,44.89,293000,44.89
20121129,0,45.54,45.54,44.51,45.09,295200,45.09
20121128,0,44.65,45.15,44.25,45.13,285200,45.13
20121127,0,44.66,45.55,44.26,45.05,256500,45.05
20121126,0,45.23,45.33,43.86,44.78,333500,44.78
20121123,0,44.01,45.49,43.94,45.44,202900,45.44
20121121,0,43.46,44,43.15,43.95,293500,43.95
20121120,0,43.18,43.48,42.8,43.46,281200,43.46
20121119,0,43.55,44.03,42.82,43.37,673100,43.37
20121116,0,42.97,43.42,42.39,42.85,480600,42.85
20121115,0,43.33,43.76,42.52,42.93,326300,42.93
20121114,0,44.25,44.43,43.14,43.18,319500,43.18
20121113,0,43.4,44.68,43.4,44.1,331500,44.1
20121112,0,44.25,44.64,43.07,44.14,435300,44.14
20121109,0,44.29,44.93,43.92,44.08,243200,44.08
20121108,0,46.3,46.95,44.26,44.46,570900,44.46
20121107,0,46.15,46.62,45.62,46.29,451000,46.29
20121106,0,45.12,46.81,45.12,46.66,854400,46.66
20121105,0,45.3,45.76,44.55,44.97,608000,44.97
20121102,0,48.31,49,44.68,45.3,1267200,45.3
20121101,0,46.54,47.63,46.17,47.36,1637400,47.36
20121031,0,47,47.04,46.16,46.97,580800,46.97
20121026,0,46.45,47.15,45.97,46.98,455600,46.98
20121025,0,47.02,47.02,45.63,46.61,485600,46.61
20121024,0,46.94,47.23,44.97,46.15,418200,46.15
20121023,0,45,46.53,44.63,46.3,573800,46.3
20121022,0,44.85,46.98,44.57,46.36,2134000,46.36
20121019,0,43.85,44.17,43.54,43.59,586600,43.59
20121018,0,45.13,45.38,43.57,43.98,419700,43.98
20121017,0,45.92,45.98,44.91,45.1,317600,45.1
20121016,0,45.69,46.16,45.34,45.84,253700,45.84
20121015,0,45.38,45.38,44.55,45.09,229300,45.09
20121012,0,44.84,45.86,44.33,45.29,295300,45.29
20121011,0,44.64,45.16,44.33,44.71,474700,44.71
20121010,0,45.12,45.12,43.92,44.2,410200,44.2
20121009,0,45.71,45.73,44.58,45,377400,45
20121008,0,44.44,46.52,44.39,45.65,608900,45.65
20121005,0,45.25,45.26,44.49,44.79,646400,44.79
20121004,0,44.52,45.6,44.39,44.95,835900,44.95
20121003,0,43.43,44.65,43.12,44.31,730300,44.31
20121002,0,42.98,44.31,42.83,43.5,607900,43.5
20121001,0,41.87,42.83,41.65,42.69,1026800,42.69
20120928,0,41.43,41.89,39.94,41.6,931400,41.6
20120927,0,41.32,41.78,40.95,41.66,538100,41.66
20120926,0,41.66,42.07,40.62,40.92,654400,40.92
20120925,0,44.04,44.5,41.73,41.84,1180300,41.84
20120924,0,45.31,45.69,43.75,44.06,859500,44.06
20120921,0,46.16,46.16,45,45.15,970600,45.15
20120920,0,46.52,46.92,45.2,45.53,709300,45.53
20120919,0,46.96,47.51,46.22,46.87,274100,46.87
20120918,0,46.69,47.91,46.55,46.99,315100,46.99
20120917,0,48.27,48.77,45.81,46.5,676800,46.5
20120914,0,48.07,50.29,47.85,49.2,584000,49.2
20120913,0,44.79,48,44.79,47.84,780900,47.84
20120912,0,47.19,48,45.51,46.04,794400,46.04
20120911,0,45.71,47.25,44.96,47.03,658500,47.03
20120910,0,46.48,47.2,45.16,45.5,943400,45.5
20120907,0,46.67,47.26,45.55,46.22,1370800,46.22
20120906,0,44.06,46.85,44.06,46.46,1381900,46.46
20120905,0,42.85,44.17,42.41,43.72,1155000,43.72
20120904,0,42.43,43.59,41.56,42.95,793100,42.95
20120831,0,42.56,42.92,41.3,42.45,459000,42.45
20120830,0,43.19,43.32,42.22,42.31,329000,42.31
20120829,0,43.22,43.65,42.8,43.4,239900,43.4
20120828,0,42.91,44.01,42.2,43.16,328800,43.16
20120827,0,43.62,44.35,42.35,42.98,463700,42.98
20120824,0,43.79,44.12,43.21,43.52,316400,43.52
20120823,0,44.15,44.17,42.37,43.76,573300,43.76
20120822,0,44.87,44.87,43.92,44.27,263600,44.27
20120821,0,44.26,45.58,43.9,44.86,556400,44.86
20120820,0,44.32,44.78,43.63,44.15,336400,44.15
20120817,0,43.42,45.49,43.42,44.57,531400,44.57
20120816,0,43.15,43.86,43,43.41,435800,43.41
20120815,0,42.95,43.63,42.69,43.08,393800,43.08
20120814,0,43.84,43.84,43,43.2,371800,43.2
20120813,0,43.47,44.2,43.06,43.6,864400,43.6
20120810,0,43.43,43.97,43.1,43.57,1167800,43.57
20120809,0,41.88,44.09,41.66,44.03,1316900,44.03
20120808,0,41.1,42.76,40.77,42.32,635500,42.32
20120807,0,41.6,42.14,40.48,41.47,1006800,41.47
20120806,0,39.68,40.84,39.68,40.29,700800,40.29
20120803,0,40.81,41.24,38.27,39.55,3962500,39.55
20120802,0,35.63,36.39,33.53,34.15,2206900,34.15
20120801,0,36.49,37,35.86,35.93,557700,35.93
20120731,0,36.51,37.07,35.71,36.36,867300,36.36
20120730,0,38.11,38.53,36.72,36.78,410500,36.78
20120727,0,37,39.2,36.67,38.24,565400,38.24
20120726,0,37.91,38.15,35.56,37,773200,37
20120725,0,37.8,38.38,37.43,37.55,164100,37.55
20120724,0,37.15,37.87,36.88,37.7,175600,37.7
20120723,0,37.36,38.04,36.69,37.19,366500,37.19
20120720,0,37.55,38.07,36.73,37.89,366800,37.89
20120719,0,37.73,38.64,37.72,37.89,406400,37.89
20120718,0,37.86,38.46,36.9,37.69,488700,37.69
20120717,0,39.05,39.12,37.17,37.99,670100,37.99
20120716,0,38.74,39.3,37.41,39.05,346200,39.05
20120713,0,38.59,39.23,38.29,38.87,181700,38.87
20120712,0,38.28,39.08,37.54,38.44,411500,38.44
20120711,0,38,39,37.5,38.67,492300,38.67
20120710,0,39.22,39.85,37.8,38,491700,38
20120709,0,38.94,39.29,38.24,39.03,443400,39.03
20120706,0,40.46,40.79,38.69,39,431100,39
20120705,0,40.78,41,39.81,40.78,379900,40.78
20120703,0,40.77,41.99,40.66,41.02,331900,41.02
20120702,0,43.38,44.63,39.57,40.81,1331800,40.81
20120629,0,43.68,45.3,43.68,45.01,440700,45.01
20120628,0,43.76,45.23,42.53,43.03,1413400,43.03
20120627,0,44.46,44.63,43.34,44.1,666300,44.1
20120626,0,43.24,45.59,42.63,44.22,663600,44.22
20120625,0,44.1,44.62,41.63,43.47,943300,43.47
20120622,0,43.7,45.12,43.52,44.3,582000,44.3
20120621,0,44.54,45.23,43.46,43.59,777300,43.59
20120620,0,44.83,45.26,44.13,44.67,744600,44.67
20120619,0,44.48,45.51,44.2,44.94,366600,44.94
20120618,0,43.56,44.9,43.21,44.53,612300,44.53
20120615,0,43.74,43.99,42.45,43.79,589400,43.79
20120614,0,43.75,44.6,43.11,43.65,343800,43.65
20120613,0,44.17,44.79,42.79,43.7,674700,43.7
20120612,0,42.49,45,42.49,44.18,1425100,44.18
20120611,0,42.85,45.85,41.21,42.31,1461800,42.31
20120608,0,39.86,42.5,39.53,42.04,850600,42.04
20120607,0,40.58,40.78,39.36,39.95,295600,39.95
20120606,0,40.04,41.23,39.67,40.1,829700,40.1
20120605,0,39.96,41.49,39.36,39.79,581700,39.79
20120604,0,39.7,40.85,38.54,40.14,531800,40.14
20120601,0,38.49,39.86,37.34,39.56,619900,39.56
20120531,0,39.68,40.5,37.64,39.72,1469600,39.72
20120530,0,38.67,41.29,36.25,39.64,2252000,39.64
20120529,0,38.49,39.32,37.08,39.14,794700,39.14
20120525,0,37.44,39.08,37.29,38.4,502200,38.4
20120524,0,40.29,40.29,37,37.52,1032500,37.52
20120523,0,38.84,40.22,38.48,40.12,556000,40.12
20120522,0,38.78,40.04,38.31,39.31,898700,39.31
20120521,0,36.81,38.76,36.6,38.59,516500,38.59
20120518,0,37.06,37.88,36.35,36.6,799000,36.6
20120517,0,38.32,38.74,36.75,37,829400,37
20120516,0,37.89,38.99,37.75,38.36,1006300,38.36
20120515,0,38.7,39.11,37.66,37.84,875400,37.84
20120514,0,37.06,39.03,36.69,38.74,896300,38.74
20120511,0,37.46,38.11,37.08,37.27,653300,37.27
20120510,0,37.19,38.3,37.1,37.84,844000,37.84
20120509,0,36.03,37.34,36.03,37.01,817100,37.01
20120508,0,36.41,36.72,35.89,36.49,847400,36.49
20120507,0,36.1,36.88,36,36.8,641800,36.8
20120504,0,35.88,37,35.8,36.5,1357700,36.5
20120503,0,37.17,37.31,35.62,36.05,1827900,36.05
20120502,0,36.78,37.99,36.02,37.13,5443500,37.13
20120501,0,44.48,46,43.52,43.68,2666100,43.68
20120430,0,44.71,45.01,43.71,44.72,973000,44.72
20120427,0,44.1,44.94,43.6,44.82,995000,44.82
20120426,0,41.47,45,41.47,44.15,1692600,44.15
20120425,0,41.99,42.27,41.39,41.68,668200,41.68
20120424,0,41.03,41.65,40.6,41.58,491700,41.58
20120423,0,40.94,41.33,40.72,41.11,971200,41.11
20120420,0,41.66,42.18,41.24,41.34,3681000,41.34
20120419,0,40.79,41.91,40.55,41.33,1979500,41.33
20120418,0,39.8,40.22,39.44,39.66,517000,39.66
20120417,0,40,41.29,39.86,40.18,708600,40.18
20120416,0,42.11,42.11,39.77,39.83,831000,39.83
20120413,0,42.01,42.67,41.32,41.91,787700,41.91
20120412,0,40.15,42.65,40.15,42.11,839600,42.11
20120411,0,39.53,40.85,39.52,40.26,435700,40.26
20120410,0,39.88,40.2,38.88,39.34,864300,39.34
20120409,0,39.91,40.26,39.49,39.87,404200,39.87
20120405,0,40.68,41.35,40.12,40.56,764300,40.56
20120404,0,39.95,40.77,39.06,40.62,1540300,40.62
20120403,0,39.9,41.96,39.48,40.51,1058400,40.51
20120402,0,40.47,40.79,39.15,39.74,645200,39.74
20120330,0,40.79,41.05,39.8,40.47,518300,40.47
20120329,0,41.4,41.64,40.09,40.43,820800,40.43
20120328,0,42,42.84,41.62,41.78,527300,41.78
20120327,0,41.67,43.25,41.38,42.09,1012100,42.09
20120326,0,40.77,41.94,40.61,41.76,547700,41.76
20120323,0,41.24,41.58,40.5,40.56,771200,40.56
20120322,0,42.67,43.08,41,41.29,1431300,41.29
20120321,0,41.54,42.44,40.88,41.06,1453900,41.06
20120320,0,41.18,41.3,39.82,40,1079200,40
20120319,0,40.26,41.64,40.26,41.25,827700,41.25
20120316,0,40.63,40.9,40.15,40.39,1368100,40.39
20120315,0,40.95,41.49,40.06,40.79,652900,40.79
20120314,0,41.67,41.84,40.57,40.76,1017400,40.76
20120313,0,41.73,41.95,39.75,41.62,1595700,41.62
20120312,0,43.11,43.5,41,41.3,1291600,41.3
20120309,0,43.22,44.21,42.58,42.93,1228900,42.93
20120308,0,43.16,43.61,42.17,43.36,1098600,43.36
20120307,0,43.87,44.05,42.6,43.04,1018600,43.04
20120306,0,46.42,46.54,43.3,43.66,1377100,43.66
20120305,0,46.92,47.53,45.91,46.67,698100,46.67
20120302,0,47.52,49.49,46.79,46.94,966700,46.94
20120301,0,48.44,48.68,46.32,47.63,976400,47.63
20120229,0,48.18,49.15,47.06,48.5,797700,48.5
20120228,0,48.03,49.44,46.84,47.97,469000,47.97
20120227,0,48.49,48.75,47,47.87,528200,47.87
20120224,0,48.49,49.49,48.21,48.89,915900,48.89
20120223,0,47.32,48.19,46.8,47.85,721100,47.85
20120222,0,46.42,47.67,45.65,47.27,627800,47.27
20120221,0,48.18,48.63,46.5,46.7,761500,46.7
20120217,0,49.85,50,47.55,48.13,914500,48.13
20120216,0,46.66,50.1,45.5,49.79,2685200,49.79
20120215,0,44.56,47.77,44.42,46.71,1579400,46.71
20120214,0,44.31,44.8,44.01,44.55,778500,44.55
20120213,0,44.58,44.74,43.82,44.31,1234000,44.31
20120210,0,43.99,45.51,43.57,44.37,1940800,44.37
20120209,0,45.85,46.1,43.53,44.79,2023600,44.79
20120208,0,50.32,50.84,44.65,45.4,7142000,45.4
20120207,0,50.5,51.96,47.82,51.45,3031600,51.45
20120206,0,51.67,52.64,49.68,50.14,1050500,50.14
20120203,0,48.99,52.07,48.2,52,1518600,52
20120202,0,49.39,52.45,48.84,50.4,1104500,50.4
20120201,0,48.74,50.5,47.91,49.32,1065200,49.32
20120131,0,48.68,48.89,46.59,48.17,794100,48.17
20120130,0,47.86,48.78,47.42,48.21,1071400,48.21
