date,time,open price,high price,low price,close price,volume,adjusted price
20130702,0,0.01,0.01,0.01,0.01,0,0.01
20130701,0,0.01,0.01,0.01,0.01,4100,0.01
20130628,0,0.01,0.01,0.01,0.01,197500,0.01
20130627,0,0.01,0.01,0.01,0.01,616700,0.01
20130626,0,0.01,0.01,0.01,0.01,0,0.01
20130625,0,0.01,0.01,0.01,0.01,88100,0.01
20130624,0,0.01,0.01,0.01,0.01,79500,0.01
20130621,0,0.01,0.01,0.01,0.01,132800,0.01
20130620,0,0.01,0.01,0.01,0.01,5000,0.01
20130619,0,0.01,0.01,0.01,0.01,61400,0.01
20130618,0,0.01,0.01,0.01,0.01,27000,0.01
20130617,0,0.01,0.01,0.01,0.01,160000,0.01
20130614,0,0.01,0.01,0.01,0.01,2000,0.01
20130613,0,0.01,0.01,0.01,0.01,6600,0.01
20130612,0,0.01,0.01,0.01,0.01,210000,0.01
20130611,0,0.01,0.01,0.01,0.01,0,0.01
20130610,0,0.01,0.01,0.01,0.01,9900,0.01
20130607,0,0.01,0.01,0.01,0.01,316300,0.01
20130606,0,0.01,0.01,0.01,0.01,124000,0.01
20130605,0,0.01,0.01,0.01,0.01,29200,0.01
20130604,0,0.01,0.01,0.01,0.01,5000,0.01
20130603,0,0.01,0.01,0.01,0.01,12000,0.01
20130531,0,0.01,0.01,0.01,0.01,26000,0.01
20130530,0,0.01,0.01,0.01,0.01,15500,0.01
20130529,0,0.01,0.01,0.01,0.01,332200,0.01
20130528,0,0.01,0.01,0.01,0.01,233900,0.01
20130527,0,0.01,0.01,0.01,0.01,0,0.01
20130524,0,0.01,0.01,0.01,0.01,209900,0.01
20130523,0,0.01,0.01,0.01,0.01,109400,0.01
20130522,0,0.01,0.01,0.01,0.01,304500,0.01
20130521,0,0.01,0.01,0.01,0.01,214400,0.01
20130520,0,0.01,0.01,0.01,0.01,35000,0.01
20130517,0,0.01,0.01,0.01,0.01,11500,0.01
20130516,0,0.01,0.01,0.01,0.01,1700,0.01
20130515,0,0.01,0.01,0.01,0.01,250100,0.01
20130514,0,0.01,0.01,0.01,0.01,3500,0.01
20130513,0,0.01,0.01,0.01,0.01,286000,0.01
20130510,0,0.01,0.01,0.01,0.01,18600,0.01
20130509,0,0.01,0.01,0.01,0.01,106700,0.01
20130508,0,0.01,0.01,0.01,0.01,47400,0.01
20130507,0,0.01,0.01,0.01,0.01,170100,0.01
20130506,0,0.01,0.01,0.01,0.01,348000,0.01
20130503,0,0.01,0.01,0.01,0.01,55000,0.01
20130502,0,0.01,0.01,0.01,0.01,110000,0.01
