date,time,open price,high price,low price,close price,volume,adjusted price
20130702,0,0.59,0.59,0.59,0.59,0,0.59
20130701,0,0.59,0.59,0.59,0.59,0,0.59
20130628,0,0.59,0.59,0.59,0.59,0,0.59
20130627,0,0.59,0.59,0.59,0.59,100,0.59
20130626,0,0.6,0.6,0.6,0.6,0,0.6
20130625,0,0.6,0.6,0.6,0.6,0,0.6
20130624,0,0.6,0.6,0.6,0.6,3200,0.6
20130621,0,0.6,0.6,0.6,0.6,0,0.6
20130620,0,0.6,0.6,0.6,0.6,0,0.6
20130619,0,0.6,0.6,0.6,0.6,0,0.6
20130618,0,0.6,0.6,0.6,0.6,0,0.6
20130617,0,0.51,0.6,0.48,0.6,27400,0.6
20130614,0,0.6,0.6,0.6,0.6,0,0.6
20130613,0,0.6,0.6,0.6,0.6,2000,0.6
20130612,0,0.48,0.6,0.48,0.6,3500,0.6
20130611,0,0.48,0.8,0.48,0.8,2000,0.8
20130610,0,0.8,0.8,0.48,0.48,400,0.48
20130607,0,0.57,0.57,0.48,0.48,2100,0.48
20130606,0,0.88,0.88,0.88,0.88,0,0.88
20130605,0,0.88,0.88,0.88,0.88,3500,0.88
20130604,0,0.88,0.88,0.55,0.88,7300,0.88
20130603,0,0.9,0.9,0.9,0.9,300,0.9
20130531,0,0.87,0.87,0.87,0.87,1000,0.87
20130530,0,0.88,0.9,0.88,0.9,300,0.9
20130529,0,0.9,0.9,0.55,0.85,7000,0.85
20130528,0,0.95,0.95,0.72,0.9,2600,0.9
20130524,0,0.72,0.99,0.72,0.99,3500,0.99
20130523,0,1.12,1.12,0.72,1.01,21300,1.01
20130522,0,1.15,1.15,1.11,1.12,4400,1.12
20130521,0,1.15,1.17,0.87,1.15,5100,1.15
20130520,0,1.1,1.16,1.07,1.16,6100,1.16
20130517,0,1.05,1.07,0.87,1.07,10500,1.07
20130516,0,1.2,1.22,1.04,1.07,28400,1.07
20130515,0,1.18,1.25,1.15,1.15,28500,1.15
20130514,0,1.13,1.15,1.07,1.14,12200,1.14
20130513,0,1.17,1.21,1.05,1.1,43200,1.1
20130510,0,1.15,1.17,1.04,1.17,10800,1.17
20130509,0,1.1,1.15,1.1,1.15,9600,1.15
20130508,0,1.09,1.1,1.08,1.1,2600,1.1
20130507,0,1.08,1.09,1.08,1.09,6200,1.09
20130506,0,1.1,1.1,1.08,1.08,2400,1.08
20130503,0,1.02,1.02,1.01,1.01,1100,1.01
20130502,0,1.1,1.1,1,1,3000,1
20130501,0,1,1,1,1,0,1
20130430,0,1,1,1,1,0,1
20130429,0,1,1,1,1,0,1
20130426,0,1,1,1,1,500,1
20130425,0,1,1.1,1,1.1,400,1.1
20130424,0,1,1,1,1,0,1
20130423,0,1,1,1,1,0,1
20130422,0,1,1,1,1,0,1
20130419,0,1,1,1,1,100,1
20130418,0,1.01,1.01,1.01,1.01,0,1.01
20130417,0,1.01,1.01,1.01,1.01,0,1.01
20130416,0,1.01,1.01,1.01,1.01,0,1.01
20130415,0,1.01,1.01,1.01,1.01,500,1.01
20130412,0,1.15,1.15,1.15,1.15,0,1.15
20130411,0,1.15,1.15,1.15,1.15,0,1.15
20130410,0,1.15,1.15,1.15,1.15,0,1.15
20130409,0,1.15,1.15,1.15,1.15,100,1.15
20130408,0,1.05,1.05,1.05,1.05,900,1.05
20130405,0,1,1,1,1,0,1
20130404,0,1,1,1,1,0,1
20130403,0,1,1,1,1,0,1
20130402,0,1,1,1,1,0,1
20130401,0,1.15,1.15,1,1,1300,1
20130328,0,1.15,1.15,1.15,1.15,0,1.15
20130327,0,1.06,1.15,1.06,1.15,1200,1.15
20130326,0,1.2,1.2,1.2,1.2,0,1.2
20130325,0,1.2,1.2,1.2,1.2,0,1.2
20130322,0,1.2,1.2,1.2,1.2,0,1.2
20130321,0,1.2,1.2,1.2,1.2,0,1.2
20130320,0,1.2,1.2,1.2,1.2,0,1.2
20130319,0,1.26,1.26,1.2,1.2,4000,1.2
20130318,0,1.35,1.35,1.35,1.35,600,1.35
20130315,0,1.3,1.3,1.3,1.3,200,1.3
20130314,0,1.35,1.35,1.35,1.35,0,1.35
20130313,0,1.35,1.35,1.35,1.35,0,1.35
20130312,0,1.35,1.35,1.35,1.35,3500,1.35
20130311,0,1.35,1.35,1.35,1.35,0,1.35
20130308,0,1.35,1.35,1.35,1.35,200,1.35
20130307,0,1.25,1.25,1.25,1.25,0,1.25
20130306,0,1.25,1.25,1.25,1.25,500,1.25
20130305,0,1.32,1.32,1.32,1.32,0,1.32
20130304,0,1.32,1.32,1.32,1.32,0,1.32
20130301,0,1.32,1.32,1.32,1.32,0,1.32
20130228,0,1.32,1.32,1.32,1.32,0,1.32
20130227,0,1.32,1.32,1.32,1.32,0,1.32
20130226,0,1.32,1.32,1.32,1.32,2500,1.32
20130225,0,1.36,1.36,1.36,1.36,0,1.36
20130222,0,1.32,1.36,1.32,1.36,13000,1.36
20130221,0,1.3,1.3,1.3,1.3,0,1.3
20130220,0,1.3,1.3,1.3,1.3,300,1.3
20130219,0,1.3,1.3,1.3,1.3,0,1.3
20130215,0,1.3,1.3,1.3,1.3,0,1.3
20130214,0,1.3,1.3,1.3,1.3,0,1.3
20130213,0,1.3,1.3,1.3,1.3,0,1.3
20130212,0,1.3,1.3,1.3,1.3,0,1.3
20130211,0,1.3,1.3,1.3,1.3,0,1.3
20130208,0,1.3,1.3,1.3,1.3,1000,1.3
20130207,0,1.3,1.3,1.3,1.3,1500,1.3
20130206,0,1.1,1.1,1.1,1.1,0,1.1
