date,time,open price,high price,low price,close price,volume,adjusted price
20130702,0,0.03,0.03,0.03,0.03,767700,0.03
20130701,0,0.03,0.03,0.03,0.03,482300,0.03
20130628,0,0.03,0.03,0.03,0.03,420500,0.03
20130627,0,0.03,0.03,0.03,0.03,913600,0.03
20130626,0,0.03,0.03,0.03,0.03,763000,0.03
20130625,0,0.03,0.03,0.02,0.03,227200,0.03
20130624,0,0.03,0.03,0.02,0.02,344600,0.02
20130621,0,0.02,0.03,0.02,0.03,434200,0.03
20130620,0,0.02,0.03,0.02,0.02,485900,0.02
20130619,0,0.02,0.02,0.02,0.02,1052000,0.02
20130618,0,0.02,0.02,0.02,0.02,174700,0.02
20130617,0,0.02,0.02,0.02,0.02,667200,0.02
20130614,0,0.02,0.02,0.02,0.02,836000,0.02
20130613,0,0.02,0.02,0.02,0.02,223700,0.02
20130612,0,0.02,0.02,0.02,0.02,26800,0.02
20130611,0,0.02,0.02,0.02,0.02,97400,0.02
20130610,0,0.02,0.02,0.02,0.02,521000,0.02
20130607,0,0.02,0.02,0.02,0.02,348500,0.02
20130606,0,0.02,0.02,0.02,0.02,366300,0.02
20130605,0,0.02,0.02,0.02,0.02,109200,0.02
20130604,0,0.02,0.02,0.02,0.02,40100,0.02
20130603,0,0.02,0.02,0.02,0.02,25300,0.02
20130531,0,0.02,0.02,0.02,0.02,99800,0.02
20130530,0,0.02,0.02,0.02,0.02,64000,0.02
20130529,0,0.02,0.02,0.02,0.02,207800,0.02
20130528,0,0.02,0.02,0.02,0.02,202100,0.02
20130524,0,0.02,0.02,0.02,0.02,165600,0.02
20130523,0,0.02,0.02,0.02,0.02,124600,0.02
20130522,0,0.02,0.02,0.02,0.02,108100,0.02
20130521,0,0.02,0.02,0.02,0.02,152400,0.02
20130520,0,0.02,0.02,0.02,0.02,68100,0.02
20130517,0,0.02,0.02,0.02,0.02,122800,0.02
20130516,0,0.02,0.02,0.02,0.02,24000,0.02
20130515,0,0.02,0.02,0.02,0.02,20000,0.02
20130514,0,0.02,0.02,0.02,0.02,11000,0.02
20130513,0,0.02,0.02,0.02,0.02,90100,0.02
20130510,0,0.02,0.02,0.02,0.02,49000,0.02
20130509,0,0.02,0.02,0.01,0.02,34200,0.02
20130508,0,0.02,0.02,0.02,0.02,427400,0.02
20130507,0,0.02,0.02,0.02,0.02,75800,0.02
20130506,0,0.02,0.02,0.02,0.02,310200,0.02
20130503,0,0.02,0.02,0.02,0.02,824000,0.02
20130502,0,0.02,0.02,0.02,0.02,221500,0.02
20130501,0,0.02,0.02,0.02,0.02,214000,0.02
20130430,0,0.03,0.03,0.02,0.03,227200,0.03
20130429,0,0.02,0.03,0.02,0.03,14800,0.03
20130426,0,0.02,0.03,0.02,0.02,74500,0.02
20130425,0,0.02,0.03,0.02,0.03,21800,0.03
20130424,0,0.02,0.02,0.02,0.02,239000,0.02
20130423,0,0.02,0.02,0.02,0.02,43900,0.02
20130422,0,0.02,0.03,0.02,0.03,19000,0.03
20130419,0,0.02,0.02,0.02,0.02,335500,0.02
20130418,0,0.03,0.03,0.03,0.03,190500,0.03
20130417,0,0.03,0.03,0.03,0.03,0,0.03
20130416,0,0.02,0.03,0.02,0.03,75100,0.03
20130415,0,0.03,0.03,0.02,0.03,494100,0.03
20130412,0,0.03,0.03,0.02,0.03,82000,0.03
20130411,0,0.03,0.03,0.02,0.03,66100,0.03
20130410,0,0.02,0.03,0.02,0.03,2035500,0.03
20130409,0,0.03,0.03,0.02,0.03,179600,0.03
20130408,0,0.02,0.03,0.02,0.03,15000,0.03
20130405,0,0.02,0.03,0.02,0.03,69000,0.03
20130404,0,0.03,0.03,0.02,0.03,36000,0.03
20130403,0,0.03,0.03,0.03,0.03,550000,0.03
20130402,0,0.02,0.02,0.02,0.02,10100,0.02
20130401,0,0.03,0.03,0.02,0.02,271800,0.02
20130328,0,0.03,0.03,0.03,0.03,5600,0.03
20130327,0,0.03,0.04,0.03,0.03,125900,0.03
20130326,0,0.03,0.03,0.03,0.03,1434100,0.03
20130325,0,0.03,0.03,0.02,0.03,220700,0.03
20130322,0,0.02,0.03,0.02,0.03,395100,0.03
20130321,0,0.03,0.03,0.02,0.02,1072800,0.02
20130320,0,0.02,0.03,0.02,0.03,3135300,0.03
20130319,0,0.02,0.02,0.02,0.02,315600,0.02
20130318,0,0.01,0.02,0.01,0.02,978700,0.02
20130315,0,0.02,0.02,0.01,0.01,1423000,0.01
20130314,0,0.01,0.02,0.01,0.02,1773700,0.02
20130313,0,0.01,0.01,0.01,0.01,1010000,0.01
20130312,0,0.01,0.01,0.01,0.01,9900,0.01
20130311,0,0.01,0.01,0.01,0.01,2000,0.01
20130308,0,0.01,0.01,0.01,0.01,165800,0.01
20130307,0,0.01,0.02,0.01,0.01,151400,0.01
20130306,0,0.01,0.01,0.01,0.01,81700,0.01
20130305,0,0.01,0.01,0.01,0.01,18300,0.01
20130304,0,0.01,0.01,0.01,0.01,4000,0.01
20130301,0,0.01,0.01,0.01,0.01,24100,0.01
20130228,0,0.01,0.02,0.01,0.01,169200,0.01
20130227,0,0.01,0.01,0.01,0.01,427200,0.01
20130226,0,0.01,0.01,0.01,0.01,672100,0.01
20130225,0,0.02,0.02,0.01,0.01,1328000,0.01
20130222,0,0.01,0.02,0.01,0.02,104700,0.02
20130221,0,0.01,0.01,0.01,0.01,92600,0.01
20130220,0,0.01,0.01,0.01,0.01,180800,0.01
20130219,0,0.02,0.02,0.01,0.01,219000,0.01
20130215,0,0.02,0.02,0.02,0.02,138500,0.02
20130214,0,0.02,0.02,0.01,0.02,1211900,0.02
20130213,0,0.02,0.02,0.02,0.02,1010800,0.02
20130212,0,0.02,0.02,0.01,0.02,1340000,0.02
20130211,0,0.02,0.02,0.02,0.02,50100,0.02
20130208,0,0.02,0.02,0.02,0.02,303200,0.02
20130207,0,0.03,0.03,0.02,0.02,400000,0.02
20130206,0,0.03,0.03,0.02,0.03,187600,0.03
20130205,0,0.03,0.04,0.03,0.03,429300,0.03
20130204,0,0.03,0.04,0.03,0.04,4000,0.04
20130201,0,0.04,0.04,0.04,0.04,223700,0.04
20130131,0,0.05,0.05,0.05,0.05,41300,0.05
20130130,0,0.05,0.05,0.05,0.05,22300,0.05
20130129,0,0.05,0.05,0.04,0.05,55200,0.05
20130128,0,0.04,0.05,0.04,0.05,275300,0.05
20130125,0,0.04,0.05,0.04,0.05,321900,0.05
20130124,0,0.04,0.04,0.03,0.04,194000,0.04
20130123,0,0.03,0.04,0.03,0.04,425500,0.04
20130122,0,0.03,0.03,0.03,0.03,263700,0.03
20130118,0,0.03,0.03,0.03,0.03,124600,0.03
20130117,0,0.03,0.03,0.02,0.03,145400,0.03
20130116,0,0.02,0.02,0.02,0.02,349800,0.02
20130115,0,0.02,0.02,0.02,0.02,146000,0.02
20130114,0,0.03,0.03,0.01,0.01,165600,0.01
20130111,0,0.01,0.01,0.01,0.01,300000,0.01
20130110,0,0.03,0.03,0.01,0.01,142700,0.01
20130109,0,0.02,0.02,0.02,0.02,16400,0.02
20130108,0,0.02,0.03,0.02,0.02,75800,0.02
20130107,0,0.01,0.02,0.01,0.02,15300,0.02
20130104,0,0.01,0.01,0.01,0.01,3000,0.01
20130103,0,0.02,0.02,0.02,0.02,28600,0.02
20130102,0,0.01,0.02,0.01,0.02,201600,0.02
20121231,0,0.01,0.01,0.01,0.01,24000,0.01
20121228,0,0.02,0.02,0.01,0.01,10800,0.01
20121227,0,0.01,0.01,0.01,0.01,20000,0.01
20121226,0,0.01,0.02,0.01,0.02,10800,0.02
20121224,0,0.02,0.02,0.02,0.02,26000,0.02
20121221,0,0.02,0.02,0.02,0.02,226100,0.02
20121220,0,0.02,0.02,0.02,0.02,118000,0.02
20121219,0,0.02,0.02,0.02,0.02,4600,0.02
20121218,0,0.02,0.02,0.02,0.02,4000,0.02
20121217,0,0.02,0.02,0.02,0.02,442000,0.02
20121214,0,0.02,0.02,0.02,0.02,37900,0.02
20121213,0,0.02,0.02,0.02,0.02,5600,0.02
20121212,0,0.02,0.02,0.02,0.02,114800,0.02
20121211,0,0.02,0.02,0.02,0.02,50000,0.02
20121210,0,0.02,0.02,0.02,0.02,220600,0.02
20121207,0,0.02,0.02,0.02,0.02,136100,0.02
20121206,0,0.03,0.03,0.02,0.02,235000,0.02
20121205,0,0.03,0.03,0.02,0.02,184800,0.02
20121204,0,0.03,0.03,0.02,0.02,474000,0.02
20121203,0,0.03,0.03,0.02,0.03,27200,0.03
20121130,0,0.03,0.03,0.03,0.03,117600,0.03
20121129,0,0.02,0.03,0.02,0.03,68100,0.03
20121128,0,0.02,0.03,0.02,0.02,31000,0.02
20121127,0,0.03,0.03,0.02,0.02,120300,0.02
20121126,0,0.03,0.03,0.03,0.03,114200,0.03
20121123,0,0.03,0.03,0.03,0.03,8500,0.03
20121121,0,0.03,0.03,0.03,0.03,4500,0.03
20121120,0,0.03,0.03,0.03,0.03,4100,0.03
20121119,0,0.03,0.03,0.03,0.03,139800,0.03
20121116,0,0.03,0.03,0.02,0.02,16300,0.02
20121115,0,0.03,0.03,0.03,0.03,323700,0.03
20121114,0,0.03,0.04,0.03,0.03,316600,0.03
20121113,0,0.04,0.04,0.03,0.03,173100,0.03
20121112,0,0.04,0.04,0.04,0.04,314600,0.04
20121109,0,0.04,0.04,0.04,0.04,35500,0.04
20121108,0,0.05,0.05,0.04,0.04,53400,0.04
20121107,0,0.04,0.04,0.04,0.04,196200,0.04
20121106,0,0.05,0.05,0.03,0.04,440200,0.04
20121105,0,0.05,0.05,0.05,0.05,667700,0.05
