date,time,open price,high price,low price,close price,volume,adjusted price
20130702,0,1.8,1.84,1.78,1.84,54900,1.84
20130701,0,1.86,1.89,1.82,1.84,48600,1.84
20130628,0,1.78,1.86,1.78,1.86,15800,1.86
20130627,0,1.78,1.82,1.78,1.8,66900,1.8
20130626,0,1.75,1.78,1.73,1.77,16000,1.77
20130625,0,1.74,1.79,1.73,1.75,32400,1.75
20130624,0,1.7,1.78,1.7,1.74,43600,1.74
20130621,0,1.72,1.74,1.71,1.71,15500,1.71
20130620,0,1.74,1.76,1.68,1.72,103100,1.72
20130619,0,1.76,1.79,1.75,1.76,44000,1.76
20130618,0,1.78,1.8,1.75,1.78,58100,1.78
20130617,0,1.8,1.83,1.76,1.8,29500,1.8
20130614,0,1.79,1.85,1.75,1.8,36900,1.8
20130613,0,1.75,1.79,1.74,1.79,25000,1.79
20130612,0,1.75,1.79,1.75,1.76,46000,1.76
20130611,0,1.72,1.8,1.72,1.75,64500,1.75
20130610,0,1.7,1.76,1.7,1.74,44600,1.74
20130607,0,1.75,1.79,1.73,1.73,41000,1.73
20130606,0,1.73,1.78,1.71,1.76,101000,1.76
20130605,0,1.81,1.82,1.75,1.78,67600,1.78
20130604,0,1.81,1.83,1.8,1.8,27500,1.8
20130603,0,1.84,1.84,1.81,1.81,109300,1.81
20130531,0,1.86,1.86,1.8,1.8,59100,1.8
20130530,0,1.83,1.83,1.8,1.82,24300,1.82
20130529,0,1.8,1.82,1.75,1.8,80000,1.8
20130528,0,1.83,1.84,1.81,1.83,15400,1.83
20130524,0,1.84,1.86,1.82,1.82,48200,1.82
20130523,0,1.83,1.86,1.81,1.83,93000,1.83
20130522,0,1.83,1.88,1.81,1.83,53000,1.83
20130521,0,1.85,1.9,1.82,1.86,117100,1.86
20130520,0,1.81,1.9,1.8,1.85,157700,1.85
20130517,0,1.82,1.87,1.8,1.85,177800,1.85
20130516,0,2.05,2.05,1.76,1.9,361900,1.9
20130515,0,2.09,2.1,2.08,2.1,50500,2.1
20130514,0,2.1,2.11,2.07,2.1,111600,2.1
20130513,0,2.07,2.14,2.06,2.14,239500,2.14
20130510,0,2.1,2.12,2.06,2.12,140700,2.12
20130509,0,2.05,2.08,2.05,2.08,55500,2.08
20130508,0,2.06,2.1,2.06,2.07,91800,2.07
20130507,0,2.1,2.11,2.09,2.09,95100,2.09
20130506,0,2.08,2.12,2.07,2.1,137400,2.1
20130503,0,2.1,2.16,2.08,2.08,242300,2.08
20130502,0,2.06,2.1,2.05,2.1,50400,2.1
20130501,0,2.08,2.1,2.05,2.05,22800,2.05
20130430,0,2.14,2.15,2.08,2.1,170000,2.1
20130429,0,2.08,2.1,2.03,2.1,156100,2.1
