date,time,open price,high price,low price,close price,volume,adjusted price
20130702,0,0.2,0.2,0.2,0.2,0,0.2
20130701,0,0.2,0.2,0.2,0.2,0,0.2
20130628,0,0.2,0.2,0.2,0.2,0,0.2
20130627,0,0.2,0.2,0.2,0.2,0,0.2
20130626,0,0.2,0.2,0.2,0.2,0,0.2
20130625,0,0.2,0.2,0.2,0.2,0,0.2
20130624,0,0.2,0.2,0.2,0.2,0,0.2
20130621,0,0.2,0.2,0.2,0.2,0,0.2
20130620,0,0.2,0.2,0.2,0.2,0,0.2
20130619,0,0.2,0.2,0.2,0.2,200,0.2
20130618,0,0.12,0.12,0.12,0.12,500,0.12
20130617,0,0.12,0.12,0.12,0.12,500,0.12
20130614,0,0.2,0.2,0.2,0.2,0,0.2
20130613,0,0.2,0.2,0.2,0.2,0,0.2
20130612,0,0.2,0.2,0.2,0.2,0,0.2
20130611,0,0.2,0.2,0.2,0.2,0,0.2
20130610,0,0.2,0.2,0.2,0.2,0,0.2
20130607,0,0.2,0.2,0.2,0.2,0,0.2
20130606,0,0.2,0.2,0.2,0.2,0,0.2
20130605,0,0.2,0.2,0.2,0.2,0,0.2
20130604,0,0.2,0.2,0.2,0.2,0,0.2
20130603,0,0.2,0.2,0.2,0.2,0,0.2
20130531,0,0.2,0.2,0.2,0.2,0,0.2
20130530,0,0.2,0.2,0.2,0.2,0,0.2
20130529,0,0.2,0.2,0.2,0.2,0,0.2
20130528,0,0.2,0.2,0.2,0.2,1000,0.2
20130524,0,0.18,0.18,0.18,0.18,0,0.18
20130523,0,0.18,0.18,0.18,0.18,0,0.18
20130522,0,0.18,0.18,0.18,0.18,0,0.18
20130521,0,0.18,0.2,0.18,0.18,8500,0.18
20130520,0,0.16,0.16,0.16,0.16,0,0.16
20130517,0,0.16,0.16,0.16,0.16,0,0.16
20130516,0,0.16,0.16,0.16,0.16,0,0.16
20130515,0,0.16,0.16,0.16,0.16,0,0.16
20130514,0,0.16,0.16,0.16,0.16,0,0.16
20130513,0,0.16,0.16,0.16,0.16,0,0.16
20130510,0,0.16,0.16,0.16,0.16,0,0.16
20130509,0,0.16,0.16,0.16,0.16,5000,0.16
20130508,0,0.13,0.16,0.13,0.16,41500,0.16
20130507,0,0.13,0.13,0.13,0.13,0,0.13
20130506,0,0.13,0.13,0.13,0.13,0,0.13
20130503,0,0.13,0.13,0.13,0.13,0,0.13
20130502,0,0.13,0.13,0.13,0.13,0,0.13
20130501,0,0.13,0.13,0.13,0.13,1500,0.13
20130430,0,0.13,0.13,0.13,0.13,0,0.13
20130429,0,0.13,0.13,0.13,0.13,0,0.13
20130426,0,0.13,0.13,0.13,0.13,11500,0.13
20130425,0,0.12,0.12,0.12,0.12,0,0.12
20130424,0,0.12,0.12,0.12,0.12,0,0.12
20130423,0,0.12,0.12,0.12,0.12,0,0.12
20130422,0,0.12,0.12,0.12,0.12,0,0.12
20130419,0,0.12,0.12,0.12,0.12,0,0.12
20130418,0,0.12,0.12,0.12,0.12,0,0.12
20130417,0,0.12,0.12,0.12,0.12,0,0.12
20130416,0,0.12,0.12,0.12,0.12,0,0.12
20130415,0,0.12,0.12,0.12,0.12,1000,0.12
20130412,0,0.14,0.14,0.14,0.14,0,0.14
20130411,0,0.14,0.14,0.14,0.14,0,0.14
20130410,0,0.14,0.14,0.14,0.14,0,0.14
20130409,0,0.14,0.14,0.14,0.14,0,0.14
20130408,0,0.14,0.14,0.14,0.14,0,0.14
20130405,0,0.14,0.14,0.14,0.14,0,0.14
20130404,0,0.14,0.14,0.14,0.14,0,0.14
20130403,0,0.14,0.14,0.14,0.14,0,0.14
20130402,0,0.14,0.14,0.14,0.14,0,0.14
20130401,0,0.14,0.14,0.14,0.14,0,0.14
20130328,0,0.14,0.14,0.14,0.14,0,0.14
20130327,0,0.14,0.14,0.14,0.14,0,0.14
20130326,0,0.14,0.14,0.14,0.14,0,0.14
20130325,0,0.14,0.14,0.14,0.14,0,0.14
20130322,0,0.14,0.14,0.14,0.14,0,0.14
20130321,0,0.14,0.14,0.14,0.14,10000,0.14
