date,time,open price,high price,low price,close price,volume,adjusted price
20130702,0,4.41,4.62,4.41,4.61,548400,4.5
20130701,0,4.42,4.48,4.41,4.43,443600,4.32
20130628,0,4.57,4.59,4.45,4.53,651200,4.42
20130627,0,4.59,4.72,4.53,4.58,1100000,4.47
20130626,0,4.47,4.64,4.42,4.64,1162000,4.53
20130625,0,4.65,4.65,4.4,4.49,1309300,4.38
20130624,0,4.75,4.83,4.51,4.73,1470100,4.62
20130621,0,4.83,4.85,4.71,4.75,1335500,4.64
20130620,0,4.87,4.9,4.77,4.83,1064300,4.71
20130619,0,4.94,4.94,4.84,4.88,863000,4.76
20130618,0,4.72,4.93,4.71,4.9,3731000,4.78
20130617,0,4.9,4.93,4.79,4.81,867500,4.69
20130614,0,4.9,5,4.9,4.95,768400,4.83
20130613,0,5.05,5.07,4.89,4.93,937500,4.81
20130612,0,5.08,5.1,5.01,5.05,588200,4.93
20130611,0,5.14,5.15,5.08,5.13,548400,5.01
20130610,0,5.12,5.12,5.12,5.12,0,5
20130607,0,5.05,5.15,4.99,5.12,778100,5
20130606,0,5.38,5.38,5.21,5.23,813300,5.1
20130605,0,5.49,5.49,5.4,5.43,488700,5.3
20130604,0,5.5,5.53,5.43,5.5,290900,5.37
20130603,0,5.48,5.52,5.43,5.5,574100,5.37
20130531,0,5.48,5.6,5.48,5.54,425400,5.41
20130530,0,5.57,5.58,5.43,5.49,415400,5.36
20130529,0,5.45,5.56,5.2,5.54,811700,5.41
20130528,0,5.53,5.54,5.47,5.5,525500,5.37
20130527,0,5.53,5.54,5.45,5.53,749500,5.4
20130524,0,5.54,5.57,5.45,5.53,559200,5.4
20130523,0,5.59,5.59,5.45,5.5,533300,5.37
20130522,0,5.59,5.63,5.55,5.57,717600,5.44
20130521,0,5.5,5.6,5.47,5.6,437400,5.47
20130520,0,5.38,5.57,5.38,5.5,430700,5.37
20130517,0,5.42,5.42,5.33,5.37,413700,5.24
20130516,0,5.37,5.45,5.34,5.44,629700,5.31
20130515,0,5.4,5.4,5.26,5.32,467200,5.19
20130514,0,5.38,5.43,5.3,5.39,570500,5.26
20130513,0,5.36,5.41,5.36,5.4,411700,5.27
20130510,0,5.34,5.41,5.31,5.36,400600,5.23
20130509,0,5.2,5.43,5.2,5.35,700500,5.22
20130508,0,5.25,5.26,5.18,5.2,310600,5.08
20130507,0,5.12,5.23,5.1,5.23,720400,5.1
20130506,0,5.1,5.14,5.07,5.08,273800,4.96
20130503,0,5.02,5.1,5,5.08,123300,4.96
20130502,0,5.1,5.1,5.01,5.02,268400,4.9
20130501,0,5.1,5.13,5.02,5.06,485000,4.94
20130430,0,5.1,5.14,5.09,5.11,393500,4.99
20130429,0,5.09,5.15,5.04,5.11,434800,4.99
20130426,0,5.01,5.14,4.95,5.08,929300,4.96
20130425,0,5.01,5.01,5.01,5.01,0,4.89
20130424,0,4.95,5.05,4.93,5.01,474100,4.89
20130423,0,4.84,4.97,4.84,4.85,613200,4.73
20130422,0,4.77,4.85,4.77,4.84,589400,4.72
20130419,0,4.8,4.85,4.75,4.77,438000,4.66
20130418,0,4.94,4.94,4.75,4.8,453100,4.69
20130417,0,4.85,4.94,4.85,4.92,210400,4.8
20130416,0,4.8,4.85,4.8,4.85,460600,4.73
20130415,0,4.89,4.93,4.85,4.88,294600,4.76
20130412,0,4.88,4.94,4.87,4.9,210300,4.78
20130411,0,4.9,4.91,4.84,4.87,593500,4.75
20130410,0,4.94,4.97,4.78,4.8,942400,4.69
20130409,0,4.97,4.97,4.91,4.94,583000,4.82
20130408,0,4.86,4.93,4.79,4.87,738200,4.75
20130405,0,4.74,4.78,4.71,4.77,656200,4.66
20130404,0,4.8,4.85,4.72,4.73,896500,4.62
20130403,0,4.89,4.94,4.85,4.85,768000,4.73
20130402,0,4.99,5,4.87,4.95,341600,4.83
20130401,0,4.95,4.95,4.95,4.95,0,4.83
20130329,0,4.95,4.95,4.95,4.95,0,4.83
20130328,0,5.02,5.04,4.86,4.95,833900,4.83
20130327,0,5.04,5.08,5.01,5.04,746800,4.92
20130326,0,5.05,5.13,5.02,5.03,936000,4.91
20130325,0,5.05,5.12,5.03,5.07,588700,4.95
20130322,0,5.05,5.08,5.01,5.04,848800,4.92
20130321,0,5,5.1,5,5.07,1073600,4.95
20130320,0,5.05,5.07,4.99,5.01,1171000,4.89
20130319,0,5.1,5.17,5.02,5.08,1156000,4.96
20130318,0,5.1,5.23,5.06,5.09,862500,4.97
20130315,0,4.94,5.24,4.92,5.24,1373600,5.11
20130314,0,4.89,4.94,4.81,4.9,1036000,4.78
20130313,0,4.65,4.94,4.65,4.91,966400,4.79
20130312,0,4.75,4.78,4.58,4.62,1538600,4.51
20130311,0,4.78,4.78,4.66,4.75,790200,4.64
20130308,0,4.7,4.8,4.68,4.77,764300,4.66
20130307,0,4.89,4.91,4.76,4.78,1126700,4.67
20130306,0,4.97,4.99,4.84,4.9,867400,4.78
20130305,0,5,5.05,4.94,4.97,1224300,4.85
20130304,0,5.02,5.06,4.97,5.02,670600,4.9
20130301,0,4.92,5.1,4.92,5.1,1017300,4.87
20130228,0,5.2,5.25,4.9,4.92,2369600,4.69
20130227,0,5.86,5.88,5.19,5.37,1859400,5.12
20130226,0,5.84,5.87,5.76,5.84,538100,5.57
20130225,0,5.78,5.81,5.76,5.79,325400,5.52
20130222,0,5.76,5.8,5.73,5.75,349300,5.49
20130221,0,5.85,5.85,5.71,5.76,391500,5.5
20130220,0,5.78,5.83,5.74,5.77,379100,5.5
20130219,0,5.7,5.78,5.69,5.75,279100,5.49
20130218,0,5.76,5.8,5.71,5.72,270800,5.46
20130215,0,5.62,5.7,5.62,5.7,353700,5.44
20130214,0,5.66,5.73,5.63,5.7,310200,5.44
20130213,0,5.72,5.74,5.63,5.67,521800,5.41
20130212,0,5.7,5.71,5.6,5.65,418500,5.39
20130211,0,5.54,5.71,5.54,5.69,492300,5.43
20130208,0,5.61,5.63,5.55,5.58,645700,5.32
20130207,0,5.7,5.73,5.63,5.63,671400,5.37
20130206,0,5.72,5.78,5.6,5.7,704900,5.44
20130205,0,5.76,5.85,5.72,5.72,1137600,5.46
20130204,0,5.85,5.85,5.74,5.84,450300,5.57
20130201,0,5.8,5.88,5.8,5.85,533700,5.58
20130131,0,5.77,5.83,5.74,5.83,552000,5.56
20130130,0,5.8,5.83,5.77,5.8,832800,5.53
20130129,0,6,6.04,5.83,5.84,841000,5.57
20130128,0,5.94,5.94,5.94,5.94,0,5.67
20130125,0,5.91,5.95,5.88,5.94,542200,5.67
20130124,0,5.8,5.96,5.8,5.94,933600,5.67
20130123,0,5.85,5.91,5.82,5.84,1040600,5.57
20130122,0,5.79,5.84,5.7,5.82,1308200,5.55
20130121,0,5.77,5.88,5.75,5.8,649500,5.53
20130118,0,5.69,5.78,5.68,5.73,596700,5.47
20130117,0,5.62,5.74,5.61,5.69,948400,5.43
20130116,0,5.55,5.58,5.5,5.55,397700,5.29
20130115,0,5.5,5.57,5.49,5.57,309200,5.31
20130114,0,5.59,5.59,5.5,5.5,266100,5.25
20130111,0,5.45,5.5,5.43,5.5,512500,5.25
20130110,0,5.45,5.49,5.41,5.42,314900,5.17
20130109,0,5.32,5.45,5.32,5.44,405700,5.19
20130108,0,5.33,5.37,5.31,5.32,296300,5.08
20130107,0,5.48,5.48,5.34,5.35,503000,5.1
20130104,0,5.6,5.6,5.32,5.38,399800,5.13
20130103,0,5.38,5.58,5.35,5.58,673700,5.32
20130102,0,5.3,5.38,5.28,5.38,238800,5.13
20130101,0,5.27,5.27,5.27,5.27,0,5.03
20121231,0,5.25,5.28,5.2,5.27,130100,5.03
20121228,0,5.3,5.38,5.27,5.27,279000,5.03
20121227,0,5.27,5.28,5.23,5.25,154000,5.01
20121226,0,5.24,5.24,5.24,5.24,0,5
