date,time,open price,high price,low price,close price,volume,adjusted price
20130702,0,19.5,19.5,19.5,19.5,0,19.5
20130701,0,19.2,19.5,19.2,19.5,500,19.5
20130628,0,19.47,19.47,19.37,19.37,1300,19.37
20130627,0,19.97,19.97,19.65,19.65,900,19.65
20130626,0,19.24,19.55,19.24,19.55,100,19.55
20130625,0,18.91,18.91,18.84,18.84,400,18.84
20130624,0,19.11,19.17,18.27,18.31,5100,18.31
20130621,0,19.11,19.42,19.11,19.42,1300,19.42
20130620,0,19.75,19.75,19.41,19.41,500,19.41
20130619,0,20.05,20.05,19.84,19.86,700,19.86
20130618,0,20.13,20.13,19.65,20.05,1300,20.05
20130617,0,19.79,20.1,19.78,20.1,900,20.1
20130614,0,19.71,20,19.71,20,200,20
20130613,0,19.18,19.47,19.15,19.47,1800,19.47
20130612,0,20,20,20,20,0,20
20130611,0,19.94,20.06,19.94,20,1300,20
20130610,0,20.38,20.5,20.38,20.43,1000,20.43
20130607,0,19.94,19.99,19.94,19.99,100,19.99
20130606,0,19.66,19.75,19.49,19.5,1900,19.5
20130605,0,20.18,20.18,19.88,20.03,2800,20.03
20130604,0,19.99,20.32,19.99,20.3,2000,20.3
20130603,0,20.1,20.47,20.02,20.4,4600,20.4
20130531,0,19.98,20.42,19.98,20.14,1100,20.14
20130530,0,19.71,20.06,19.71,20.06,1200,20.06
20130529,0,20.3,20.3,19.55,19.62,2500,19.62
20130528,0,20.66,20.78,20.55,20.55,1000,20.55
20130527,0,20.63,20.63,20.38,20.47,2500,20.47
20130524,0,20.02,20.15,19.71,20.15,3200,20.15
20130523,0,20.5,20.55,19.91,20.27,5900,20.27
20130522,0,20.9,21.12,20.8,20.98,4600,20.98
20130521,0,20.8,21.08,20.7,21,7700,21
20130520,0,21.38,21.4,20.42,20.78,8300,20.78
20130517,0,20.88,21,20.6,20.91,7400,20.91
20130516,0,21.22,21.43,20.88,20.88,3800,20.88
20130515,0,20.6,21,20.55,21,3400,21
20130514,0,20.4,20.69,20.25,20.47,7400,20.47
20130513,0,20.5,20.88,20.35,20.4,8100,20.4
20130510,0,20.22,20.55,20.1,20.4,3800,20.4
