date,time,open price,high price,low price,close price,volume,adjusted price
20140113,0,4.11,4.11,3.89,3.9,3298400,3.9
20140110,0,4.08,4.12,3.97,4.11,3657700,4.11
20140109,0,4.03,4.24,3.97,4.12,14728500,4.12
20140108,0,3.71,4.05,3.69,3.97,12970100,3.97
20140107,0,3.62,3.7,3.61,3.68,801300,3.68
20140106,0,3.69,3.7,3.53,3.6,818000,3.6
20140103,0,3.66,3.7,3.65,3.68,459000,3.68
20140102,0,3.74,3.74,3.66,3.69,1402400,3.69
20140101,0,3.72,3.72,3.72,3.72,0,3.72
20131231,0,3.66,3.72,3.66,3.72,1952400,3.72
20131230,0,3.65,3.67,3.64,3.66,817200,3.66
20131227,0,3.54,3.65,3.53,3.65,476200,3.65
20131226,0,3.53,3.53,3.53,3.53,0,3.53
20131225,0,3.53,3.53,3.53,3.53,0,3.53
20131224,0,3.55,3.55,3.53,3.53,31000,3.53
20131223,0,3.56,3.6,3.54,3.55,168300,3.55
20131220,0,3.58,3.62,3.56,3.58,134000,3.58
20131219,0,3.6,3.63,3.54,3.57,931100,3.57
20131218,0,3.57,3.61,3.57,3.6,57000,3.6
20131217,0,3.61,3.62,3.54,3.57,1571700,3.57
20131216,0,3.6,3.63,3.55,3.6,1590500,3.6
20131213,0,3.55,3.6,3.52,3.58,354200,3.58
20131212,0,3.58,3.61,3.53,3.57,396000,3.57
20131211,0,3.61,3.61,3.57,3.58,313000,3.58
20131210,0,3.58,3.66,3.53,3.6,779500,3.6
20131209,0,3.57,3.62,3.56,3.57,133100,3.57
20131206,0,3.58,3.58,3.56,3.56,452100,3.56
20131205,0,3.51,3.62,3.51,3.6,529300,3.6
20131204,0,3.5,3.59,3.49,3.58,1352300,3.58
20131203,0,3.5,3.52,3.5,3.52,314600,3.52
20131202,0,3.52,3.55,3.43,3.5,1151100,3.5
20131129,0,3.58,3.59,3.5,3.5,2351400,3.5
20131128,0,3.57,3.6,3.56,3.58,156900,3.58
20131127,0,3.59,3.61,3.56,3.58,1085500,3.58
20131126,0,3.6,3.6,3.56,3.58,403600,3.58
20131125,0,3.66,3.67,3.61,3.62,651000,3.62
20131122,0,3.69,3.69,3.58,3.58,623100,3.58
20131121,0,3.7,3.72,3.65,3.69,953100,3.69
20131120,0,3.69,3.7,3.64,3.7,544000,3.7
20131119,0,3.68,3.72,3.64,3.69,539100,3.69
20131118,0,3.62,3.73,3.62,3.73,977700,3.73
20131115,0,3.67,3.69,3.58,3.67,782000,3.67
20131114,0,3.67,3.7,3.65,3.68,460600,3.68
20131113,0,3.66,3.67,3.64,3.67,384400,3.67
20131112,0,3.65,3.71,3.65,3.69,1323000,3.69
20131111,0,3.75,3.75,3.6,3.68,469100,3.68
20131108,0,3.62,3.66,3.6,3.62,551000,3.62
20131107,0,3.68,3.68,3.63,3.67,471300,3.67
20131106,0,3.66,3.67,3.63,3.67,360100,3.67
20131105,0,3.55,3.67,3.55,3.65,100000,3.65
20131104,0,3.7,3.74,3.66,3.67,202100,3.67
20131101,0,3.65,3.71,3.63,3.69,920300,3.69
20131031,0,3.56,3.66,3.56,3.62,196000,3.62
20131030,0,3.6,3.61,3.57,3.61,141100,3.61
20131029,0,3.57,3.6,3.55,3.6,348000,3.6
20131028,0,3.6,3.67,3.58,3.58,364000,3.58
20131025,0,3.6,3.63,3.59,3.59,1015600,3.59
20131024,0,3.64,3.68,3.61,3.64,896700,3.64
20131023,0,3.65,3.68,3.64,3.64,996000,3.64
20131022,0,3.67,3.68,3.64,3.68,995500,3.68
20131021,0,3.6,3.71,3.6,3.67,1534100,3.67
20131018,0,3.7,3.71,3.62,3.65,509000,3.65
20131017,0,3.6,3.73,3.57,3.66,2135300,3.66
20131016,0,3.65,3.65,3.53,3.57,475700,3.57
20131015,0,3.6,3.64,3.59,3.64,703600,3.64
20131014,0,3.6,3.6,3.6,3.6,0,3.6
20131011,0,3.6,3.64,3.6,3.6,1301600,3.6
20131010,0,3.58,3.61,3.55,3.57,1307300,3.57
20131009,0,3.59,3.59,3.5,3.55,382100,3.55
20131008,0,3.62,3.64,3.58,3.59,1778000,3.59
20131007,0,3.53,3.65,3.53,3.61,2143300,3.61
20131004,0,3.46,3.55,3.45,3.51,1763200,3.51
20131003,0,3.42,3.49,3.42,3.47,503200,3.47
20131002,0,3.43,3.46,3.4,3.42,640100,3.42
20131001,0,3.43,3.43,3.43,3.43,0,3.43
20130930,0,3.41,3.43,3.37,3.43,425500,3.43
20130927,0,3.5,3.52,3.45,3.45,619000,3.45
20130926,0,3.58,3.59,3.49,3.5,391000,3.5
20130925,0,3.56,3.6,3.55,3.6,401200,3.6
20130924,0,3.61,3.62,3.5,3.57,525300,3.57
20130923,0,3.9,3.9,3.6,3.61,1573500,3.61
20130920,0,3.6,3.6,3.6,3.6,0,3.6
20130919,0,3.44,3.61,3.44,3.6,2418000,3.6
20130918,0,3.46,3.46,3.4,3.4,357000,3.4
20130917,0,3.44,3.53,3.44,3.45,931000,3.45
20130916,0,3.47,3.56,3.45,3.48,2123400,3.48
20130913,0,3.45,3.45,3.39,3.44,593000,3.44
20130912,0,3.4,3.48,3.35,3.45,1406200,3.45
20130911,0,3.39,3.4,3.38,3.4,426100,3.4
20130910,0,3.37,3.45,3.34,3.41,1329400,3.41
20130909,0,3.41,3.47,3.36,3.38,697100,3.38
20130906,0,3.34,3.46,3.34,3.41,1038000,3.41
20130905,0,3.49,3.49,3.31,3.34,1696000,3.34
20130904,0,3.45,3.54,3.45,3.5,174000,3.5
20130903,0,3.46,3.56,3.44,3.52,958200,3.52
20130902,0,3.43,3.45,3.41,3.42,1572700,3.42
20130830,0,3.52,3.53,3.4,3.45,1196000,3.45
20130829,0,3.47,3.59,3.45,3.52,619000,3.52
20130828,0,3.58,3.58,3.43,3.47,1727000,3.47
20130827,0,3.63,3.65,3.57,3.64,1389200,3.64
20130826,0,3.66,3.73,3.66,3.67,440000,3.67
20130823,0,3.79,3.84,3.63,3.66,871000,3.66
20130822,0,3.77,3.83,3.74,3.79,960100,3.79
20130821,0,3.65,3.85,3.65,3.77,1570000,3.77
20130820,0,3.87,3.94,3.64,3.67,2350000,3.67
20130819,0,3.72,3.97,3.7,3.85,6098700,3.85
20130816,0,3.63,3.76,3.6,3.7,1452800,3.7
20130815,0,3.71,3.71,3.65,3.67,901700,3.67
20130814,0,3.71,3.71,3.71,3.71,0,3.71
20130813,0,3.6,3.72,3.55,3.71,2532000,3.71
20130812,0,3.53,3.58,3.5,3.55,1428700,3.55
20130809,0,3.52,3.61,3.52,3.53,333000,3.53
