Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,0.26,0.28,0.26,0.28,820000,0.28
2013-09-26,0.28,0.28,0.25,0.26,2980000,0.26
2013-09-25,0.28,0.28,0.25,0.26,2641000,0.26
2013-09-24,0.29,0.29,0.28,0.28,380000,0.28
2013-09-23,0.28,0.28,0.28,0.28,770000,0.28
2013-09-20,0.28,0.28,0.28,0.28,000,0.28
2013-09-19,0.29,0.30,0.28,0.28,1043000,0.28
2013-09-18,0.28,0.29,0.25,0.28,2700000,0.28
2013-09-17,0.25,0.32,0.25,0.28,6955000,0.28
2013-09-16,0.31,0.31,0.27,0.28,3240600,0.28
2013-09-13,0.31,0.31,0.28,0.28,3620000,0.28
2013-09-12,0.33,0.33,0.32,0.32,844000,0.32
2013-09-11,0.33,0.36,0.32,0.33,7680000,0.33
2013-09-10,0.34,0.35,0.31,0.34,6121600,0.34
2013-09-09,0.35,0.40,0.31,0.33,50875100,0.33
2013-09-06,0.25,0.34,0.25,0.34,38705300,0.34
2013-09-05,0.26,0.26,0.23,0.25,9139000,0.25
2013-09-04,0.26,0.31,0.25,0.26,21779600,0.26
2013-09-03,0.21,0.31,0.19,0.28,90246500,0.28
2013-09-02,0.13,0.23,0.13,0.22,98050600,0.22
2013-08-30,0.12,0.13,0.12,0.12,2408600,0.12
2013-08-29,0.12,0.12,0.12,0.12,724000,0.12
2013-08-28,0.12,0.12,0.12,0.12,2756000,0.12
2013-08-27,0.12,0.12,0.12,0.12,000,0.12
2013-08-26,0.12,0.12,0.12,0.12,5980000,0.12
2013-08-23,0.12,0.12,0.12,0.12,1820000,0.12
2013-08-22,0.12,0.12,0.12,0.12,2090000,0.12
2013-08-21,0.12,0.12,0.12,0.12,1430500,0.12
2013-08-20,0.12,0.12,0.11,0.12,720000,0.12
2013-08-19,0.12,0.12,0.12,0.12,1649000,0.12
2013-08-16,0.12,0.12,0.12,0.12,540000,0.12
2013-08-15,0.12,0.12,0.12,0.12,866000,0.12
2013-08-14,0.12,0.12,0.12,0.12,000,0.12
2013-08-13,0.12,0.12,0.12,0.12,1787700,0.12
2013-08-12,0.12,0.12,0.12,0.12,960000,0.12
2013-08-09,0.12,0.12,0.12,0.12,2430000,0.12
2013-08-08,0.12,0.12,0.12,0.12,2559800,0.12
2013-08-07,0.12,0.12,0.12,0.12,2677600,0.12
2013-08-06,0.12,0.12,0.12,0.12,2040000,0.12
2013-08-05,0.12,0.12,0.12,0.12,5847400,0.12
2013-08-02,0.13,0.13,0.12,0.12,3902000,0.12
2013-08-01,0.11,0.13,0.11,0.13,14044500,0.13
2013-07-31,0.11,0.11,0.11,0.11,8347600,0.11
