Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,7.27,7.34,7.00,7.12,16800,7.12
2013-09-26,7.32,7.36,7.25,7.30,23300,7.30
2013-09-25,7.27,7.41,7.01,7.30,58100,7.30
2013-09-24,7.45,7.45,7.35,7.45,48500,7.45
2013-09-23,7.41,7.58,7.25,7.48,63300,7.48
2013-09-20,7.48,7.52,7.26,7.44,44900,7.44
2013-09-19,7.62,7.75,7.34,7.51,46500,7.51
2013-09-18,7.60,7.60,7.42,7.60,41200,7.60
2013-09-17,7.48,7.57,7.41,7.54,34400,7.54
2013-09-16,7.52,7.60,7.29,7.46,46500,7.46
2013-09-13,7.26,7.50,7.26,7.39,65700,7.39
2013-09-12,7.37,7.40,7.25,7.25,42000,7.25
2013-09-11,7.40,7.59,7.26,7.39,86600,7.39
2013-09-10,7.38,7.88,7.26,7.28,216200,7.28
2013-09-09,7.11,7.55,7.03,7.35,187600,7.35
2013-09-06,6.79,7.10,6.72,6.98,107300,6.98
2013-09-05,6.42,6.87,6.35,6.76,99100,6.76
2013-09-04,6.05,6.35,6.05,6.25,39000,6.25
2013-09-03,5.92,6.06,5.85,6.04,22700,6.04
2013-08-30,5.92,5.97,5.82,5.89,49700,5.89
2013-08-29,5.91,5.96,5.86,5.91,20600,5.91
2013-08-28,5.86,5.97,5.82,5.93,22500,5.93
2013-08-27,5.97,6.05,5.89,5.91,25600,5.91
2013-08-26,5.99,6.05,5.85,6.03,29800,6.03
2013-08-23,6.02,6.08,5.90,6.06,58000,6.06
2013-08-22,6.03,6.19,5.80,6.04,56200,6.04
2013-08-21,5.98,6.20,5.94,6.09,48300,6.09
2013-08-20,6.13,6.16,5.81,6.04,88400,6.04
2013-08-19,6.30,6.37,6.12,6.17,54000,6.17
2013-08-16,6.53,6.54,6.22,6.35,20500,6.35
2013-08-15,6.40,6.43,6.26,6.35,52500,6.35
2013-08-14,6.45,6.56,6.36,6.46,137300,6.46
2013-08-13,6.28,6.45,6.24,6.45,63800,6.45
2013-08-12,6.17,6.28,6.07,6.23,63200,6.23
2013-08-09,6.20,6.20,5.84,6.11,78400,6.11
2013-08-08,6.26,6.26,6.03,6.15,31500,6.15
2013-08-07,6.28,6.36,5.92,6.19,145800,6.19
2013-08-06,5.61,6.39,5.60,6.05,171000,6.05
2013-08-05,5.53,5.65,5.52,5.64,139500,5.64
2013-08-02,5.70,5.70,5.36,5.49,95600,5.49
2013-08-01,5.45,5.70,5.35,5.61,67000,5.61
2013-07-31,5.38,5.38,5.30,5.38,37900,5.38
2013-07-30,5.33,5.47,5.15,5.38,55600,5.38
2013-07-29,5.22,5.30,5.08,5.30,73100,5.30
2013-07-26,5.36,5.36,5.24,5.28,16400,5.28
2013-07-25,5.14,5.37,5.13,5.37,53600,5.37
2013-07-24,5.28,5.28,5.27,5.27,500,5.27
2013-07-23,5.28,5.29,5.09,5.25,31600,5.25
2013-07-22,5.21,5.30,5.19,5.29,49800,5.29
2013-07-19,5.14,5.15,5.14,5.15,1500,5.15
2013-07-18,5.09,5.25,5.09,5.15,69700,5.15
2013-07-17,5.04,5.08,5.02,5.03,5500,5.03
2013-07-16,5.02,5.07,4.91,5.06,14500,5.06
2013-07-15,5.00,5.05,4.92,5.03,35900,5.03
2013-07-12,4.98,5.05,4.87,5.04,22100,5.04
2013-07-11,5.08,5.08,5.00,5.03,38400,5.03
2013-07-10,5.03,5.08,4.94,5.06,5000,5.06
2013-07-09,4.76,5.08,4.70,5.00,56500,5.00
2013-07-08,4.66,4.90,4.65,4.80,13700,4.80
2013-07-05,4.70,4.75,4.69,4.70,8800,4.70
2013-07-03,4.71,4.71,4.70,4.71,13000,4.71
2013-07-02,4.72,4.72,4.66,4.71,2600,4.71
2013-07-01,4.76,4.79,4.66,4.72,9200,4.72
2013-06-28,4.56,4.77,4.56,4.77,35000,4.77
2013-06-27,4.64,4.64,4.58,4.59,10200,4.59
2013-06-26,4.66,4.75,4.57,4.64,24700,4.64
2013-06-25,4.73,4.78,4.64,4.70,44100,4.70
2013-06-24,4.79,4.79,4.65,4.74,18700,4.74
2013-06-21,4.78,4.79,4.65,4.79,13100,4.79
2013-06-20,4.76,4.79,4.74,4.76,36500,4.76
2013-06-19,4.72,4.76,4.67,4.76,10300,4.76
2013-06-18,4.75,4.75,4.66,4.75,6900,4.75
2013-06-17,4.75,4.75,4.70,4.74,17400,4.74
2013-06-14,4.77,4.79,4.70,4.78,6700,4.78
2013-06-13,4.76,4.82,4.61,4.77,24400,4.77
2013-06-12,4.83,4.83,4.70,4.79,6600,4.79
2013-06-11,4.85,4.85,4.75,4.81,3800,4.81
2013-06-10,4.80,4.92,4.76,4.85,41000,4.85
2013-06-07,4.92,4.92,4.74,4.77,7500,4.77
2013-06-06,4.92,4.92,4.71,4.89,17200,4.89
2013-06-05,4.88,4.94,4.72,4.89,20000,4.89
2013-06-04,4.94,4.94,4.70,4.82,12300,4.82
2013-06-03,4.95,4.95,4.85,4.88,12000,4.88
2013-05-31,4.93,5.00,4.61,4.93,35300,4.93
2013-05-30,5.01,5.10,4.90,5.05,113500,5.05
2013-05-29,4.91,5.04,4.74,5.04,39200,5.04
2013-05-28,4.65,4.99,4.65,4.91,69100,4.91
2013-05-24,4.90,5.04,4.63,4.63,33700,4.63
2013-05-23,4.84,4.89,4.53,4.85,142200,4.85
2013-05-22,4.53,4.88,4.38,4.78,213000,4.78
2013-05-21,4.18,4.65,4.18,4.55,101600,4.55
2013-05-20,4.19,4.22,4.11,4.21,29000,4.21
2013-05-17,4.24,4.29,4.15,4.21,18500,4.21
2013-05-16,4.20,4.29,4.19,4.26,7600,4.26
2013-05-15,4.23,4.27,4.15,4.25,19700,4.25
2013-05-14,4.30,4.34,4.18,4.25,10200,4.25
2013-05-13,4.25,4.34,4.20,4.28,24500,4.28
2013-05-10,4.40,4.40,4.16,4.23,18100,4.23
2013-05-09,4.25,4.34,4.18,4.34,14800,4.34
2013-05-08,4.22,4.27,4.06,4.24,27200,4.24
2013-05-07,4.37,4.37,4.29,4.30,19700,4.30
2013-05-06,4.33,4.34,4.17,4.29,39600,4.29
2013-05-03,4.49,4.65,4.22,4.32,24800,4.32
2013-05-02,4.42,4.52,4.42,4.49,60800,4.49
2013-05-01,4.34,4.45,4.24,4.41,17400,4.41
2013-04-30,4.35,4.39,4.20,4.39,13600,4.39
2013-04-29,4.24,4.32,4.24,4.30,11700,4.30
2013-04-26,4.17,4.35,4.17,4.24,34600,4.24
2013-04-25,4.16,4.24,4.08,4.14,14700,4.14
2013-04-24,4.18,4.19,4.08,4.19,13200,4.19
2013-04-23,4.10,4.19,4.07,4.19,34200,4.19
2013-04-22,4.10,4.18,4.04,4.14,21700,4.14
2013-04-19,4.20,4.20,4.06,4.12,7300,4.12
