Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,1.10,1.20,1.05,1.19,35900,1.19
2013-09-26,1.24,1.25,1.00,1.00,48900,1.00
2013-09-25,1.25,1.25,1.25,1.25,17000,1.25
2013-09-24,1.30,1.30,1.25,1.25,12000,1.25
2013-09-23,1.18,1.20,1.18,1.20,11400,1.20
2013-09-20,1.18,1.25,1.18,1.18,16800,1.18
2013-09-19,1.20,1.20,1.17,1.18,21800,1.18
2013-09-18,1.10,1.17,1.10,1.17,16300,1.17
2013-09-17,1.00,1.15,0.97,1.15,32300,1.15
2013-09-16,0.95,0.98,0.93,0.93,90000,0.93
2013-09-13,0.92,0.92,0.92,0.92,3900,0.92
2013-09-12,0.91,0.97,0.91,0.97,4000,0.97
2013-09-11,0.94,0.95,0.85,0.92,33000,0.92
2013-09-10,0.96,0.96,0.86,0.86,16000,0.86
2013-09-09,0.99,0.99,0.99,0.99,5000,0.99
2013-09-06,0.86,0.94,0.80,0.94,15100,0.94
2013-09-05,0.85,0.90,0.85,0.90,16100,0.90
2013-09-04,0.90,0.95,0.80,0.85,907000,0.85
2013-09-03,0.99,0.99,0.90,0.90,11000,0.90
2013-08-30,0.99,0.99,0.99,0.99,200,0.99
2013-08-29,0.97,0.99,0.97,0.99,1400,0.99
2013-08-28,0.92,1.00,0.90,0.97,17000,0.97
2013-08-27,0.92,1.00,0.92,1.00,8000,1.00
2013-08-26,0.86,1.05,0.86,1.05,2100,1.05
2013-08-23,1.00,1.00,1.00,1.00,2200,1.00
2013-08-22,1.05,1.05,0.90,1.05,3300,1.05
2013-08-21,1.02,1.02,1.02,1.02,000,1.02
2013-08-20,1.02,1.02,1.02,1.02,2100,1.02
2013-08-19,1.00,1.05,0.90,1.05,31400,1.05
2013-08-16,1.00,1.02,1.00,1.02,1300,1.02
2013-08-15,1.02,1.02,0.95,1.00,4900,1.00
2013-08-14,1.02,1.02,1.02,1.02,500,1.02
2013-08-13,0.96,1.10,0.96,1.05,17000,1.05
2013-08-12,0.96,0.96,0.96,0.96,000,0.96
2013-08-09,0.96,0.96,0.96,0.96,000,0.96
2013-08-08,0.93,0.96,0.93,0.96,1800,0.96
2013-08-07,0.95,0.97,0.86,0.87,24400,0.87
2013-08-06,1.00,1.00,1.00,1.00,000,1.00
2013-08-05,1.00,1.00,1.00,1.00,000,1.00
2013-08-02,1.00,1.00,1.00,1.00,100,1.00
2013-08-01,1.00,1.00,1.00,1.00,000,1.00
2013-07-31,1.00,1.00,1.00,1.00,1200,1.00
2013-07-30,0.90,1.00,0.71,1.00,13500,1.00
2013-07-29,0.95,0.95,0.95,0.95,000,0.95
2013-07-26,0.94,0.97,0.92,0.95,14600,0.95
2013-07-25,0.98,0.98,0.98,0.98,4000,0.98
2013-07-24,0.98,0.98,0.98,0.98,3000,0.98
2013-07-23,0.94,0.94,0.94,0.94,2000,0.94
