Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,3.91,4.00,3.90,4.00,2500,4.00
2013-09-26,3.91,3.95,3.90,3.95,1500,3.95
2013-09-25,3.96,3.96,3.96,3.96,000,3.96
2013-09-24,3.93,3.99,3.91,3.96,4000,3.96
2013-09-23,3.90,4.00,3.90,4.00,2500,4.00
2013-09-20,4.06,4.06,3.91,4.00,16900,4.00
2013-09-19,4.04,4.09,4.04,4.09,5600,4.09
2013-09-18,4.03,4.14,4.01,4.09,5600,4.09
2013-09-17,4.05,4.08,4.02,4.05,3800,4.05
2013-09-16,4.03,4.05,4.03,4.05,3400,4.05
2013-09-13,4.00,4.03,4.00,4.02,6500,4.02
2013-09-12,4.01,4.01,4.01,4.01,800,4.01
2013-09-11,3.98,4.02,3.95,4.02,2800,4.02
2013-09-10,4.00,4.04,4.00,4.04,2100,4.04
2013-09-09,4.00,4.00,4.00,4.00,000,4.00
2013-09-06,4.00,4.00,4.00,4.00,600,4.00
2013-09-05,4.00,4.00,3.97,4.00,2000,4.00
2013-09-04,4.03,4.05,3.98,4.00,2700,4.00
2013-09-03,4.05,4.05,4.01,4.03,1700,4.03
2013-09-02,4.06,4.13,4.06,4.13,7200,4.13
2013-08-30,4.00,4.00,3.90,3.98,2900,3.98
2013-08-29,3.98,3.99,3.98,3.99,1200,3.99
2013-08-28,3.97,3.99,3.90,3.99,15700,3.99
2013-08-27,4.00,4.00,3.97,3.97,400,3.97
2013-08-26,4.00,4.05,4.00,4.05,900,4.05
2013-08-23,4.00,4.08,3.98,4.05,12800,4.05
2013-08-22,3.95,4.00,3.95,4.00,3200,4.00
2013-08-21,3.98,3.98,3.95,3.98,1200,3.98
2013-08-20,3.98,4.00,3.95,4.00,2800,4.00
2013-08-19,4.00,4.00,4.00,4.00,200,4.00
2013-08-16,4.00,4.00,3.96,4.00,600,4.00
2013-08-15,4.00,4.00,4.00,4.00,2000,4.00
2013-08-14,4.00,4.00,3.97,3.97,6200,3.97
2013-08-13,4.00,4.08,3.96,3.99,10800,3.99
2013-08-12,3.97,4.04,3.93,4.04,10100,4.04
2013-08-09,4.00,4.00,3.95,4.00,4200,4.00
2013-08-08,4.00,4.00,4.00,4.00,1800,4.00
2013-08-07,4.00,4.00,3.96,4.00,800,4.00
2013-08-06,4.00,4.04,4.00,4.00,4300,4.00
2013-08-05,4.11,4.11,4.11,4.11,000,4.11
2013-08-02,4.03,4.11,4.00,4.11,1300,4.11
2013-08-01,4.04,4.18,4.04,4.10,2000,4.10
2013-07-31,4.12,4.12,4.00,4.04,4800,4.04
2013-07-30,4.13,4.18,4.03,4.15,2300,4.15
2013-07-29,4.00,4.13,4.00,4.13,2600,4.13
2013-07-26,3.95,4.10,3.95,4.10,14200,4.10
2013-07-25,4.00,4.00,3.95,3.96,4000,3.96
2013-07-24,3.99,4.00,3.95,3.95,11600,3.95
2013-07-23,3.90,3.99,3.88,3.99,500,3.99
2013-07-22,3.88,4.01,3.88,4.01,000,4.01
2013-07-19,3.88,3.95,3.87,3.95,400,3.95
2013-07-18,4.00,4.00,3.88,3.98,400,3.98
2013-07-17,4.02,4.02,3.95,3.95,14800,3.95
2013-07-16,3.96,3.96,3.95,3.95,11200,3.95
2013-07-15,3.96,4.03,3.95,4.03,9700,4.03
2013-07-12,3.95,4.03,3.95,4.03,300,4.03
2013-07-11,3.95,4.03,3.95,4.03,2500,4.03
