Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,0.17,0.17,0.16,0.17,541400,0.17
2013-09-26,0.16,0.17,0.16,0.17,15800,0.17
2013-09-25,0.17,0.17,0.16,0.17,812800,0.17
2013-09-24,0.17,0.17,0.16,0.16,588300,0.16
2013-09-23,0.17,0.18,0.17,0.17,115000,0.17
2013-09-20,0.17,0.17,0.17,0.17,90700,0.17
2013-09-19,0.17,0.18,0.16,0.17,164200,0.17
2013-09-18,0.16,0.17,0.16,0.16,196400,0.16
2013-09-17,0.17,0.17,0.17,0.17,81200,0.17
2013-09-16,0.17,0.17,0.16,0.16,158900,0.16
2013-09-13,0.16,0.16,0.16,0.16,172400,0.16
2013-09-12,0.16,0.17,0.16,0.16,250900,0.16
2013-09-11,0.16,0.16,0.16,0.16,527300,0.16
2013-09-10,0.16,0.17,0.16,0.16,632200,0.16
2013-09-09,0.17,0.17,0.16,0.16,946200,0.16
2013-09-06,0.17,0.18,0.17,0.18,161500,0.18
2013-09-05,0.17,0.18,0.17,0.18,247200,0.18
2013-09-04,0.17,0.18,0.17,0.18,547700,0.18
2013-09-03,0.17,0.18,0.17,0.18,249500,0.18
2013-09-02,0.17,0.18,0.17,0.18,26500,0.18
2013-08-30,0.17,0.18,0.16,0.17,164700,0.17
2013-08-29,0.17,0.18,0.17,0.17,395200,0.17
2013-08-28,0.17,0.18,0.17,0.18,865800,0.18
2013-08-27,0.19,0.19,0.17,0.18,646100,0.18
2013-08-26,0.17,0.19,0.17,0.19,1352500,0.19
2013-08-23,0.16,0.16,0.16,0.16,27600,0.16
2013-08-22,0.17,0.17,0.16,0.16,425100,0.16
2013-08-21,0.16,0.17,0.16,0.17,101500,0.17
2013-08-20,0.16,0.17,0.16,0.16,245200,0.16
2013-08-19,0.17,0.17,0.15,0.17,49200,0.17
2013-08-16,0.15,0.17,0.15,0.17,141700,0.17
2013-08-15,0.16,0.16,0.16,0.16,98600,0.16
2013-08-14,0.17,0.17,0.16,0.16,215000,0.16
2013-08-13,0.15,0.17,0.15,0.16,733400,0.16
2013-08-12,0.15,0.15,0.15,0.15,42000,0.15
2013-08-09,0.15,0.16,0.15,0.16,27400,0.16
2013-08-08,0.15,0.16,0.15,0.16,13000,0.16
2013-08-07,0.15,0.16,0.15,0.15,17400,0.15
2013-08-06,0.16,0.16,0.15,0.15,546400,0.15
2013-08-05,0.17,0.18,0.16,0.16,775200,0.16
2013-08-02,0.16,0.17,0.16,0.17,198500,0.17
2013-08-01,0.16,0.17,0.16,0.16,46000,0.16
2013-07-31,0.16,0.17,0.16,0.17,222100,0.17
2013-07-30,0.18,0.18,0.16,0.16,158700,0.16
2013-07-29,0.18,0.18,0.17,0.17,179600,0.17
