Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,2.31,2.31,2.31,2.31,000,2.31
2013-09-26,2.39,2.39,2.39,2.39,000,2.39
2013-09-25,2.43,2.43,2.28,2.39,2200,2.39
2013-09-24,2.44,2.69,2.40,2.43,13900,2.43
2013-09-23,2.44,2.44,2.44,2.44,000,2.44
2013-09-20,2.30,2.44,2.30,2.44,600,2.44
2013-09-19,2.30,2.44,2.30,2.44,400,2.44
2013-09-18,2.40,2.40,2.40,2.40,000,2.40
2013-09-17,2.40,2.40,2.40,2.40,000,2.40
2013-09-16,2.39,2.40,2.28,2.40,5600,2.40
2013-09-13,2.38,2.39,2.28,2.39,700,2.39
2013-09-12,2.35,2.38,2.25,2.38,3100,2.38
2013-09-11,2.15,2.35,2.15,2.35,2000,2.35
2013-09-10,2.20,2.20,2.16,2.16,100,2.16
2013-09-09,2.30,2.30,2.16,2.20,500,2.20
2013-09-06,2.30,2.30,2.30,2.30,000,2.30
2013-09-05,2.31,2.31,2.20,2.30,800,2.30
2013-09-04,2.28,2.32,2.28,2.32,000,2.32
2013-09-03,2.22,2.28,2.20,2.28,1700,2.28
2013-09-02,2.22,2.30,2.15,2.30,1000,2.30
2013-08-30,2.22,2.22,2.22,2.22,000,2.22
2013-08-29,2.26,2.26,2.21,2.21,700,2.21
2013-08-28,2.26,2.26,2.26,2.26,000,2.26
2013-08-27,2.30,2.30,2.25,2.25,200,2.25
2013-08-26,2.30,2.30,2.21,2.30,1400,2.30
2013-08-23,2.31,2.35,2.31,2.35,1000,2.35
2013-08-22,2.26,2.31,2.26,2.30,600,2.30
2013-08-21,2.23,2.28,2.23,2.25,600,2.25
2013-08-20,2.21,2.24,2.20,2.23,1900,2.23
2013-08-19,2.18,2.22,2.18,2.22,900,2.22
2013-08-16,2.19,2.19,2.19,2.19,000,2.19
2013-08-15,2.10,2.19,2.10,2.19,1000,2.19
2013-08-14,2.11,2.11,2.11,2.11,000,2.11
2013-08-13,2.11,2.11,2.11,2.11,000,2.11
2013-08-12,2.10,2.10,2.10,2.10,1000,2.10
2013-08-09,2.10,2.20,2.10,2.20,100,2.20
2013-08-08,2.15,2.20,2.12,2.20,000,2.20
2013-08-07,2.15,2.15,2.15,2.15,000,2.15
2013-08-06,2.15,2.15,2.15,2.15,000,2.15
2013-08-05,2.15,2.15,2.15,2.15,900,2.15
2013-08-02,2.13,2.20,2.13,2.15,100,2.15
2013-08-01,2.15,2.18,2.12,2.12,100,2.12
2013-07-31,2.18,2.18,2.15,2.15,1100,2.15
2013-07-30,2.15,2.15,2.12,2.12,200,2.12
2013-07-29,2.15,2.15,2.15,2.15,100,2.15
2013-07-26,2.10,2.10,2.10,2.10,000,2.10
2013-07-25,2.10,2.10,2.10,2.10,000,2.10
2013-07-24,2.10,2.10,2.10,2.10,000,2.10
2013-07-23,2.10,2.10,2.10,2.10,100,2.10
2013-07-22,2.10,2.10,2.10,2.10,000,2.10
2013-07-19,2.10,2.20,2.09,2.09,000,2.09
2013-07-18,2.18,2.18,2.09,2.09,000,2.09
2013-07-17,2.18,2.18,2.18,2.18,200,2.18
2013-07-16,2.13,2.13,2.13,2.13,000,2.13
2013-07-15,2.14,2.14,2.12,2.12,500,2.12
2013-07-12,2.13,2.13,2.13,2.13,000,2.13
2013-07-11,2.25,2.25,2.12,2.12,800,2.12
2013-07-10,2.24,2.28,2.24,2.25,900,2.25
2013-07-09,2.23,2.25,2.23,2.25,600,2.25
2013-07-08,2.20,2.24,2.20,2.24,200,2.24
2013-07-05,2.12,2.20,2.12,2.20,900,2.20
2013-07-04,2.15,2.15,2.11,2.11,100,2.11
2013-07-03,2.15,2.15,2.05,2.05,1100,2.05
2013-07-02,2.10,2.10,2.07,2.07,800,2.07
2013-07-01,2.06,2.06,2.06,2.06,000,2.06
2013-06-28,2.06,2.06,2.06,2.06,000,2.06
2013-06-27,2.06,2.06,1.95,1.95,7400,1.95
2013-06-26,2.06,2.06,2.06,2.06,000,2.06
2013-06-25,2.19,2.26,2.05,2.05,1900,2.05
2013-06-24,2.24,2.24,2.24,2.24,000,2.24
2013-06-21,2.07,2.24,2.07,2.24,700,2.24
2013-06-20,2.06,2.06,2.06,2.06,000,2.06
2013-06-19,2.11,2.11,2.08,2.08,400,2.08
2013-06-18,2.14,2.14,2.10,2.10,500,2.10
2013-06-17,2.27,2.27,2.13,2.13,1300,2.13
2013-06-14,2.13,2.40,2.13,2.28,6400,2.28
2013-06-13,2.13,2.13,2.13,2.13,000,2.13
2013-06-12,2.13,2.13,2.13,2.13,000,2.13
2013-06-11,2.09,2.16,2.09,2.12,1100,2.12
