Date,Open,High,Low,Close,Volume,Adj Close
2012-12-14,8.77,8.77,8.77,8.77,000,8.77
2012-12-13,8.77,8.77,8.77,8.77,000,8.77
2012-12-12,8.77,8.77,8.77,8.77,000,8.77
2012-12-11,8.77,8.77,8.77,8.77,000,8.77
2012-12-10,8.77,8.77,8.77,8.77,000,8.77
2012-12-07,8.77,8.77,8.77,8.77,000,8.77
2012-12-06,8.77,8.77,8.77,8.77,000,8.77
2012-12-05,8.77,8.77,8.77,8.77,000,8.77
2012-12-04,8.77,8.77,8.77,8.77,000,8.77
2012-12-03,8.77,8.77,8.77,8.77,000,8.77
2012-11-30,8.77,8.77,8.77,8.77,000,8.77
2012-11-29,8.94,8.94,8.77,8.77,000,8.77
2012-11-28,9.07,9.07,9.07,9.07,000,9.07
2012-11-27,9.07,9.07,9.07,9.07,000,9.07
2012-11-26,9.07,9.07,9.07,9.07,000,9.07
2012-11-23,9.07,9.07,9.07,9.07,000,9.07
2012-11-22,9.07,9.07,9.07,9.07,000,9.07
2012-11-21,9.07,9.07,9.07,9.07,000,9.07
2012-11-20,9.07,9.07,9.07,9.07,000,9.07
2012-11-19,9.07,9.07,9.07,9.07,000,9.07
2012-11-16,9.07,9.07,9.07,9.07,000,9.07
2012-11-15,9.07,9.07,9.07,9.07,000,9.07
2012-11-14,9.07,9.07,9.07,9.07,000,9.07
2012-11-13,9.07,9.07,9.07,9.07,000,9.07
2012-11-12,9.07,9.07,9.07,9.07,000,9.07
2012-11-09,9.07,9.07,9.07,9.07,000,9.07
2012-11-08,9.07,9.07,9.07,9.07,000,9.07
2012-11-07,9.07,9.07,9.07,9.07,000,9.07
2012-11-06,9.07,9.07,9.07,9.07,000,9.07
2012-11-05,9.07,9.07,9.07,9.07,000,9.07
2012-11-02,9.35,9.35,9.35,9.35,000,9.35
2012-11-01,9.35,9.35,9.35,9.35,000,9.35
2012-10-31,9.35,9.35,9.35,9.35,000,9.35
2012-10-30,9.35,9.35,9.35,9.35,000,9.35
2012-10-29,9.35,9.35,9.35,9.35,000,9.35
2012-10-26,9.35,9.35,9.35,9.35,000,9.35
2012-10-25,9.35,9.35,9.35,9.35,000,9.35
2012-10-24,9.35,9.35,9.35,9.35,000,9.35
2012-10-23,9.35,9.35,9.35,9.35,000,9.35
2012-10-22,9.35,9.35,9.35,9.35,000,9.35
2012-10-19,9.35,9.35,9.35,9.35,000,9.35
2012-10-18,9.35,9.35,9.35,9.35,000,9.35
2012-10-17,9.35,9.35,9.35,9.35,000,9.35
2012-10-16,9.35,9.35,9.35,9.35,000,9.35
2012-10-15,9.30,9.35,9.30,9.35,000,9.35
2012-10-12,9.50,9.50,9.50,9.50,000,9.50
2012-10-11,9.50,9.50,9.50,9.50,000,9.50
2012-10-10,9.50,9.50,9.50,9.50,000,9.50
2012-10-09,9.50,9.50,9.50,9.50,300,9.50
2012-10-08,10.34,10.34,10.34,10.34,000,10.34
2012-10-05,10.34,10.34,10.34,10.34,000,10.34
2012-10-04,10.34,10.34,10.34,10.34,100,10.34
2012-10-03,10.35,10.35,10.35,10.35,000,10.35
2012-10-02,10.35,10.35,10.35,10.35,000,10.35
2012-10-01,10.86,10.35,10.35,10.35,000,10.35
2012-09-28,11.00,11.00,11.00,11.00,000,11.00
2012-09-27,11.00,11.00,11.00,11.00,000,11.00
2012-09-26,11.00,11.00,11.00,11.00,000,11.00
2012-09-25,11.00,11.00,11.00,11.00,000,11.00
2012-09-24,11.00,11.00,11.00,11.00,000,11.00
2012-09-21,10.86,11.00,10.86,11.00,000,11.00
2012-09-20,11.00,11.00,10.70,10.70,100,10.70
2012-09-19,11.00,11.00,11.00,11.00,000,11.00
2012-09-18,11.00,11.00,11.00,11.00,000,11.00
2012-09-17,12.00,12.00,12.00,12.00,000,12.00
2012-09-14,12.00,12.00,12.00,12.00,000,12.00
2012-09-13,12.00,12.00,12.00,12.00,100,12.00
2012-09-12,13.00,13.00,13.00,13.00,000,13.00
2012-09-11,13.00,13.00,13.00,13.00,000,13.00
2012-09-10,14.67,14.67,13.00,13.00,900,13.00
2012-09-07,15.09,15.09,14.94,14.94,1000,14.94
2012-09-06,16.05,16.05,16.05,16.05,000,16.05
