date,time,open price,high price,low price,close price,volume,adjusted price
20131202,0,0.01,0.01,0.01,0.01,409100,0.01
20131129,0,0.01,0.01,0.01,0.01,1225600,0.01
20131127,0,0.01,0.01,0.01,0.01,181200,0.01
20131126,0,0.01,0.01,0.01,0.01,651400,0.01
20131125,0,0.01,0.01,0.01,0.01,1831900,0.01
20131122,0,0.01,0.01,0.01,0.01,1176000,0.01
20131121,0,0.01,0.01,0.01,0.01,250700,0.01
20131120,0,0.01,0.01,0.01,0.01,248200,0.01
20131119,0,0.02,0.02,0.01,0.01,247200,0.01
20131118,0,0.01,0.02,0.01,0.02,186400,0.02
20131115,0,0.01,0.02,0.01,0.01,950700,0.01
20131114,0,0.01,0.02,0.01,0.01,1257100,0.01
20131113,0,0.02,0.02,0.01,0.01,402400,0.01
20131112,0,0.02,0.02,0.02,0.02,115300,0.02
20131111,0,0.02,0.02,0.02,0.02,52000,0.02
20131108,0,0.02,0.02,0.02,0.02,194100,0.02
20131107,0,0.02,0.02,0.02,0.02,98000,0.02
20131106,0,0.02,0.02,0.02,0.02,125000,0.02
20131105,0,0.04,0.04,0.02,0.02,827400,0.02
20131104,0,0.04,0.04,0.04,0.04,90000,0.04
20131101,0,0.04,0.04,0.04,0.04,0,0.04
20131031,0,0.04,0.04,0.03,0.04,113800,0.04
20131030,0,0.04,0.04,0.04,0.04,197600,0.04
20131029,0,0.04,0.04,0.04,0.04,46000,0.04
20131028,0,0.04,0.04,0.04,0.04,40000,0.04
20131025,0,0.05,0.05,0.04,0.04,263600,0.04
20131024,0,0.05,0.05,0.05,0.05,0,0.05
20131023,0,0.05,0.05,0.05,0.05,62000,0.05
20131022,0,0.06,0.06,0.06,0.06,28000,0.06
20131021,0,0.07,0.07,0.05,0.06,85300,0.06
20131018,0,0.07,0.07,0.07,0.07,19900,0.07
20131017,0,0.07,0.07,0.07,0.07,26200,0.07
20131016,0,0.08,0.08,0.07,0.07,13100,0.07
20131015,0,0.09,0.09,0.07,0.08,61500,0.08
20131014,0,0.09,0.09,0.08,0.08,40000,0.08
20131011,0,0.09,0.09,0.09,0.09,0,0.09
20131010,0,0.09,0.09,0.09,0.09,11000,0.09
20131009,0,0.09,0.09,0.09,0.09,1000,0.09
20131008,0,0.09,0.09,0.09,0.09,5000,0.09
20131007,0,0.1,0.1,0.09,0.09,83000,0.09
20131004,0,0.08,0.08,0.08,0.08,800,0.08
20131003,0,0.1,0.1,0.09,0.09,30500,0.09
20131002,0,0.11,0.11,0.06,0.09,180800,0.09
20131001,0,0.11,0.11,0.09,0.11,50600,0.11
20130930,0,0.12,0.12,0.1,0.11,36400,0.11
