Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,29.02,29.59,28.70,29.10,2084400,29.10
2013-09-26,29.47,29.70,28.68,28.99,3469200,28.99
2013-09-25,30.91,31.14,30.46,30.71,363000,30.71
2013-09-24,30.77,31.14,30.71,30.93,376000,30.93
2013-09-23,31.60,31.60,30.61,30.97,552800,30.97
2013-09-20,31.80,31.87,31.33,31.53,1845900,31.53
2013-09-19,32.48,32.48,31.57,31.81,920900,31.81
2013-09-18,31.80,32.47,31.30,32.35,666700,32.35
2013-09-17,31.97,32.16,31.60,31.76,864500,31.76
2013-09-16,31.85,32.58,31.75,32.18,1566200,32.18
2013-09-13,31.85,32.00,31.40,31.65,873900,31.65
2013-09-12,31.98,32.02,31.72,31.84,522500,31.84
2013-09-11,32.00,32.33,31.72,31.87,625300,31.87
2013-09-10,32.21,32.49,31.75,31.94,827700,31.94
2013-09-09,31.35,32.21,31.34,32.00,620600,32.00
2013-09-06,31.87,31.93,31.29,31.35,520300,31.35
2013-09-05,31.94,32.20,31.59,31.80,428200,31.80
2013-09-04,31.12,31.87,31.00,31.87,479100,31.87
2013-09-03,31.45,31.84,31.14,31.27,697500,31.27
2013-08-30,31.26,31.85,31.18,31.54,762000,31.54
2013-08-29,30.85,31.54,30.59,31.44,491000,31.44
2013-08-28,30.37,31.24,30.18,30.93,725700,30.93
2013-08-27,30.50,31.07,30.01,30.27,1018700,30.27
2013-08-26,29.95,30.78,29.92,30.75,904300,30.75
2013-08-23,29.98,30.12,29.62,29.90,460400,29.90
2013-08-22,29.43,30.07,29.30,30.00,538200,30.00
2013-08-21,28.15,29.69,28.15,29.25,2161900,29.25
2013-08-20,29.18,29.26,27.70,28.35,2248400,28.35
2013-08-19,29.49,29.82,29.09,29.16,658500,29.16
2013-08-16,30.14,30.14,29.51,29.58,656200,29.58
2013-08-15,31.00,31.04,30.13,30.20,786100,30.20
2013-08-14,30.70,31.42,30.50,31.26,654200,31.26
2013-08-13,30.72,30.98,30.35,30.85,661800,30.85
2013-08-12,30.35,30.76,30.09,30.58,751900,30.58
2013-08-09,29.74,30.57,29.25,30.37,1047800,30.37
2013-08-08,29.54,30.23,29.44,29.64,802200,29.64
2013-08-07,30.24,30.37,29.12,29.49,904900,29.49
2013-08-06,30.11,30.64,30.01,30.41,1055500,30.41
2013-08-05,29.91,30.55,29.90,30.20,612000,30.20
2013-08-02,30.64,30.70,29.83,30.11,756400,30.11
2013-08-01,30.23,30.63,29.82,30.52,1091200,30.52
2013-07-31,30.60,30.61,29.66,30.11,972500,30.11
2013-07-30,30.03,30.62,29.65,30.55,1233400,30.55
2013-07-29,31.49,31.70,29.88,30.46,2031300,30.46
2013-07-26,31.53,32.50,30.50,31.72,3402200,31.72
2013-07-25,31.74,33.74,31.50,33.42,2867400,33.42
2013-07-24,31.67,31.68,31.13,31.37,620200,31.37
2013-07-23,31.58,32.00,31.51,31.61,1692000,31.61
2013-07-22,31.90,32.34,31.40,31.49,920200,31.49
2013-07-19,31.45,31.86,31.29,31.67,855500,31.67
2013-07-18,31.79,32.10,31.21,31.39,674200,31.39
2013-07-17,31.58,32.23,31.55,31.67,882900,31.67
2013-07-16,31.86,32.50,31.55,31.81,1165900,31.81
2013-07-15,30.83,31.67,30.43,31.65,945200,31.65
2013-07-12,31.44,31.59,31.02,31.13,1312200,31.13
2013-07-11,32.62,32.62,30.83,31.39,1189000,31.39
2013-07-10,33.61,33.62,31.53,31.62,1719200,31.62
2013-07-09,32.50,34.00,32.47,33.47,2294300,33.47
2013-07-08,31.57,32.15,31.57,32.14,583000,32.14
2013-07-05,31.97,32.17,31.31,31.51,567000,31.51
2013-07-03,31.56,32.00,31.07,31.56,475400,31.56
2013-07-02,31.83,32.02,31.23,31.50,1310100,31.50
2013-07-01,32.50,32.95,31.81,31.98,813300,31.98
2013-06-28,32.16,32.76,32.01,32.34,2984400,32.34
2013-06-27,32.41,32.90,30.31,32.53,1479000,32.53
2013-06-26,32.67,32.92,32.03,32.38,964400,32.38
2013-06-25,30.57,32.21,30.24,31.96,1639700,31.96
2013-06-24,29.92,30.53,29.80,30.24,767400,30.24
2013-06-21,30.24,30.42,29.65,30.24,1211900,30.24
2013-06-20,29.73,30.20,29.60,30.08,651400,30.08
2013-06-19,30.17,30.64,29.57,29.98,878800,29.98
2013-06-18,29.94,30.16,29.56,30.14,479700,30.14
2013-06-17,30.34,30.34,29.16,29.87,932800,29.87
2013-06-14,30.00,30.42,29.85,30.04,261500,30.04
2013-06-13,29.43,30.51,29.22,30.27,706400,30.27
2013-06-12,29.69,30.23,29.23,29.49,351600,29.49
2013-06-11,29.53,30.10,29.18,29.58,313600,29.58
2013-06-10,29.65,30.14,29.65,29.89,471500,29.89
2013-06-07,29.71,30.00,29.24,29.65,304500,29.65
2013-06-06,28.93,29.47,28.50,29.46,696600,29.46
2013-06-05,29.05,29.60,28.94,29.13,601800,29.13
2013-06-04,28.20,29.46,28.01,29.19,737500,29.19
2013-06-03,30.28,30.42,28.02,29.25,2106000,29.25
2013-05-31,31.30,31.74,30.42,30.58,1202600,30.58
2013-05-30,29.84,30.24,29.72,30.19,512600,30.19
2013-05-29,29.45,29.80,29.25,29.66,435000,29.66
2013-05-28,30.60,30.78,29.56,29.65,794100,29.65
2013-05-24,30.24,30.84,30.00,30.36,486000,30.36
2013-05-23,29.99,30.72,28.54,30.47,734400,30.47
2013-05-22,30.86,32.09,30.28,30.44,1241000,30.44
2013-05-21,30.61,31.40,30.61,31.02,954400,31.02
2013-05-20,30.09,30.77,29.80,30.65,586100,30.65
2013-05-17,30.55,30.67,30.01,30.21,712500,30.21
2013-05-16,31.14,31.50,30.41,30.43,827500,30.43
2013-05-15,30.10,31.45,30.01,31.41,2046200,31.41
2013-05-14,29.39,30.76,29.39,30.35,1439900,30.35
2013-05-13,29.51,30.43,29.26,29.56,697000,29.56
2013-05-10,29.15,30.12,28.93,29.54,989600,29.54
2013-05-09,28.71,29.22,28.56,29.12,851900,29.12
2013-05-08,28.72,29.00,28.13,28.84,1239400,28.84
2013-05-07,29.42,29.73,28.63,28.80,1207300,28.80
2013-05-06,29.95,30.29,29.17,29.25,708500,29.25
2013-05-03,29.93,30.49,29.55,30.05,1305900,30.05
2013-05-02,29.56,29.79,29.06,29.52,1041000,29.52
2013-05-01,30.42,30.46,29.19,29.35,1000000,29.35
2013-04-30,30.79,31.07,30.25,30.55,885400,30.55
2013-04-29,31.00,31.25,30.27,30.71,854800,30.71
2013-04-26,31.84,31.97,30.03,30.76,2479200,30.76
2013-04-25,32.19,32.49,31.74,31.91,964900,31.91
2013-04-24,31.21,33.00,31.15,32.02,4091300,32.02
2013-04-23,32.39,33.97,32.27,33.81,2094500,33.81
2013-04-22,32.37,32.37,31.69,32.05,750700,32.05
2013-04-19,31.92,32.96,31.78,32.37,767900,32.37
2013-04-18,32.50,32.53,31.49,31.74,1407800,31.74
2013-04-17,33.32,33.55,31.81,32.40,1649400,32.40
2013-04-16,33.60,34.30,33.51,33.59,1574400,33.59
2013-04-15,32.93,33.35,32.55,32.96,1110800,32.96
2013-04-12,32.61,33.14,32.51,33.03,687800,33.03
2013-04-11,32.04,33.41,32.03,32.91,1603500,32.91
2013-04-10,30.68,32.58,30.68,31.87,1259100,31.87
2013-04-09,30.45,30.83,30.42,30.66,477100,30.66
2013-04-08,30.12,30.75,30.04,30.54,469400,30.54
2013-04-05,29.70,30.07,29.14,30.04,813000,30.04
2013-04-04,30.18,30.40,29.85,30.31,1023600,30.31
2013-04-03,31.53,31.66,29.92,30.35,2005900,30.35
2013-04-02,31.73,32.02,31.37,31.55,685100,31.55
2013-04-01,32.65,32.79,31.03,31.60,1285800,31.60
2013-03-28,33.06,33.09,32.45,32.50,676200,32.50
2013-03-27,33.14,33.29,32.66,33.13,602600,33.13
2013-03-26,33.53,33.55,32.60,33.18,485300,33.18
2013-03-25,33.44,34.09,32.91,33.29,1326900,33.29
2013-03-22,32.41,33.23,32.15,33.11,1974500,33.11
2013-03-21,31.42,32.99,31.37,31.90,3106500,31.90
2013-03-20,30.21,30.77,30.15,30.55,484600,30.55
2013-03-19,30.00,30.51,30.00,30.15,809000,30.15
2013-03-18,30.07,30.24,29.88,30.01,519400,30.01
2013-03-15,30.40,30.58,30.15,30.33,933100,30.33
2013-03-14,30.30,30.45,29.87,30.44,896300,30.44
2013-03-13,30.75,30.92,30.23,30.44,592300,30.44
2013-03-12,30.33,30.50,29.86,30.15,431700,30.15
2013-03-11,30.43,30.89,30.25,30.49,720000,30.49
2013-03-08,30.66,30.95,30.14,30.43,808800,30.43
2013-03-07,30.62,31.00,30.43,30.67,817800,30.67
2013-03-06,29.89,30.79,29.89,30.59,888200,30.59
2013-03-05,30.60,31.25,30.20,30.43,1352600,30.43
2013-03-04,29.71,30.61,29.58,30.35,1172400,30.35
2013-03-01,28.87,29.81,28.76,29.72,1157000,29.72
2013-02-28,29.41,30.31,29.16,29.50,1603300,29.50
2013-02-27,28.18,29.80,28.06,29.44,1808800,29.44
2013-02-26,27.85,28.10,27.75,28.00,812200,28.00
2013-02-25,28.08,29.44,27.74,27.81,2433700,27.81
2013-02-22,28.47,28.98,28.06,28.65,1614800,28.65
2013-02-21,27.00,28.74,27.00,28.38,3928800,28.38
2013-02-20,25.00,25.73,24.91,25.04,2019300,25.04
2013-02-19,24.97,25.20,24.75,25.07,1482000,25.07
2013-02-15,25.24,25.56,24.52,24.77,1472500,24.77
2013-02-14,24.89,25.35,24.70,25.33,1024900,25.33
2013-02-13,24.75,25.11,24.66,24.91,899400,24.91
2013-02-12,24.35,24.83,24.33,24.83,358400,24.83
2013-02-11,24.39,24.45,23.90,24.39,319900,24.39
2013-02-08,24.00,24.69,23.91,24.20,396800,24.20
2013-02-07,23.92,24.16,23.70,23.89,298000,23.89
2013-02-06,23.75,24.08,23.70,24.06,299400,24.06
2013-02-05,23.75,24.12,23.55,23.90,247700,23.90
2013-02-04,23.84,24.03,23.64,23.70,275200,23.70
2013-02-01,24.00,24.02,23.57,23.99,667500,23.99
2013-01-31,23.55,24.00,23.51,23.97,458000,23.97
2013-01-30,23.40,23.50,23.17,23.41,565400,23.41
2013-01-29,23.08,23.46,22.72,23.38,336200,23.38
2013-01-28,23.33,23.33,22.96,23.31,241000,23.31
2013-01-25,23.13,23.32,22.40,23.23,272600,23.23
2013-01-24,23.44,23.66,22.86,22.98,288000,22.98
2013-01-23,22.70,23.33,22.28,23.24,385200,23.24
2013-01-22,22.72,22.86,22.36,22.82,333600,22.82
2013-01-18,22.83,23.02,22.51,22.71,324200,22.71
2013-01-17,22.80,22.94,22.31,22.87,385900,22.87
2013-01-16,22.99,23.19,22.28,22.72,273100,22.72
2013-01-15,22.17,23.07,21.65,23.00,699900,23.00
2013-01-14,22.18,22.35,21.35,22.11,608500,22.11
2013-01-11,22.41,22.54,21.70,22.16,447100,22.16
2013-01-10,22.91,22.96,22.25,22.29,478200,22.29
2013-01-09,22.71,23.01,22.38,22.94,482200,22.94
2013-01-08,23.28,23.71,22.61,22.74,540700,22.74
2013-01-07,23.24,23.43,22.61,23.41,442600,23.41
2013-01-04,22.23,23.46,22.23,23.40,620500,23.40
2013-01-03,22.03,22.38,21.82,22.11,273800,22.11
2013-01-02,22.36,22.36,21.64,21.99,686700,21.99
2012-12-31,20.96,22.07,20.92,22.00,549700,22.00
2012-12-28,21.20,21.71,21.03,21.31,229200,21.31
2012-12-27,21.51,21.51,20.97,21.25,286800,21.25
2012-12-26,21.74,22.30,21.39,21.44,334500,21.44
2012-12-24,21.81,22.68,21.39,21.64,271400,21.64
2012-12-21,22.36,23.03,21.77,21.85,2296200,21.85
2012-12-20,22.38,23.44,22.06,22.64,1780500,22.64
2012-12-19,21.31,21.67,21.00,21.56,419700,21.56
2012-12-18,21.14,21.56,20.93,21.22,669200,21.22
2012-12-17,21.13,21.46,20.83,21.03,778400,21.03
2012-12-14,20.64,21.26,20.64,21.10,513900,21.10
2012-12-13,20.43,21.00,20.04,20.89,725800,20.89
2012-12-12,20.47,20.60,20.09,20.54,550800,20.54
2012-12-11,20.02,20.47,19.88,20.44,585600,20.44
2012-12-10,19.99,20.10,19.58,19.98,408500,19.98
2012-12-07,20.32,20.39,19.90,19.98,346500,19.98
2012-12-06,20.54,20.98,20.24,20.35,221600,20.35
2012-12-05,21.00,21.01,20.16,20.55,1474900,20.55
2012-12-04,19.83,21.90,19.78,21.36,786200,21.36
2012-12-03,20.63,20.64,19.95,20.12,500500,20.12
2012-11-30,21.00,21.13,20.47,20.48,380400,20.48
2012-11-29,20.89,21.33,20.68,21.01,316400,21.01
2012-11-28,20.99,21.30,20.63,20.75,717100,20.75
2012-11-27,20.78,21.09,20.55,20.96,331500,20.96
2012-11-26,20.92,21.00,20.49,20.71,249000,20.71
2012-11-23,20.94,20.98,20.75,20.94,69400,20.94
2012-11-21,20.69,20.86,20.25,20.81,270400,20.81
2012-11-20,21.03,21.13,20.53,20.63,419400,20.63
2012-11-19,21.52,21.71,20.97,21.02,391800,21.02
2012-11-16,21.12,21.55,20.75,21.37,808100,21.37
2012-11-15,20.24,21.26,20.00,21.14,892400,21.14
2012-11-14,20.73,20.77,20.00,20.23,308400,20.23
2012-11-13,21.00,21.54,20.51,20.59,645700,20.59
2012-11-12,21.18,21.44,20.84,21.11,702600,21.11
2012-11-09,21.70,21.93,20.90,21.06,867400,21.06
2012-11-08,22.16,22.70,21.65,21.73,519900,21.73
2012-11-07,22.17,22.60,22.00,22.19,959800,22.19
2012-11-06,22.26,22.51,22.10,22.25,1223400,22.25
2012-11-05,22.84,23.25,22.00,22.80,1358200,22.80
2012-11-02,26.05,26.05,22.57,22.97,1941900,22.97
2012-11-01,25.32,26.06,24.96,25.90,829000,25.90
2012-10-31,24.93,26.28,24.77,25.71,443000,25.71
2012-10-26,25.02,25.20,24.60,24.93,239600,24.93
2012-10-25,26.04,26.04,24.94,25.13,179900,25.13
2012-10-24,25.70,25.89,24.70,25.79,321500,25.79
2012-10-23,24.90,25.68,24.72,25.37,216400,25.37
2012-10-22,25.50,25.52,24.96,25.10,177200,25.10
