Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,113.70,114.90,112.35,113.75,300,113.75
2013-09-26,111.25,112.60,111.25,112.60,000,112.60
2013-09-25,110.60,110.80,110.60,110.80,000,110.80
2013-09-24,111.00,112.95,111.00,112.95,000,112.95
2013-09-23,109.00,109.00,106.95,107.00,300,107.00
2013-09-20,108.05,108.05,108.05,108.05,000,108.05
2013-09-19,108.90,108.90,108.90,108.90,000,108.90
2013-09-18,108.75,109.20,108.75,109.20,000,109.20
2013-09-17,107.10,107.10,105.70,105.70,000,105.70
2013-09-16,108.50,108.75,107.00,108.75,400,108.75
2013-09-13,106.70,106.70,106.70,106.70,100,106.70
2013-09-12,110.15,110.15,110.15,110.15,000,110.15
2013-09-11,106.10,110.00,106.10,110.00,700,110.00
2013-09-10,104.50,104.50,104.50,104.50,100,104.50
2013-09-09,102.80,104.45,102.10,102.10,000,102.10
2013-09-06,99.88,101.80,99.88,101.80,000,101.80
2013-09-05,101.20,101.20,101.20,101.20,000,101.20
2013-09-04,104.00,104.00,101.20,101.20,1100,101.20
2013-09-03,102.35,104.00,102.30,104.00,000,104.00
2013-09-02,104.35,105.40,104.35,105.40,100,105.40
2013-08-30,105.20,107.50,105.20,107.50,900,107.50
2013-08-29,104.30,105.00,104.30,105.00,100,105.00
2013-08-28,100.70,100.75,99.20,100.75,500,100.75
2013-08-27,102.55,102.55,101.25,101.25,100,101.25
2013-08-26,102.25,102.25,102.25,102.25,000,102.25
2013-08-23,106.00,106.00,102.05,102.25,200,102.25
2013-08-22,102.50,106.00,102.50,106.00,100,106.00
2013-08-21,100.10,101.00,99.30,100.80,200,100.80
2013-08-20,100.05,101.00,100.00,101.00,100,101.00
2013-08-19,102.45,102.55,100.05,101.25,100,101.25
2013-08-16,101.70,102.20,100.05,102.20,600,102.20
2013-08-15,107.60,107.60,107.60,107.60,000,107.60
2013-08-14,106.05,107.85,105.50,107.60,700,107.60
2013-08-13,102.15,103.70,102.15,103.70,000,103.70
2013-08-12,102.30,102.30,102.30,102.30,300,102.30
2013-08-09,100.60,102.50,100.60,102.50,000,102.50
2013-08-08,101.95,102.15,101.95,102.15,100,102.15
2013-08-07,100.10,101.95,99.77,101.95,400,101.95
2013-08-06,100.25,101.00,99.31,101.00,2500,101.00
2013-08-05,104.10,106.35,97.03,101.50,1900,101.50
2013-08-02,101.70,102.60,100.65,101.30,300,101.30
2013-08-01,101.55,101.55,99.47,99.47,000,99.47
2013-07-31,99.00,100.10,97.80,100.10,600,100.10
