Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,23.41,23.63,22.81,23.00,298800,23.00
2013-09-26,23.34,23.70,23.34,23.61,379900,23.61
2013-09-25,23.31,23.53,23.23,23.28,462300,23.28
2013-09-24,23.09,23.33,22.82,23.21,466500,23.21
2013-09-23,22.89,23.17,22.53,22.98,517000,22.98
2013-09-20,22.66,23.00,22.53,22.88,602900,22.88
2013-09-19,22.49,22.66,22.19,22.60,237400,22.60
2013-09-18,22.25,22.50,21.94,22.35,388600,22.35
2013-09-17,21.37,22.23,21.32,22.17,606600,22.17
2013-09-16,21.69,21.98,21.20,21.30,359200,21.30
2013-09-13,21.56,21.63,21.26,21.47,197200,21.47
2013-09-12,21.22,21.55,21.22,21.43,305800,21.43
2013-09-11,21.18,21.29,21.02,21.16,236600,21.16
2013-09-10,20.86,21.30,20.72,21.20,842000,21.20
2013-09-09,20.45,20.83,20.37,20.75,207600,20.75
2013-09-06,20.71,20.71,20.04,20.32,490100,20.32
2013-09-05,20.50,20.80,20.32,20.63,188300,20.63
2013-09-04,20.25,20.61,20.06,20.41,1015600,20.41
2013-09-03,20.36,20.81,19.95,20.27,646700,20.27
2013-08-30,20.17,20.23,19.91,20.02,266300,20.02
2013-08-29,19.96,20.43,19.96,20.22,179600,20.22
2013-08-28,20.03,20.14,19.86,19.95,189700,19.95
2013-08-27,19.94,20.17,19.81,19.97,270300,19.97
2013-08-26,20.21,20.48,19.96,20.21,99000,20.21
2013-08-23,20.29,20.63,20.10,20.21,268600,20.21
2013-08-22,20.23,20.41,20.05,20.28,110100,20.28
2013-08-21,20.13,20.29,19.89,20.21,315700,20.21
2013-08-20,19.91,20.31,19.68,20.23,314300,20.23
2013-08-19,19.99,20.11,19.70,19.91,402100,19.91
2013-08-16,20.17,20.22,19.94,20.12,240000,20.12
2013-08-15,20.22,20.37,19.97,20.36,349500,20.36
2013-08-14,20.60,20.69,20.44,20.50,259400,20.50
2013-08-13,20.48,20.78,20.44,20.66,316900,20.66
2013-08-12,20.62,20.62,20.28,20.46,271900,20.46
2013-08-09,21.00,21.14,20.65,20.65,287200,20.65
2013-08-08,21.00,21.24,20.65,21.00,356100,21.00
2013-08-07,20.80,20.94,20.51,20.85,298200,20.85
2013-08-06,21.12,21.22,20.60,20.90,415700,20.90
2013-08-05,21.51,21.55,21.24,21.30,265800,21.30
2013-08-02,21.62,21.75,21.46,21.57,502200,21.57
2013-08-01,20.69,22.00,20.69,21.42,1343000,21.42
2013-07-31,20.15,20.48,19.96,20.00,467800,20.00
2013-07-30,20.05,20.26,19.92,20.02,412100,20.02
2013-07-29,20.51,20.71,19.94,20.01,256800,20.01
2013-07-26,20.29,20.65,20.01,20.56,254300,20.56
2013-07-25,20.28,20.54,19.98,20.40,607700,20.40
2013-07-24,20.68,20.76,20.22,20.25,297500,20.25
2013-07-23,20.44,20.56,20.16,20.54,267700,20.54
2013-07-22,20.05,20.56,19.56,20.51,333100,20.51
2013-07-19,20.62,20.64,20.24,20.34,240600,20.34
2013-07-18,20.97,21.00,20.72,20.79,204500,20.79
2013-07-17,21.02,21.37,20.72,20.90,573500,20.90
2013-07-16,20.20,20.77,19.91,20.76,399000,20.76
2013-07-15,20.20,20.29,20.00,20.10,251500,20.10
2013-07-12,19.89,20.24,19.79,20.14,258200,20.14
2013-07-11,20.04,20.08,19.90,19.93,314600,19.93
2013-07-10,20.00,20.09,19.84,19.97,295500,19.97
2013-07-09,19.95,20.11,19.81,19.98,288000,19.98
2013-07-08,20.00,20.00,19.58,19.93,309900,19.93
2013-07-05,19.94,19.95,19.65,19.91,182600,19.91
2013-07-03,19.57,19.74,19.48,19.65,169500,19.65
2013-07-02,19.40,19.69,19.21,19.63,475200,19.63
2013-07-01,18.67,19.19,18.67,19.12,392300,19.12
2013-06-28,18.50,18.68,18.44,18.54,812000,18.54
2013-06-27,18.25,18.65,18.25,18.60,319400,18.60
2013-06-26,18.54,18.54,17.87,18.17,199100,18.17
2013-06-25,18.26,18.67,18.08,18.44,218200,18.44
2013-06-24,18.26,18.35,18.13,18.13,265900,18.13
2013-06-21,18.31,18.61,18.25,18.47,416300,18.47
2013-06-20,18.65,18.65,18.25,18.31,279900,18.31
2013-06-19,19.08,19.08,18.76,18.86,237000,18.86
2013-06-18,18.55,19.14,18.40,19.11,407600,19.11
2013-06-17,18.55,18.74,18.43,18.54,175000,18.54
2013-06-14,18.40,18.60,18.23,18.36,495400,18.36
2013-06-13,18.18,18.50,17.93,18.40,336800,18.40
2013-06-12,18.34,18.34,17.81,17.88,166900,17.88
2013-06-11,18.23,18.41,18.00,18.24,289300,18.24
2013-06-10,18.22,18.49,17.97,18.43,194600,18.43
2013-06-07,18.57,18.61,17.97,18.11,290300,18.11
2013-06-06,17.79,18.46,17.77,18.45,478200,18.45
2013-06-05,17.94,18.19,17.70,17.76,394900,17.76
2013-06-04,18.28,18.32,17.74,17.94,659900,17.94
2013-06-03,18.26,18.36,17.75,18.21,526200,18.21
2013-05-31,18.50,18.74,18.22,18.25,283100,18.25
2013-05-30,18.56,18.72,18.24,18.65,377100,18.65
2013-05-29,18.18,18.92,18.14,18.63,532300,18.63
2013-05-28,18.30,18.80,18.20,18.33,443900,18.33
2013-05-24,17.62,18.05,17.55,17.99,310300,17.99
2013-05-23,17.49,17.82,17.38,17.67,202000,17.67
2013-05-22,17.93,18.23,17.50,17.70,440900,17.70
2013-05-21,18.02,18.30,17.81,17.99,393200,17.99
2013-05-20,18.00,18.10,17.78,18.06,437000,18.06
2013-05-17,18.12,18.24,17.98,18.10,422800,18.10
2013-05-16,17.84,18.24,17.68,17.99,364700,17.99
2013-05-15,17.57,17.98,17.57,17.83,425100,17.83
2013-05-14,17.97,18.19,17.46,17.65,417000,17.65
2013-05-13,18.71,18.74,17.97,18.01,366900,18.01
2013-05-10,17.89,18.84,17.89,18.81,787100,18.81
2013-05-09,18.09,18.35,17.80,17.81,438000,17.81
2013-05-08,17.60,18.08,17.60,18.08,409000,18.08
2013-05-07,17.90,18.10,17.60,17.72,709900,17.72
2013-05-06,17.66,18.12,17.33,17.94,993600,17.94
2013-05-03,17.00,18.13,16.68,17.76,3250200,17.76
2013-05-02,14.78,14.90,14.66,14.67,623100,14.67
2013-05-01,14.80,14.92,14.52,14.56,357400,14.56
2013-04-30,14.80,14.98,14.64,14.77,359300,14.77
2013-04-29,14.81,14.82,14.70,14.77,293200,14.77
2013-04-26,14.75,14.91,14.65,14.79,326100,14.79
2013-04-25,15.39,15.41,14.74,14.83,772500,14.83
2013-04-24,14.78,15.43,14.78,15.41,457100,15.41
2013-04-23,14.54,14.83,14.50,14.81,405300,14.81
2013-04-22,14.47,14.53,14.30,14.48,549600,14.48
2013-04-19,14.40,14.66,14.25,14.49,427800,14.49
2013-04-18,14.58,14.75,14.37,14.45,571400,14.45
2013-04-17,14.77,14.87,14.56,14.75,392200,14.75
2013-04-16,14.89,14.95,14.59,14.92,404600,14.92
2013-04-15,15.06,15.07,14.70,14.81,412600,14.81
2013-04-12,15.13,15.18,14.86,15.13,283900,15.13
2013-04-11,15.50,15.53,15.20,15.26,233000,15.26
2013-04-10,15.13,15.56,15.02,15.51,338200,15.51
2013-04-09,15.10,15.19,14.96,15.05,765700,15.05
2013-04-08,15.30,15.44,15.07,15.09,327800,15.09
2013-04-05,14.96,15.31,14.88,15.29,325200,15.29
2013-04-04,15.25,15.35,15.11,15.22,278300,15.22
2013-04-03,15.44,15.63,15.20,15.27,316400,15.27
2013-04-02,15.50,15.77,15.34,15.44,326400,15.44
2013-04-01,15.44,15.52,15.20,15.48,484700,15.48
2013-03-28,15.55,15.60,15.46,15.48,354600,15.48
2013-03-27,15.34,15.52,15.16,15.49,477600,15.49
2013-03-26,15.61,15.71,15.29,15.48,207900,15.48
