Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,5.90,6.20,5.64,5.99,181900,5.99
2013-09-26,5.70,6.36,5.70,5.95,466800,5.95
2013-09-25,5.02,5.75,5.00,5.68,286700,5.68
2013-09-24,5.02,5.10,4.99,5.03,137400,5.03
2013-09-23,5.00,5.10,4.95,5.04,213300,5.04
2013-09-20,5.13,5.13,4.86,4.98,139200,4.98
2013-09-19,5.00,5.12,4.95,5.05,51900,5.05
2013-09-18,5.00,5.07,4.90,5.00,95800,5.00
2013-09-17,5.05,5.12,5.00,5.03,91300,5.03
2013-09-16,5.14,5.14,5.05,5.08,92700,5.08
2013-09-13,4.99,5.14,4.78,5.09,65400,5.09
2013-09-12,5.00,5.00,4.92,5.00,41600,5.00
2013-09-11,4.97,5.07,4.94,5.03,32900,5.03
2013-09-10,5.01,5.19,4.88,5.01,213400,5.01
2013-09-09,4.99,5.28,4.99,5.05,69600,5.05
2013-09-06,4.95,5.24,4.93,5.02,84200,5.02
2013-09-05,5.00,5.00,4.81,5.00,97800,5.00
2013-09-04,4.51,5.04,4.37,5.00,183700,5.00
2013-09-03,4.58,4.67,4.38,4.46,110900,4.46
2013-08-30,4.85,4.85,4.48,4.48,73200,4.48
2013-08-29,4.95,4.96,4.79,4.82,64500,4.82
2013-08-28,4.95,5.00,4.90,4.90,48900,4.90
2013-08-27,5.10,5.10,4.95,4.95,118100,4.95
2013-08-26,5.20,5.21,5.04,5.11,76200,5.11
2013-08-23,5.13,5.21,5.02,5.21,84900,5.21
2013-08-22,5.33,5.33,5.02,5.15,174700,5.15
2013-08-21,5.40,5.47,5.15,5.20,102600,5.20
2013-08-20,5.66,5.85,5.35,5.48,254000,5.48
2013-08-19,5.55,6.05,5.35,5.43,222600,5.43
2013-08-16,5.66,5.66,5.30,5.33,109900,5.33
2013-08-15,5.74,5.85,5.26,5.54,172100,5.54
2013-08-14,5.37,6.40,5.35,6.00,456300,6.00
2013-08-13,4.89,5.37,4.83,5.27,269300,5.27
2013-08-12,4.67,4.67,4.64,4.64,12300,4.64
2013-08-09,4.66,4.79,4.55,4.63,35600,4.63
2013-08-08,4.64,4.78,4.64,4.66,50700,4.66
2013-08-07,4.75,4.84,4.56,4.63,98500,4.63
2013-08-06,4.73,4.99,4.70,4.71,132100,4.71
2013-08-05,4.49,4.79,4.44,4.67,170900,4.67
2013-08-02,4.37,4.48,4.37,4.40,67900,4.40
2013-08-01,4.39,4.39,4.22,4.37,43400,4.37
2013-07-31,4.38,4.50,4.28,4.38,70700,4.38
2013-07-30,4.47,4.47,4.26,4.38,34000,4.38
2013-07-29,4.50,4.51,4.27,4.35,51800,4.35
2013-07-26,4.69,4.71,4.52,4.55,95600,4.55
2013-07-25,4.57,4.79,4.57,4.63,81300,4.63
2013-07-24,4.40,4.57,4.33,4.50,60400,4.50
2013-07-23,4.36,4.42,4.26,4.38,38900,4.38
2013-07-22,4.12,4.37,4.12,4.31,31900,4.31
2013-07-19,4.20,4.20,4.19,4.19,1100,4.19
2013-07-18,3.97,4.31,3.97,4.23,27000,4.23
2013-07-17,3.99,4.10,3.99,3.99,19900,3.99
2013-07-16,4.09,4.11,3.96,4.05,72200,4.05
2013-07-15,4.01,4.14,3.97,4.05,73400,4.05
2013-07-12,3.90,3.97,3.88,3.92,22200,3.92
2013-07-11,3.96,4.07,3.81,3.89,31900,3.89
2013-07-10,3.81,3.87,3.81,3.85,5100,3.85
2013-07-09,3.81,3.91,3.81,3.85,35400,3.85
2013-07-08,3.90,3.90,3.82,3.83,10800,3.83
2013-07-05,3.95,3.98,3.93,3.93,14800,3.93
2013-07-03,3.96,3.96,3.93,3.95,10800,3.95
2013-07-02,3.89,4.21,3.89,4.01,18600,4.01
2013-07-01,3.98,4.04,3.75,4.00,109500,4.00
2013-06-28,3.97,4.10,3.90,4.05,40400,4.05
2013-06-27,3.95,4.00,3.87,4.00,50100,4.00
2013-06-26,3.91,4.03,3.83,3.90,81300,3.90
2013-06-25,3.96,4.02,3.90,3.90,39300,3.90
2013-06-24,3.82,3.86,3.77,3.83,34300,3.83
2013-06-21,3.90,3.96,3.87,3.91,24300,3.91
2013-06-20,4.07,4.12,3.81,3.86,95200,3.86
2013-06-19,4.17,4.17,4.09,4.12,16300,4.12
2013-06-18,4.15,4.17,4.13,4.13,4000,4.13
2013-06-17,4.18,4.18,4.10,4.11,24400,4.11
2013-06-14,4.28,4.28,4.12,4.15,26000,4.15
2013-06-13,4.27,4.27,4.11,4.22,57800,4.22
2013-06-12,4.31,4.34,4.23,4.31,34400,4.31
2013-06-11,4.34,4.34,4.25,4.30,23200,4.30
2013-06-10,4.25,4.42,4.25,4.32,35500,4.32
2013-06-07,4.34,4.40,4.26,4.30,21600,4.30
2013-06-06,4.16,4.43,4.16,4.43,17000,4.43
2013-06-05,4.26,4.27,4.14,4.16,35800,4.16
2013-06-04,4.39,4.41,4.25,4.31,52600,4.31
2013-06-03,4.50,4.57,4.36,4.45,42600,4.45
2013-05-31,4.51,4.70,4.45,4.57,68700,4.57
2013-05-30,5.15,5.21,4.54,4.60,156100,4.60
2013-05-29,4.80,5.13,4.80,5.09,195300,5.09
2013-05-28,4.52,4.84,4.51,4.84,90900,4.84
2013-05-24,4.63,4.78,4.60,4.64,20900,4.64
2013-05-23,4.76,4.88,4.58,4.75,38800,4.75
2013-05-22,4.74,4.92,4.54,4.85,92700,4.85
2013-05-21,4.27,4.98,4.27,4.80,256900,4.80
2013-05-20,4.03,4.30,4.03,4.23,50200,4.23
2013-05-17,4.21,4.40,3.91,4.07,15900,4.07
2013-05-16,3.90,4.39,3.90,4.29,32500,4.29
2013-05-15,4.39,4.40,4.28,4.39,18100,4.39
2013-05-14,4.30,4.46,4.24,4.46,51400,4.46
2013-05-13,4.33,4.38,4.26,4.29,42900,4.29
2013-05-10,4.35,4.50,4.32,4.45,62600,4.45
2013-05-09,3.99,4.45,3.99,4.41,125400,4.41
2013-05-08,3.92,4.00,3.92,3.99,19900,3.99
2013-05-07,3.89,3.98,3.75,3.92,54100,3.92
2013-05-06,3.73,3.89,3.73,3.88,25400,3.88
2013-05-03,3.74,3.77,3.70,3.73,38000,3.73
2013-05-02,3.79,3.79,3.62,3.67,6400,3.67
2013-05-01,3.79,3.85,3.77,3.83,19200,3.83
2013-04-30,3.75,3.84,3.74,3.82,8500,3.82
2013-04-29,3.79,3.79,3.75,3.79,12100,3.79
2013-04-26,3.66,3.75,3.64,3.75,8800,3.75
2013-04-25,3.65,3.72,3.59,3.64,124200,3.64
2013-04-24,3.64,3.64,3.57,3.57,3700,3.57
2013-04-23,3.54,3.70,3.54,3.58,57800,3.58
2013-04-22,3.59,3.59,3.50,3.55,12000,3.55
2013-04-19,3.63,3.65,3.56,3.56,7700,3.56
2013-04-18,3.78,3.78,3.65,3.65,32800,3.65
2013-04-17,3.75,3.79,3.65,3.76,25600,3.76
2013-04-16,3.52,3.75,3.52,3.70,24100,3.70
2013-04-15,3.56,3.69,3.53,3.67,35400,3.67
2013-04-12,3.57,3.69,3.57,3.69,31000,3.69
2013-04-11,3.54,3.69,3.54,3.61,57200,3.61
2013-04-10,3.60,3.65,3.50,3.55,75800,3.55
2013-04-09,3.78,3.84,3.72,3.83,56300,3.83
2013-04-08,3.70,3.74,3.66,3.72,32100,3.72
2013-04-05,3.71,3.71,3.57,3.57,13600,3.57
2013-04-04,3.68,3.84,3.68,3.71,8200,3.71
2013-04-03,3.81,3.81,3.61,3.65,36400,3.65
2013-04-02,3.56,3.79,3.56,3.79,7100,3.79
2013-04-01,3.64,3.64,3.59,3.62,9800,3.62
2013-03-28,3.73,3.73,3.61,3.64,6900,3.64
2013-03-27,3.73,3.73,3.56,3.73,43000,3.73
2013-03-26,3.87,3.87,3.69,3.73,9500,3.73
2013-03-25,3.92,3.92,3.85,3.85,26900,3.85
2013-03-22,3.90,3.96,3.85,3.92,65900,3.92
2013-03-21,3.85,3.90,3.84,3.90,50900,3.90
2013-03-20,3.85,3.89,3.85,3.85,36400,3.85
2013-03-19,3.87,3.88,3.86,3.86,51000,3.86
2013-03-18,3.80,3.87,3.80,3.87,40900,3.87
2013-03-15,3.87,3.87,3.75,3.82,50500,3.82
2013-03-14,3.89,3.91,3.85,3.88,51700,3.88
2013-03-13,3.94,3.98,3.90,3.91,36400,3.91
2013-03-12,4.04,4.04,3.85,3.94,34700,3.94
2013-03-11,3.80,4.04,3.76,4.01,148800,4.01
2013-03-08,3.80,3.82,3.74,3.80,43700,3.80
2013-03-07,3.80,3.82,3.75,3.80,24600,3.80
2013-03-06,3.64,3.84,3.61,3.80,63400,3.80
2013-03-05,3.60,3.63,3.58,3.63,31000,3.63
2013-03-04,3.58,3.62,3.58,3.60,33600,3.60
2013-03-01,3.54,3.64,3.54,3.59,20100,3.59
2013-02-28,3.55,3.58,3.53,3.54,14400,3.54
2013-02-27,3.63,3.64,3.51,3.55,16800,3.55
2013-02-26,3.53,3.62,3.52,3.60,13900,3.60
2013-02-25,3.60,3.64,3.53,3.53,65300,3.53
2013-02-22,3.55,3.62,3.55,3.60,15100,3.60
2013-02-21,3.62,3.64,3.50,3.55,111500,3.55
2013-02-20,3.72,3.75,3.60,3.64,83800,3.64
2013-02-19,3.74,3.81,3.70,3.76,71900,3.76
2013-02-15,3.73,3.83,3.71,3.74,23800,3.74
2013-02-14,3.74,3.80,3.74,3.75,19400,3.75
2013-02-13,3.87,3.89,3.75,3.80,36300,3.80
2013-02-12,3.73,3.87,3.73,3.80,4400,3.80
2013-02-11,3.70,3.76,3.70,3.73,7200,3.73
2013-02-08,3.75,3.76,3.72,3.72,37200,3.72
2013-02-07,3.77,3.81,3.73,3.78,53300,3.78
2013-02-06,3.80,3.82,3.74,3.77,72700,3.77
2013-02-05,3.82,3.85,3.73,3.74,52000,3.74
2013-02-04,3.91,3.93,3.82,3.87,12400,3.87
2013-02-01,3.76,3.91,3.76,3.89,9100,3.89
2013-01-31,3.82,3.93,3.72,3.80,111900,3.80
2013-01-30,4.05,4.07,3.82,3.85,53500,3.85
2013-01-29,4.06,4.15,3.95,4.00,55500,4.00
2013-01-28,4.22,4.25,4.07,4.08,34000,4.08
2013-01-25,4.22,4.36,4.21,4.32,67000,4.32
2013-01-24,4.19,4.29,4.19,4.25,55900,4.25
2013-01-23,4.03,4.29,4.01,4.15,151900,4.15
2013-01-22,4.02,4.15,3.98,4.06,114300,4.06
2013-01-18,4.01,4.10,3.98,3.99,66500,3.99
2013-01-17,3.85,4.04,3.85,4.01,86300,4.01
2013-01-16,4.00,4.12,3.87,3.89,107600,3.89
2013-01-15,4.01,4.06,3.98,4.05,39600,4.05
2013-01-14,3.96,4.17,3.96,4.02,102000,4.02
2013-01-11,4.08,4.08,3.92,4.03,100700,4.03
2013-01-10,3.81,4.15,3.73,4.00,177900,4.00
2013-01-09,3.66,3.85,3.66,3.81,312500,3.81
2013-01-08,3.65,3.78,3.65,3.69,71100,3.69
2013-01-07,3.69,3.79,3.65,3.67,142400,3.67
2013-01-04,3.70,3.84,3.66,3.71,68100,3.71
2013-01-03,3.80,3.95,3.70,3.71,169900,3.71
2013-01-02,3.73,3.94,3.70,3.84,187200,3.84
2012-12-31,3.66,3.79,3.66,3.70,54100,3.70
2012-12-28,3.73,3.73,3.65,3.69,58100,3.69
2012-12-27,3.63,3.75,3.56,3.68,108400,3.68
2012-12-26,3.70,3.75,3.60,3.63,211200,3.63
2012-12-24,3.69,3.70,3.64,3.65,6500,3.65
2012-12-21,3.65,3.75,3.65,3.66,39200,3.66
2012-12-20,3.68,3.82,3.66,3.71,106500,3.71
2012-12-19,3.83,3.83,3.70,3.76,169600,3.76
2012-12-18,3.60,3.84,3.60,3.80,150500,3.80
2012-12-17,3.65,3.76,3.61,3.66,181100,3.66
2012-12-14,3.64,3.72,3.55,3.69,98600,3.69
2012-12-13,3.70,3.78,3.60,3.69,102100,3.69
2012-12-12,3.70,3.79,3.60,3.67,115400,3.67
2012-12-11,3.86,3.92,3.65,3.70,104700,3.70
2012-12-10,3.89,3.97,3.85,3.86,38900,3.86
2012-12-07,3.95,3.96,3.85,3.85,76700,3.85
2012-12-06,4.00,4.06,3.93,3.95,48600,3.95
2012-12-05,3.96,4.05,3.93,3.95,86100,3.95
