Date,Open,High,Low,Close,Volume,Adj Close
2013-06-17,0.07,0.07,0.07,0.07,64600,0.07
2013-06-14,0.06,0.07,0.06,0.07,369200,0.07
2013-06-13,0.07,0.07,0.07,0.07,000,0.07
2013-06-12,0.07,0.07,0.07,0.07,000,0.07
2013-06-11,0.07,0.07,0.07,0.07,000,0.07
2013-06-10,0.07,0.07,0.07,0.07,13700,0.07
2013-06-07,0.07,0.07,0.07,0.07,000,0.07
2013-06-06,0.07,0.07,0.07,0.07,000,0.07
2013-06-05,0.07,0.07,0.07,0.07,50000,0.07
2013-06-04,0.07,0.07,0.07,0.07,1000,0.07
2013-06-03,0.07,0.07,0.07,0.07,10200,0.07
2013-05-31,0.07,0.07,0.07,0.07,13000,0.07
2013-05-30,0.07,0.07,0.07,0.07,000,0.07
2013-05-29,0.07,0.07,0.07,0.07,000,0.07
2013-05-28,0.07,0.07,0.07,0.07,32800,0.07
2013-05-27,0.07,0.07,0.07,0.07,000,0.07
2013-05-24,0.07,0.07,0.07,0.07,000,0.07
2013-05-23,0.07,0.07,0.07,0.07,77200,0.07
2013-05-22,0.07,0.07,0.07,0.07,000,0.07
2013-05-21,0.07,0.07,0.07,0.07,50000,0.07
2013-05-17,0.07,0.08,0.07,0.08,24700,0.08
2013-05-16,0.07,0.07,0.07,0.07,327900,0.07
2013-05-15,0.08,0.08,0.07,0.07,483000,0.07
2013-05-14,0.08,0.08,0.08,0.08,146000,0.08
2013-05-13,0.09,0.09,0.08,0.08,368200,0.08
2013-05-10,0.09,0.09,0.09,0.09,42700,0.09
2013-05-09,0.09,0.09,0.09,0.09,74600,0.09
2013-05-08,0.09,0.09,0.09,0.09,171000,0.09
2013-05-07,0.09,0.09,0.09,0.09,121000,0.09
2013-05-06,0.09,0.09,0.09,0.09,87000,0.09
2013-05-03,0.09,0.09,0.08,0.08,58000,0.08
2013-05-02,0.09,0.09,0.09,0.09,000,0.09
2013-05-01,0.09,0.09,0.09,0.09,154300,0.09
2013-04-30,0.08,0.09,0.08,0.09,12700,0.09
2013-04-29,0.09,0.09,0.08,0.08,54200,0.08
2013-04-26,0.08,0.09,0.07,0.09,254000,0.09
2013-04-25,0.08,0.09,0.08,0.09,58500,0.09
2013-04-24,0.08,0.08,0.08,0.08,000,0.08
2013-04-23,0.07,0.08,0.07,0.08,130000,0.08
2013-04-22,0.08,0.08,0.08,0.08,11500,0.08
2013-04-19,0.07,0.07,0.07,0.07,000,0.07
2013-04-18,0.07,0.07,0.07,0.07,74000,0.07
2013-04-17,0.07,0.07,0.07,0.07,40000,0.07
2013-04-16,0.07,0.07,0.07,0.07,000,0.07
2013-04-15,0.07,0.07,0.07,0.07,15500,0.07
2013-04-12,0.08,0.08,0.08,0.08,000,0.08
2013-04-11,0.08,0.08,0.08,0.08,3200,0.08
2013-04-10,0.07,0.07,0.07,0.07,150000,0.07
2013-04-09,0.08,0.08,0.07,0.07,75100,0.07
2013-04-08,0.08,0.08,0.08,0.08,74700,0.08
2013-04-05,0.08,0.08,0.08,0.08,23500,0.08
2013-04-04,0.08,0.08,0.08,0.08,3000,0.08
2013-04-03,0.09,0.09,0.08,0.08,65000,0.08
2013-04-02,0.09,0.09,0.08,0.09,26500,0.09
2013-04-01,0.09,0.09,0.09,0.09,9000,0.09
2013-03-28,0.09,0.09,0.09,0.09,66100,0.09
2013-03-27,0.09,0.09,0.09,0.09,9800,0.09
2013-03-26,0.09,0.10,0.09,0.10,50100,0.10
2013-03-25,0.09,0.10,0.09,0.10,15000,0.10
2013-03-22,0.10,0.10,0.10,0.10,000,0.10
2013-03-21,0.10,0.10,0.10,0.10,313900,0.10
2013-03-20,0.10,0.10,0.10,0.10,6800,0.10
2013-03-19,0.10,0.10,0.10,0.10,46000,0.10
2013-03-18,0.10,0.10,0.10,0.10,52000,0.10
2013-03-15,0.10,0.10,0.10,0.10,70900,0.10
2013-03-14,0.10,0.11,0.10,0.11,10900,0.11
2013-03-13,0.10,0.11,0.10,0.11,217100,0.11
2013-03-12,0.10,0.10,0.10,0.10,11800,0.10
2013-03-11,0.11,0.11,0.11,0.11,25500,0.11
2013-03-08,0.11,0.11,0.11,0.11,000,0.11
2013-03-07,0.10,0.11,0.10,0.11,17000,0.11
2013-03-06,0.10,0.10,0.10,0.10,000,0.10
2013-03-05,0.10,0.10,0.10,0.10,11000,0.10
2013-03-04,0.10,0.11,0.10,0.10,47300,0.10
2013-03-01,0.10,0.10,0.10,0.10,30000,0.10
2013-02-28,0.10,0.10,0.10,0.10,24000,0.10
2013-02-27,0.10,0.10,0.10,0.10,94500,0.10
2013-02-26,0.10,0.10,0.10,0.10,500,0.10
2013-02-25,0.11,0.11,0.11,0.11,14000,0.11
2013-02-22,0.11,0.11,0.11,0.11,000,0.11
2013-02-21,0.10,0.11,0.10,0.11,132500,0.11
2013-02-20,0.10,0.10,0.10,0.10,21000,0.10
2013-02-19,0.10,0.10,0.10,0.10,40800,0.10
2013-02-15,0.10,0.10,0.10,0.10,146000,0.10
2013-02-14,0.10,0.10,0.10,0.10,486000,0.10
2013-02-13,0.10,0.10,0.10,0.10,5000,0.10
2013-02-12,0.10,0.10,0.10,0.10,29700,0.10
2013-02-11,0.11,0.11,0.10,0.11,72400,0.11
2013-02-08,0.10,0.10,0.10,0.10,55800,0.10
2013-02-07,0.11,0.11,0.11,0.11,16000,0.11
2013-02-06,0.11,0.11,0.11,0.11,4000,0.11
2013-02-05,0.11,0.11,0.10,0.11,152000,0.11
2013-02-04,0.11,0.12,0.11,0.12,5000,0.12
2013-02-01,0.12,0.12,0.11,0.12,10500,0.12
2013-01-31,0.11,0.11,0.11,0.11,8700,0.11
2013-01-30,0.11,0.11,0.11,0.11,41100,0.11
2013-01-29,0.11,0.11,0.11,0.11,10000,0.11
2013-01-28,0.12,0.12,0.11,0.11,25900,0.11
2013-01-25,0.11,0.12,0.11,0.12,386700,0.12
2013-01-24,0.11,0.11,0.11,0.11,40500,0.11
2013-01-23,0.13,0.13,0.11,0.11,67800,0.11
2013-01-22,0.11,0.13,0.11,0.13,1273000,0.13
2013-01-21,0.09,0.12,0.09,0.11,1197700,0.11
2013-01-18,0.09,0.09,0.09,0.09,313300,0.09
2013-01-17,0.09,0.09,0.09,0.09,46500,0.09
2013-01-16,0.10,0.10,0.09,0.09,40900,0.09
2013-01-15,0.09,0.10,0.09,0.10,265900,0.10
2013-01-14,0.08,0.08,0.08,0.08,52000,0.08
2013-01-11,0.09,0.09,0.09,0.09,180500,0.09
2013-01-10,0.09,0.09,0.09,0.09,33000,0.09
2013-01-09,0.08,0.09,0.08,0.09,528900,0.09
2013-01-08,0.08,0.08,0.08,0.08,59000,0.08
2013-01-07,0.07,0.08,0.07,0.08,4500,0.08
2013-01-04,0.08,0.08,0.08,0.08,73800,0.08
