Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,6.88,7.05,6.80,6.93,34000,6.93
2013-09-26,6.91,6.98,6.82,6.92,37600,6.92
2013-09-25,6.80,6.92,6.74,6.90,26800,6.90
2013-09-24,6.65,6.90,6.65,6.78,78500,6.78
2013-09-23,6.78,6.78,6.63,6.78,46700,6.78
2013-09-20,7.05,7.05,6.66,6.84,64200,6.84
2013-09-19,6.76,7.43,6.66,6.98,226300,6.98
2013-09-18,7.29,7.29,6.65,6.75,188300,6.75
2013-09-17,7.14,7.30,7.10,7.19,27000,7.19
2013-09-16,7.58,7.59,7.10,7.32,74000,7.32
2013-09-13,7.52,7.54,7.21,7.47,37100,7.47
2013-09-12,8.00,8.02,7.40,7.62,73600,7.62
2013-09-11,7.61,8.13,7.61,7.98,199000,7.98
2013-09-10,8.00,8.00,7.49,7.75,85600,7.75
2013-09-09,7.76,7.95,7.22,7.89,102800,7.89
2013-09-06,7.40,7.80,6.95,7.60,121500,7.60
2013-09-05,6.77,7.36,6.77,7.28,109200,7.28
2013-09-04,6.40,6.79,6.40,6.77,60500,6.77
2013-09-03,6.16,6.66,6.16,6.50,56300,6.50
2013-08-30,6.47,6.47,6.31,6.31,14400,6.31
2013-08-29,6.35,6.66,6.35,6.35,38700,6.35
2013-08-28,6.40,6.46,6.19,6.37,48500,6.37
2013-08-27,7.02,7.20,6.38,6.41,84600,6.41
2013-08-26,7.50,7.50,6.82,6.90,130200,6.90
2013-08-23,7.10,7.61,7.07,7.53,91600,7.53
2013-08-22,8.30,8.30,7.20,7.63,182400,7.63
2013-08-21,7.44,8.20,7.37,7.86,104200,7.86
2013-08-20,7.96,7.96,7.31,7.40,135700,7.40
2013-08-19,8.15,8.37,7.87,7.98,40200,7.98
2013-08-16,8.00,8.19,7.61,8.08,63100,8.08
2013-08-15,8.59,8.78,7.48,7.97,183700,7.97
2013-08-14,8.84,9.20,8.60,8.82,136700,8.82
2013-08-13,9.20,9.48,8.45,8.73,163800,8.73
2013-08-12,8.43,9.45,8.40,9.30,164000,9.30
2013-08-09,8.57,8.88,8.33,8.33,89200,8.33
2013-08-08,8.34,8.95,8.17,8.37,121400,8.37
2013-08-07,8.01,8.88,7.88,8.17,102400,8.17
2013-08-06,8.65,8.65,7.82,8.01,227100,8.01
2013-08-05,6.90,8.98,6.85,8.69,526100,8.69
2013-08-02,6.51,6.87,6.40,6.84,76100,6.84
2013-08-01,5.91,6.55,5.83,6.46,63600,6.46
2013-07-31,6.13,6.14,5.97,5.97,17800,5.97
2013-07-30,6.09,6.23,6.09,6.12,23600,6.12
2013-07-29,6.20,6.24,6.06,6.10,23300,6.10
2013-07-26,6.12,6.31,6.11,6.11,23600,6.11
2013-07-25,6.10,6.30,6.03,6.13,32200,6.13
2013-07-24,5.97,6.08,5.90,6.03,24700,6.03
2013-07-23,6.33,6.33,5.89,5.96,58000,5.96
2013-07-22,6.43,6.43,6.12,6.25,30600,6.25
2013-07-19,6.79,6.89,6.03,6.23,136300,6.23
2013-07-18,6.88,6.90,6.45,6.73,203300,6.73
2013-07-17,5.64,6.90,5.64,6.90,303800,6.90
2013-07-16,5.45,5.63,5.45,5.63,17300,5.63
2013-07-15,5.34,5.52,5.33,5.52,8900,5.52
2013-07-12,5.46,5.55,5.46,5.52,9800,5.52
2013-07-11,5.55,5.55,5.35,5.50,6700,5.50
2013-07-10,5.55,5.55,5.52,5.55,2100,5.55
2013-07-09,5.46,5.55,5.46,5.55,13900,5.55
2013-07-08,5.38,5.50,5.32,5.50,14200,5.50
2013-07-05,5.38,5.44,5.30,5.36,8500,5.36
2013-07-03,5.25,5.45,5.25,5.45,3000,5.45
2013-07-02,5.31,5.32,5.28,5.32,18000,5.32
2013-07-01,5.22,5.36,5.22,5.32,9100,5.32
2013-06-28,5.20,5.26,5.06,5.20,13900,5.20
2013-06-27,5.25,5.30,5.11,5.25,9200,5.25
2013-06-26,5.10,5.34,5.10,5.30,16500,5.30
2013-06-25,4.98,5.17,4.98,5.14,17300,5.14
2013-06-24,5.24,5.24,4.98,5.04,24300,5.04
2013-06-21,5.13,5.25,5.11,5.24,10900,5.24
2013-06-20,5.21,5.25,5.10,5.18,26200,5.18
2013-06-19,5.23,5.25,5.22,5.22,8700,5.22
2013-06-18,5.18,5.20,5.14,5.20,10300,5.20
2013-06-17,5.27,5.27,5.00,5.20,22900,5.20
2013-06-14,5.17,5.31,5.17,5.29,13500,5.29
2013-06-13,5.10,5.18,5.10,5.16,2500,5.16
2013-06-12,4.96,5.11,4.93,5.09,9200,5.09
2013-06-11,5.00,5.05,4.95,4.96,21000,4.96
2013-06-10,5.03,5.14,4.98,5.04,12900,5.04
2013-06-07,5.13,5.16,4.88,5.09,27300,5.09
2013-06-06,5.20,5.33,5.14,5.14,41300,5.14
2013-06-05,5.16,5.34,5.16,5.19,11800,5.19
2013-06-04,5.25,5.30,5.18,5.23,21100,5.23
2013-06-03,5.43,5.70,5.13,5.23,35300,5.23
2013-05-31,5.45,5.70,5.45,5.55,22600,5.29
2013-05-30,5.18,5.45,5.18,5.45,31500,5.19
2013-05-29,5.46,5.58,5.25,5.28,46200,5.03
2013-05-28,5.53,5.60,5.39,5.46,21000,5.20
2013-05-24,5.67,5.70,5.41,5.48,36400,5.22
2013-05-23,5.50,5.69,5.36,5.64,18400,5.38
2013-05-22,5.74,5.74,5.45,5.50,54900,5.24
2013-05-21,5.66,5.75,5.66,5.75,54400,5.48
2013-05-20,5.58,5.75,5.58,5.75,50500,5.48
2013-05-17,5.70,5.70,5.64,5.64,12200,5.38
2013-05-16,5.70,5.75,5.67,5.70,51100,5.43
2013-05-15,5.49,5.66,5.48,5.61,13500,5.35
2013-05-14,5.47,5.58,5.47,5.54,16200,5.28
2013-05-13,5.24,5.62,5.24,5.44,93100,5.19
2013-05-10,5.20,5.26,5.20,5.24,24400,4.99
2013-05-09,5.18,5.27,5.18,5.19,39500,4.95
2013-05-08,5.19,5.20,5.15,5.16,28500,4.92
2013-05-07,5.07,5.16,5.07,5.12,24200,4.88
2013-05-06,5.05,5.14,5.05,5.09,23900,4.85
2013-05-03,5.08,5.10,5.01,5.04,9900,4.80
2013-05-02,5.08,5.10,5.00,5.10,6200,4.86
2013-05-01,5.00,5.09,5.00,5.09,12100,4.85
2013-04-30,4.93,5.05,4.90,5.01,9200,4.78
2013-04-29,5.02,5.07,4.94,4.97,44700,4.74
2013-04-26,4.92,5.12,4.92,5.10,7200,4.86
2013-04-25,5.11,5.12,5.06,5.12,14800,4.88
2013-04-24,5.14,5.15,5.07,5.12,21700,4.88
2013-04-23,5.03,5.15,5.01,5.10,13100,4.86
2013-04-22,4.97,5.11,4.97,5.11,18300,4.87
2013-04-19,5.10,5.10,5.03,5.10,26200,4.86
2013-04-18,5.01,5.10,5.00,5.08,28700,4.84
2013-04-17,5.08,5.20,5.08,5.08,11200,4.84
2013-04-16,4.95,5.18,4.94,5.11,8600,4.87
2013-04-15,4.97,5.13,4.97,5.08,7000,4.84
2013-04-12,5.08,5.20,4.97,4.97,21100,4.74
2013-04-11,5.04,5.28,5.04,5.16,16100,4.92
2013-04-10,5.03,5.25,4.98,5.00,30100,4.77
2013-04-09,5.16,5.23,4.98,5.09,33600,4.85
2013-04-08,5.30,5.30,5.16,5.16,13100,4.92
2013-04-05,5.00,5.20,5.00,5.13,10000,4.89
2013-04-04,5.10,5.20,5.08,5.09,19900,4.85
2013-04-03,5.21,5.25,5.14,5.17,13800,4.93
2013-04-02,5.40,5.45,5.10,5.15,33300,4.91
2013-04-01,5.06,5.45,5.01,5.39,28500,5.14
2013-03-28,5.16,5.25,4.97,5.05,15800,4.81
2013-03-27,4.73,5.20,4.71,5.11,9900,4.87
2013-03-26,4.78,4.89,4.78,4.87,9800,4.64
2013-03-25,4.67,4.83,4.67,4.82,5300,4.59
2013-03-22,4.70,4.70,4.64,4.70,3900,4.48
2013-03-21,4.75,4.82,4.65,4.70,8200,4.48
2013-03-20,4.76,4.88,4.76,4.76,5800,4.54
2013-03-19,4.85,4.90,4.75,4.83,7200,4.60
2013-03-18,4.89,4.92,4.85,4.89,7100,4.66
2013-03-15,4.86,4.98,4.85,4.91,16800,4.68
2013-03-14,4.82,4.91,4.80,4.83,24800,4.60
2013-03-13,5.13,5.13,4.80,4.84,23400,4.61
2013-03-12,5.22,5.22,5.07,5.13,18300,4.89
2013-03-11,5.24,5.29,5.05,5.24,13300,4.99
2013-03-08,5.35,5.35,5.18,5.29,10800,5.04
2013-03-07,5.22,5.30,5.20,5.26,41000,5.01
2013-03-06,5.25,5.31,5.18,5.25,6500,5.00
2013-03-05,5.48,5.55,5.19,5.22,62800,4.98
2013-03-04,5.60,5.64,5.26,5.48,26600,5.22
2013-03-01,5.70,5.74,5.50,5.64,36200,5.38
2013-02-28,5.75,5.75,5.45,5.71,48000,5.44
2013-02-27,5.18,5.38,5.18,5.34,13100,5.09
2013-02-26,5.32,5.32,5.16,5.27,6700,5.02
2013-02-25,5.42,5.42,5.32,5.36,9700,5.11
2013-02-22,5.43,5.54,5.37,5.47,2500,5.21
2013-02-21,5.53,5.53,5.30,5.49,17900,5.23
2013-02-20,5.61,5.64,5.56,5.56,1400,5.30
2013-02-19,5.75,5.75,5.60,5.61,12800,5.35
2013-02-15,5.73,5.75,5.63,5.68,17300,5.41
2013-02-14,5.61,5.72,5.61,5.64,6600,5.38
2013-02-13,5.75,5.75,5.64,5.65,26100,5.39
2013-02-12,5.52,5.75,5.52,5.74,23300,5.47
2013-02-11,5.70,5.70,5.55,5.56,9900,5.30
2013-02-08,5.68,5.74,5.27,5.71,20300,5.44
2013-02-07,5.58,5.69,5.50,5.66,31400,5.39
2013-02-06,5.46,5.65,5.46,5.64,16900,5.38
2013-02-05,5.38,5.62,5.33,5.54,18600,5.28
2013-02-04,5.51,5.55,5.31,5.34,10000,5.09
2013-02-01,5.43,5.59,5.36,5.54,12000,5.28
2013-01-31,5.40,5.42,5.28,5.35,12200,5.10
2013-01-30,5.42,5.48,5.39,5.46,3200,5.20
2013-01-29,5.39,5.47,5.39,5.40,19600,5.15
2013-01-28,5.58,5.63,5.47,5.50,16500,5.24
2013-01-25,5.67,5.68,5.61,5.61,12200,5.35
2013-01-24,5.57,5.66,5.50,5.61,14600,5.35
2013-01-23,5.53,5.67,5.49,5.60,10800,5.34
2013-01-22,5.69,5.69,5.41,5.53,42600,5.27
2013-01-18,5.76,5.76,5.62,5.68,22400,5.41
2013-01-17,5.52,5.74,5.52,5.73,12500,5.46
2013-01-16,5.63,5.63,5.57,5.60,9600,5.34
2013-01-15,5.47,5.66,5.47,5.58,30200,5.32
2013-01-14,5.65,5.71,5.46,5.55,51000,5.29
2013-01-11,5.80,5.80,5.55,5.60,34700,5.34
2013-01-10,5.91,5.93,5.83,5.84,12000,5.57
2013-01-09,5.80,5.83,5.76,5.80,14500,5.53
2013-01-08,5.88,6.00,5.80,5.82,34800,5.55
2013-01-07,6.00,6.00,5.44,5.85,64700,5.58
2013-01-04,5.74,6.05,5.66,6.03,57800,5.75
2013-01-03,5.45,5.85,5.43,5.71,66500,5.44
2013-01-02,5.77,5.90,5.19,5.38,125900,5.13
2012-12-31,5.49,5.58,5.45,5.55,30000,5.29
2012-12-28,5.29,5.63,5.29,5.44,36900,5.19
2012-12-27,5.18,5.45,5.17,5.39,33000,5.14
2012-12-26,5.25,5.45,5.23,5.28,24900,5.03
2012-12-24,5.00,5.24,4.98,5.21,19600,4.97
2012-12-21,4.72,5.00,4.72,4.99,24600,4.76
2012-12-20,4.61,4.72,4.55,4.67,39000,4.45
2012-12-19,4.67,4.85,4.66,4.69,23500,4.47
2012-12-18,4.79,4.94,4.65,4.71,31700,4.49
2012-12-17,4.65,4.81,4.65,4.81,9200,4.58
2012-12-14,4.77,4.85,4.59,4.60,23600,4.38
2012-12-13,4.78,4.80,4.55,4.60,51100,4.38
2012-12-12,4.99,5.15,4.81,4.88,71100,4.65
2012-12-11,5.40,5.40,4.92,4.92,21100,4.69
2012-12-10,5.37,5.48,5.25,5.25,21000,5.00
2012-12-07,5.24,5.50,5.16,5.48,26000,5.22
2012-12-06,5.30,5.30,5.04,5.19,28900,4.95
2012-12-05,5.00,5.30,4.92,5.30,23700,5.05
2012-12-04,5.20,5.20,5.06,5.07,21000,4.83
2012-12-03,5.26,5.30,5.07,5.22,17400,4.98
2012-11-30,5.38,5.38,5.19,5.30,20800,5.05
2012-11-29,5.45,5.48,5.38,5.38,1200,5.13
2012-11-28,5.34,5.50,5.34,5.47,1500,5.21
2012-11-27,5.45,5.59,5.29,5.43,11400,5.18
2012-11-26,5.12,5.48,5.04,5.40,21800,5.15
2012-11-23,5.16,5.19,4.70,5.17,38400,4.93
2012-11-21,5.93,5.93,5.04,5.06,56500,4.82
2012-11-20,5.58,5.58,5.47,5.49,36800,5.23
2012-11-19,5.59,5.60,5.40,5.42,21500,5.17
2012-11-16,5.52,5.61,5.44,5.53,48600,5.27
2012-11-15,5.57,5.68,5.50,5.55,52800,5.29
2012-11-14,5.66,5.66,5.54,5.60,60800,5.34
2012-11-13,5.66,5.70,5.59,5.60,35600,5.34
2012-11-12,5.52,5.66,5.51,5.60,53100,5.34
2012-11-09,5.65,5.69,5.52,5.60,27900,5.34
2012-11-08,5.55,5.63,5.49,5.60,27600,5.34
2012-11-07,5.59,5.63,5.41,5.51,30000,5.25
2012-11-06,5.52,5.78,5.51,5.59,31400,5.33
2012-11-05,5.31,5.78,5.31,5.63,48300,5.37
2012-11-02,5.37,5.69,5.35,5.61,51700,5.35
2012-11-01,5.45,5.54,5.30,5.45,45700,5.19
2012-10-31,5.98,6.09,5.30,5.39,62600,5.14
2012-10-26,5.98,6.15,5.95,6.03,22200,5.75
2012-10-25,6.07,6.26,5.93,5.96,30600,5.68
2012-10-24,6.02,6.24,5.91,5.98,29400,5.70
2012-10-23,6.18,6.31,6.05,6.08,31900,5.80
2012-10-22,5.81,6.36,5.81,6.34,36000,6.04
2012-10-19,6.30,6.68,6.22,6.37,71000,6.07
2012-10-18,6.48,6.48,6.14,6.32,101100,6.02
2012-10-17,5.83,6.55,5.83,6.52,118600,6.21
2012-10-16,5.83,5.95,5.62,5.76,32000,5.49
2012-10-15,5.55,5.82,5.51,5.80,39700,5.53
2012-10-12,5.58,5.60,5.48,5.58,49200,5.32
2012-10-11,5.61,5.61,5.50,5.54,22600,5.28
2012-10-10,5.57,5.65,5.57,5.64,29400,5.38
2012-10-09,5.51,5.65,5.35,5.61,55600,5.35
2012-10-08,5.52,5.59,5.43,5.50,26100,5.24
2012-10-05,5.55,5.60,5.52,5.56,32800,5.30
2012-10-04,5.42,5.55,5.40,5.49,26300,5.23
