Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,22.40,22.41,22.20,22.41,2700,22.41
2013-09-26,22.54,22.99,22.50,22.50,3900,22.50
2013-09-25,21.25,22.90,21.25,22.40,27900,22.40
2013-09-24,21.07,21.39,21.01,21.25,5500,21.25
2013-09-23,21.00,21.43,21.00,21.07,600,21.07
2013-09-20,21.45,21.45,21.00,21.00,4100,21.00
2013-09-19,21.49,21.50,20.99,21.29,1700,21.29
2013-09-18,21.49,21.49,20.99,20.99,1400,20.99
2013-09-17,21.40,21.40,20.90,20.99,8500,20.99
2013-09-16,21.50,21.50,21.40,21.40,4500,21.40
2013-09-13,21.30,21.40,21.20,21.40,800,21.40
2013-09-12,21.30,21.40,21.20,21.40,900,21.40
2013-09-11,21.30,21.45,21.19,21.20,20700,21.20
2013-09-10,20.50,21.48,20.50,21.30,13100,21.30
2013-09-09,20.97,20.97,20.00,20.35,5700,20.35
2013-09-06,20.97,20.97,20.70,20.97,500,20.97
2013-09-05,20.90,20.97,20.66,20.66,800,20.66
2013-09-04,20.97,20.97,20.97,20.97,000,20.97
2013-09-03,20.55,21.00,20.55,20.97,3500,20.97
2013-09-02,21.83,21.83,20.56,21.00,2500,21.00
2013-08-30,20.40,21.50,20.05,21.50,41300,21.50
2013-08-29,19.70,20.00,19.70,20.00,700,20.00
2013-08-28,19.80,19.89,19.66,19.66,700,19.66
2013-08-27,20.00,20.00,19.95,19.95,400,19.95
2013-08-26,20.00,20.00,20.00,20.00,500,20.00
2013-08-23,20.10,20.10,19.94,19.94,800,19.94
2013-08-22,20.26,20.26,19.92,20.26,2200,20.26
2013-08-21,20.30,20.30,19.90,19.90,1100,19.90
2013-08-20,20.23,20.23,20.10,20.10,600,20.10
2013-08-19,20.55,20.55,20.23,20.23,5100,20.23
2013-08-16,20.58,20.58,20.21,20.24,300,20.24
2013-08-15,20.59,20.59,20.59,20.59,000,20.59
2013-08-14,20.60,20.60,20.59,20.59,200,20.59
2013-08-13,20.50,20.76,20.50,20.75,500,20.75
2013-08-12,20.30,20.30,20.26,20.26,000,20.26
2013-08-09,20.24,20.53,20.20,20.29,7500,20.29
2013-08-08,20.60,20.60,20.00,20.10,4200,20.10
2013-08-07,20.50,20.77,20.50,20.76,500,20.76
2013-08-06,20.88,20.88,20.50,20.50,2200,20.50
2013-08-05,20.50,20.88,20.50,20.80,1500,20.80
2013-08-02,20.89,20.89,20.26,20.50,1000,20.50
2013-08-01,20.20,20.94,20.03,20.64,1800,20.64
2013-07-31,20.00,20.00,19.94,20.00,1300,20.00
2013-07-30,19.83,19.90,19.61,19.90,300,19.90
2013-07-29,19.90,19.90,19.60,19.90,1500,19.90
2013-07-26,19.94,19.94,19.60,19.89,2500,19.89
2013-07-25,19.94,19.94,19.85,19.85,5000,19.85
2013-07-24,19.80,19.89,19.50,19.89,7300,19.89
2013-07-23,20.20,20.20,19.83,19.83,10100,19.83
2013-07-22,20.25,20.25,20.15,20.20,1900,20.20
2013-07-19,20.27,20.27,20.19,20.25,2200,20.25
2013-07-18,20.30,20.30,20.12,20.19,4800,20.19
2013-07-17,21.10,21.43,19.59,20.21,22900,20.21
2013-07-16,21.40,21.70,21.40,21.70,1400,21.70
2013-07-15,21.70,21.70,21.40,21.50,1600,21.50
2013-07-12,21.70,21.70,21.50,21.50,100,21.50
2013-07-11,21.75,22.00,21.31,21.70,400,21.70
2013-07-10,21.70,21.75,21.70,21.75,300,21.75
2013-07-09,21.75,21.75,21.70,21.70,200,21.70
2013-07-08,20.51,21.87,20.51,21.75,5900,21.75
2013-07-05,20.51,20.85,20.51,20.85,100,20.85
2013-07-04,20.15,21.00,20.15,21.00,400,21.00
2013-07-03,20.90,20.90,20.13,20.50,500,20.50
2013-07-02,20.93,20.94,20.93,20.94,200,20.94
2013-07-01,20.40,20.99,20.34,20.99,600,20.99
2013-06-28,20.75,20.85,19.35,20.30,19500,20.30
2013-06-27,20.65,20.99,20.65,20.75,400,20.75
2013-06-26,21.00,21.00,20.99,20.99,1100,20.99
2013-06-25,20.80,21.01,20.80,21.00,1200,21.00
2013-06-24,21.23,21.23,20.80,21.23,900,21.23
