Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,1.29,1.29,1.29,1.29,200,1.29
2013-09-26,1.30,1.30,1.25,1.27,32000,1.27
2013-09-25,1.26,1.26,1.25,1.25,21600,1.25
2013-09-24,1.24,1.26,1.24,1.26,731100,1.26
2013-09-23,1.25,1.30,1.23,1.23,70300,1.23
2013-09-20,1.25,1.25,1.23,1.23,31800,1.23
2013-09-19,1.28,1.28,1.24,1.24,43100,1.24
2013-09-18,1.24,1.30,1.22,1.22,186400,1.22
2013-09-17,1.19,1.39,1.19,1.25,102500,1.25
2013-09-16,1.16,1.23,1.16,1.18,86300,1.18
2013-09-13,1.16,1.22,1.12,1.16,520000,1.16
2013-09-12,1.21,1.21,1.16,1.16,70700,1.16
2013-09-11,1.23,1.23,1.19,1.20,105600,1.20
2013-09-10,1.24,1.24,1.20,1.20,12500,1.18
2013-09-09,1.27,1.33,1.24,1.24,23300,1.22
2013-09-06,1.35,1.35,1.26,1.27,130700,1.25
2013-09-05,1.33,1.33,1.22,1.29,87600,1.27
2013-09-04,1.41,1.45,1.34,1.34,32300,1.32
2013-09-03,1.33,1.40,1.33,1.40,1500,1.38
2013-08-30,1.39,1.40,1.38,1.40,4800,1.38
2013-08-29,1.37,1.38,1.35,1.38,5900,1.36
2013-08-28,1.33,1.37,1.31,1.37,3000,1.35
2013-08-27,1.35,1.41,1.32,1.32,26300,1.30
2013-08-26,1.45,1.45,1.35,1.35,19000,1.33
2013-08-23,1.38,1.42,1.36,1.38,205300,1.36
2013-08-22,1.41,1.41,1.38,1.38,18000,1.36
2013-08-21,1.42,1.45,1.40,1.40,82500,1.38
2013-08-20,1.42,1.42,1.42,1.42,4000,1.40
2013-08-19,1.43,1.43,1.43,1.43,1000,1.41
2013-08-16,1.45,1.45,1.43,1.43,25000,1.41
2013-08-15,1.48,1.48,1.45,1.45,84400,1.43
2013-08-14,1.50,1.51,1.50,1.51,15300,1.48
2013-08-13,1.51,1.51,1.50,1.51,52900,1.48
2013-08-12,1.53,1.53,1.53,1.53,24200,1.50
2013-08-09,1.52,1.52,1.50,1.50,3500,1.48
2013-08-08,1.54,1.54,1.50,1.51,53900,1.48
2013-08-07,1.54,1.55,1.50,1.50,20900,1.48
2013-08-06,1.55,1.55,1.55,1.55,1300,1.52
2013-08-02,1.56,1.56,1.54,1.54,4200,1.51
2013-08-01,1.55,1.65,1.55,1.65,14500,1.62
2013-07-31,1.55,1.55,1.55,1.55,000,1.52
2013-07-30,1.61,1.61,1.55,1.55,2200,1.52
2013-07-29,1.53,1.64,1.53,1.62,5000,1.59
2013-07-26,1.54,1.54,1.54,1.54,15000,1.51
2013-07-25,1.53,1.53,1.53,1.53,000,1.50
2013-07-24,1.55,1.55,1.53,1.53,11000,1.50
2013-07-23,1.57,1.57,1.54,1.54,17200,1.51
2013-07-22,1.56,1.60,1.56,1.60,17400,1.57
