Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,8.39,8.39,8.39,8.39,000,8.39
2013-09-26,8.18,8.39,8.18,8.39,1200,8.39
2013-09-25,8.00,8.00,8.00,8.00,000,8.00
2013-09-24,8.00,8.00,8.00,8.00,000,8.00
2013-09-23,8.20,8.20,8.00,8.00,3400,8.00
2013-09-20,8.39,8.39,8.39,8.39,000,8.39
2013-09-19,8.20,8.20,8.20,8.20,000,8.20
2013-09-18,8.20,8.20,8.20,8.20,000,8.20
2013-09-17,8.20,8.20,8.20,8.20,2300,8.20
2013-09-16,8.30,8.30,8.20,8.20,2500,8.20
2013-09-13,8.31,8.31,8.31,8.31,1400,8.31
2013-09-12,8.31,8.31,8.31,8.31,000,8.31
2013-09-11,8.31,8.31,8.31,8.31,000,8.31
2013-09-10,8.25,8.31,8.25,8.31,2000,8.31
2013-09-09,8.22,8.25,8.10,8.10,4500,8.10
2013-09-06,7.97,7.97,7.97,7.97,1400,7.97
2013-09-05,8.25,8.25,8.25,8.25,1600,8.25
2013-09-04,8.21,8.21,8.21,8.21,500,8.21
2013-09-03,8.07,8.07,8.07,8.07,000,8.07
2013-09-02,8.00,8.07,8.00,8.07,600,8.07
2013-08-30,8.08,8.08,8.08,8.08,100,8.08
2013-08-29,8.00,8.00,8.00,8.00,000,8.00
2013-08-28,8.00,8.00,8.00,8.00,000,8.00
2013-08-27,8.00,8.00,8.00,8.00,100,8.00
2013-08-26,8.02,8.02,8.00,8.00,2800,8.00
2013-08-23,8.20,8.20,8.20,8.20,900,8.20
2013-08-22,8.04,8.05,8.04,8.05,800,8.05
2013-08-21,8.01,8.01,8.01,8.01,000,8.01
2013-08-20,8.01,8.01,8.01,8.01,000,8.01
2013-08-19,8.01,8.01,8.01,8.01,000,8.01
2013-08-16,8.01,8.01,8.01,8.01,500,8.01
2013-08-15,8.15,8.15,8.15,8.15,000,8.15
2013-08-14,8.15,8.15,8.15,8.15,000,8.15
2013-08-13,8.13,8.15,8.08,8.15,5500,8.15
2013-08-12,8.35,8.35,8.20,8.20,3200,8.20
2013-08-09,8.20,8.20,8.20,8.20,000,8.20
2013-08-08,8.20,8.20,8.20,8.20,000,8.20
2013-08-07,8.19,8.20,8.10,8.20,2300,8.20
2013-08-06,8.25,8.25,8.25,8.25,300,8.25
2013-08-05,8.50,8.50,8.50,8.50,300,8.50
2013-08-02,8.50,8.50,8.50,8.50,6300,8.50
2013-08-01,8.62,8.62,8.62,8.62,3800,8.62
2013-07-31,8.50,8.50,8.42,8.42,2600,8.42
2013-07-30,8.59,8.60,8.40,8.40,6800,8.40
2013-07-29,8.49,8.50,8.49,8.50,1800,8.50
2013-07-26,8.21,8.49,8.21,8.23,2700,8.23
2013-07-25,8.30,8.30,8.30,8.30,000,8.30
2013-07-24,8.22,8.30,8.22,8.30,2000,8.30
2013-07-23,7.85,8.00,7.85,8.00,10500,8.00
2013-07-22,8.20,8.20,7.92,7.92,1800,7.92
2013-07-19,8.11,8.14,8.11,8.14,300,8.14
2013-07-18,8.01,8.01,8.01,8.01,000,8.01
2013-07-17,8.01,8.01,8.01,8.01,500,8.01
2013-07-16,7.59,7.90,7.59,7.69,2500,7.69
2013-07-15,7.64,7.64,7.64,7.64,000,7.64
2013-07-12,7.80,7.80,7.80,7.80,000,7.80
2013-07-11,7.45,7.80,7.22,7.80,22100,7.80
2013-07-10,7.22,7.22,7.22,7.22,000,7.22
2013-07-09,7.30,7.30,7.30,7.30,000,7.30
2013-07-08,7.30,7.30,7.30,7.30,000,7.30
2013-07-05,7.30,7.30,7.30,7.30,000,7.30
2013-07-04,7.30,7.30,7.30,7.30,000,7.30
2013-07-03,7.30,7.30,7.30,7.30,000,7.30
2013-07-02,7.30,7.30,7.30,7.30,600,7.30
2013-07-01,7.20,7.20,7.20,7.20,000,7.20
2013-06-28,7.20,7.20,7.20,7.20,000,7.20
2013-06-27,7.20,7.20,7.20,7.20,000,7.20
2013-06-26,7.20,7.20,7.20,7.20,000,7.20
2013-06-25,7.20,7.20,7.20,7.20,000,7.20
2013-06-24,7.20,7.20,7.20,7.20,000,7.20
2013-06-21,7.47,7.47,7.47,7.47,000,7.47
2013-06-20,7.10,7.47,7.10,7.47,4000,7.47
2013-06-19,7.37,7.37,7.37,7.37,100,7.37
2013-06-18,7.13,7.13,7.13,7.13,000,7.13
2013-06-17,7.15,7.15,7.13,7.13,600,7.13
2013-06-14,7.47,7.47,7.47,7.47,000,7.47
2013-06-13,7.47,7.47,7.47,7.47,000,7.47
2013-06-12,7.47,7.47,7.47,7.47,000,7.47
2013-06-11,7.46,7.47,7.46,7.47,2000,7.47
2013-06-10,7.48,7.48,7.48,7.48,100,7.48
2013-06-07,7.42,7.42,7.42,7.42,000,7.42
2013-06-06,7.40,7.40,7.40,7.40,200,7.40
2013-06-05,7.15,7.15,7.15,7.15,1000,7.15
2013-06-04,7.50,7.50,7.50,7.50,000,7.50
2013-06-03,7.15,7.50,7.15,7.50,5000,7.50
2013-05-31,7.38,7.38,7.38,7.38,000,7.38
2013-05-30,7.15,7.38,7.15,7.38,100,7.38
2013-05-29,7.28,7.28,7.28,7.28,000,7.28
2013-05-28,7.28,7.28,7.28,7.28,000,7.28
2013-05-27,7.16,7.16,7.16,7.16,000,7.16
2013-05-24,7.16,7.16,7.16,7.16,000,7.16
2013-05-23,7.16,7.16,7.16,7.16,000,7.16
2013-05-22,7.16,7.16,7.16,7.16,100,7.16
2013-05-21,7.45,7.50,7.20,7.50,8300,7.50
2013-05-20,7.21,7.37,7.21,7.37,200,7.37
2013-05-17,7.27,7.27,7.27,7.27,1300,7.27
2013-05-16,7.15,7.15,7.15,7.15,000,7.15
2013-05-15,7.15,7.15,7.15,7.15,700,7.15
2013-05-14,7.15,7.15,7.15,7.15,000,7.15
2013-05-13,7.40,7.40,6.97,7.15,6600,7.15
2013-05-10,7.22,7.22,7.07,7.21,1500,7.21
2013-05-09,7.50,7.50,7.50,7.50,000,7.50
2013-05-08,7.50,7.50,7.50,7.50,000,7.50
2013-05-07,7.98,7.98,7.50,7.50,2400,7.50
2013-05-06,7.51,7.51,7.51,7.51,000,7.51
2013-05-03,7.75,7.75,7.75,7.75,200,7.75
2013-05-02,7.51,7.51,7.51,7.51,000,7.51
2013-05-01,7.51,7.51,7.51,7.51,000,7.51
