Date,Open,High,Low,Close,Volume,Adj Close
9/27/2013,1.43,1.56,1.42,1.55,1113400,1.55
9/26/2013,1.43,1.43,1.39,1.43,651200,1.43
9/25/2013,1.36,1.46,1.36,1.44,641000,1.44
9/24/2013,1.32,1.34,1.32,1.34,238500,1.34
9/23/2013,1.34,1.34,1.32,1.32,311900,1.32
9/20/2013,1.3,1.35,1.3,1.34,695200,1.34
9/19/2013,1.22,1.27,1.22,1.26,358700,1.26
9/18/2013,1.21,1.22,1.17,1.22,1201300,1.22
9/17/2013,1.24,1.24,1.19,1.19,195600,1.19
9/16/2013,1.26,1.26,1.24,1.25,379500,1.25
9/13/2013,1.26,1.29,1.26,1.26,69200,1.26
9/12/2013,1.29,1.29,1.25,1.28,200700,1.28
9/11/2013,1.29,1.29,1.26,1.29,208900,1.29
9/10/2013,1.3,1.31,1.25,1.29,118400,1.29
9/9/2013,1.32,1.32,1.28,1.3,1338100,1.3
9/6/2013,1.3,1.35,1.3,1.3,534700,1.3
9/5/2013,1.3,1.33,1.28,1.28,531700,1.28
9/4/2013,1.23,1.28,1.23,1.28,707100,1.28
9/3/2013,1.22,1.25,1.21,1.23,156000,1.23
9/2/2013,1.25,1.25,1.2,1.2,155800,1.2
8/30/2013,1.18,1.26,1.17,1.25,1838200,1.25
8/29/2013,1.18,1.19,1.17,1.18,73200,1.18
8/28/2013,1.18,1.18,1.16,1.18,76700,1.18
8/27/2013,1.19,1.19,1.17,1.19,70700,1.19
8/26/2013,1.18,1.2,1.18,1.18,244500,1.18
8/23/2013,1.16,1.2,1.16,1.2,183000,1.2
8/22/2013,1.18,1.18,1.16,1.17,97800,1.17
8/21/2013,1.18,1.19,1.16,1.18,96500,1.18
8/20/2013,1.18,1.2,1.16,1.16,103200,1.16
8/19/2013,1.2,1.2,1.18,1.2,293100,1.2
8/16/2013,1.19,1.2,1.19,1.19,266000,1.19
8/15/2013,1.2,1.2,1.16,1.19,224000,1.19
8/14/2013,1.1,1.21,1.1,1.2,756900,1.2
8/13/2013,1.04,1.08,1.04,1.08,991000,1.08
8/12/2013,1.04,1.04,1.01,1.04,426500,1.04
8/9/2013,1,1.03,1,1.03,543900,1.03
8/8/2013,1.04,1.04,1,1,436900,1
8/7/2013,1.05,1.06,1.03,1.03,743900,1.03
8/6/2013,1.05,1.06,1.04,1.05,1398100,1.05
8/5/2013,1.05,1.06,1.05,1.05,92000,1.05
8/2/2013,1.06,1.08,1.05,1.08,106600,1.08
8/1/2013,1.03,1.06,1.03,1.06,89400,1.06
7/31/2013,1.05,1.05,1.05,1.05,304900,1.05
7/30/2013,1.05,1.06,1.05,1.05,161800,1.05
7/29/2013,1.08,1.08,1.05,1.05,188300,1.05
7/26/2013,1.07,1.08,1.06,1.08,45200,1.08
7/25/2013,1.05,1.06,1.03,1.06,186100,1.06
7/24/2013,1.01,1.05,1.01,1.04,294600,1.04
7/23/2013,1.01,1.01,0.98,1.01,291800,1.01
7/22/2013,0.93,1.02,0.93,0.98,726700,0.98
7/19/2013,0.94,0.96,0.93,0.93,99500,0.93
7/18/2013,0.93,0.94,0.93,0.93,30000,0.93
7/17/2013,0.94,0.94,0.9,0.9,1137400,0.9
7/16/2013,0.95,0.95,0.95,0.95,74900,0.95
7/15/2013,0.95,0.96,0.94,0.95,306000,0.95
7/12/2013,0.94,0.94,0.94,0.94,337100,0.94
7/11/2013,0.87,0.95,0.87,0.94,394600,0.94
7/10/2013,0.85,0.89,0.84,0.87,61900,0.87
7/9/2013,0.79,0.84,0.79,0.84,373200,0.84
7/8/2013,0.75,0.78,0.75,0.77,117100,0.77
7/5/2013,0.72,0.72,0.72,0.72,319900,0.72
7/4/2013,0.72,0.73,0.72,0.72,17000,0.72
7/3/2013,0.71,0.71,0.71,0.71,847800,0.71
7/2/2013,0.72,0.72,0.71,0.71,74700,0.71
7/1/2013,0.72,0.72,0.71,0.71,28000,0.71
6/28/2013,0.75,0.75,0.75,0.75,302600,0.75
6/27/2013,0.75,0.76,0.75,0.75,114300,0.75
6/26/2013,0.75,0.75,0.75,0.75,5600,0.75
6/25/2013,0.79,0.79,0.75,0.75,18300,0.75
6/24/2013,0.78,0.79,0.78,0.78,13900,0.78
6/21/2013,0.73,0.75,0.73,0.75,36400,0.75
6/20/2013,0.72,0.72,0.72,0.72,0,0.72
6/19/2013,0.71,0.73,0.71,0.72,709900,0.72
6/18/2013,0.73,0.73,0.7,0.73,642000,0.73
6/17/2013,0.75,0.75,0.72,0.73,92000,0.73
6/14/2013,0.74,0.78,0.74,0.76,88000,0.76
6/13/2013,0.77,0.77,0.77,0.77,0,0.77
6/12/2013,0.75,0.77,0.73,0.77,28600,0.77
6/11/2013,0.74,0.75,0.74,0.75,47000,0.75
6/10/2013,0.71,0.71,0.71,0.71,0,0.71
6/7/2013,0.71,0.75,0.7,0.71,95600,0.71
6/6/2013,0.73,0.73,0.71,0.71,55000,0.71
6/5/2013,0.75,0.75,0.75,0.75,0,0.75
6/4/2013,0.73,0.75,0.73,0.75,9100,0.75
6/3/2013,0.72,0.73,0.71,0.73,1202600,0.73
5/31/2013,0.74,0.74,0.71,0.72,254000,0.72
5/30/2013,0.75,0.75,0.74,0.74,51300,0.74
5/29/2013,0.71,0.75,0.71,0.75,19800,0.75
5/28/2013,0.71,0.71,0.71,0.71,2366200,0.71
5/27/2013,0.75,0.77,0.7,0.74,252000,0.74
5/24/2013,0.77,0.77,0.74,0.74,357800,0.74
5/23/2013,0.79,0.79,0.76,0.77,157900,0.77
5/22/2013,0.83,0.83,0.8,0.8,240500,0.8
5/21/2013,0.82,0.83,0.82,0.83,8000,0.83
5/20/2013,0.81,0.81,0.81,0.81,51500,0.81
5/17/2013,0.82,0.83,0.81,0.81,28900,0.81
5/16/2013,0.81,0.82,0.81,0.82,216200,0.82
5/15/2013,0.81,0.82,0.81,0.82,30700,0.82
5/14/2013,0.81,0.81,0.81,0.81,8600,0.81
5/13/2013,0.86,0.86,0.8,0.8,1079300,0.8
5/10/2013,0.88,0.88,0.86,0.87,123000,0.87
5/9/2013,0.82,0.88,0.82,0.85,135800,0.85
5/8/2013,0.86,0.86,0.8,0.8,134500,0.8
5/7/2013,0.8,0.85,0.8,0.85,127500,0.85
5/6/2013,0.8,0.81,0.78,0.8,113100,0.8
5/3/2013,0.81,0.81,0.8,0.8,48900,0.8
5/2/2013,0.82,0.83,0.81,0.82,41100,0.82
5/1/2013,0.84,0.84,0.82,0.82,27400,0.82
4/30/2013,0.84,0.85,0.84,0.84,29000,0.84
4/29/2013,0.85,0.85,0.82,0.82,76100,0.82
4/26/2013,0.83,0.85,0.83,0.85,11200,0.85
4/25/2013,0.83,0.83,0.83,0.83,0,0.83
4/24/2013,0.85,0.85,0.83,0.83,50700,0.83
4/23/2013,0.78,0.84,0.78,0.84,133200,0.84
4/22/2013,0.8,0.8,0.75,0.8,91500,0.8
