Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,45.00,45.00,45.00,45.00,000,45.00
2013-09-26,43.00,45.00,43.00,45.00,100,45.00
2013-09-25,43.40,44.90,42.00,44.90,400,44.90
2013-09-24,41.50,41.50,41.50,41.50,300,41.50
2013-09-23,45.00,45.00,45.00,45.00,000,45.00
2013-09-20,44.00,45.00,43.10,45.00,400,45.00
2013-09-19,47.75,47.75,42.75,42.75,000,42.75
2013-09-18,45.25,46.00,43.60,43.60,300,43.60
2013-09-17,46.00,46.00,45.00,45.00,400,45.00
2013-09-16,43.00,47.50,43.00,47.00,500,47.00
2013-09-13,45.00,45.00,43.15,43.20,600,43.20
2013-09-12,45.00,45.00,45.00,45.00,200,44.00
2013-09-11,47.00,47.00,47.00,47.00,100,45.96
2013-09-10,43.95,43.95,43.95,43.95,000,42.97
2013-09-09,43.95,43.95,43.95,43.95,000,42.97
2013-09-06,43.00,43.95,43.00,43.95,500,42.97
2013-09-05,43.10,43.50,43.10,43.50,100,42.53
2013-09-04,49.00,49.00,48.90,48.90,10300,47.81
2013-09-03,43.00,43.00,43.00,43.00,000,42.04
2013-09-02,43.00,43.00,43.00,43.00,000,42.04
2013-08-30,45.00,45.00,40.10,43.00,200,42.04
2013-08-29,46.00,46.10,45.65,45.65,100,44.64
2013-08-28,57.00,57.00,57.00,57.00,000,55.73
2013-08-27,48.00,48.00,48.00,48.00,000,46.93
2013-08-26,48.00,48.00,48.00,48.00,000,46.93
2013-08-23,43.00,48.00,43.00,48.00,100,46.93
2013-08-22,47.00,47.00,47.00,47.00,000,45.96
2013-08-21,47.00,47.00,47.00,47.00,000,45.96
2013-08-20,47.00,47.00,47.00,47.00,000,45.96
2013-08-19,47.00,47.00,47.00,47.00,000,45.96
2013-08-16,47.00,47.00,47.00,47.00,000,45.96
2013-08-15,47.00,47.00,47.00,47.00,000,45.96
2013-08-14,43.80,47.00,43.80,47.00,100,45.96
2013-08-13,49.00,49.00,48.95,48.95,000,47.86
2013-08-12,49.00,49.00,45.00,45.00,000,44.00
2013-08-09,48.00,48.00,48.00,48.00,000,46.93
2013-08-08,48.00,48.00,40.25,48.00,000,46.93
2013-08-07,48.00,48.00,48.00,48.00,000,46.93
2013-08-06,48.00,48.00,48.00,48.00,000,46.93
2013-08-05,48.00,48.00,48.00,48.00,000,46.93
2013-08-02,48.00,48.00,48.00,48.00,000,46.93
2013-08-01,45.00,45.00,45.00,45.00,000,44.00
2013-07-31,48.85,48.85,48.85,48.85,000,47.76
2013-07-30,48.85,48.85,48.85,48.85,000,47.76
2013-07-29,48.85,48.85,48.85,48.85,000,47.76
2013-07-26,46.25,48.85,46.25,48.85,4300,47.76
2013-07-25,49.00,49.00,48.00,48.00,000,46.93
2013-07-24,49.40,49.40,47.75,49.40,3800,48.30
2013-07-23,48.00,48.00,47.75,47.75,600,46.69
2013-07-22,49.00,49.00,49.00,49.00,000,47.91
2013-07-19,48.00,49.00,48.00,49.00,000,47.91
2013-07-18,49.00,49.00,48.00,48.00,400,46.93
2013-07-17,49.00,49.00,47.50,48.00,800,46.93
2013-07-16,49.50,49.50,47.70,49.00,000,47.91
2013-07-15,49.20,49.20,49.20,49.20,000,48.11
2013-07-12,48.00,48.00,48.00,48.00,000,46.93
2013-07-11,49.50,49.50,47.50,49.40,1100,48.30
2013-07-10,49.50,49.50,48.00,49.45,100,48.35
2013-07-09,48.90,49.40,47.75,49.40,000,48.30
2013-07-08,49.00,49.00,48.00,48.00,100,46.93
2013-07-05,49.50,49.50,47.30,49.00,400,47.91
2013-07-04,47.50,49.00,47.50,48.50,100,47.42
