Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,1.79,1.84,1.78,1.84,1600,1.84
2013-09-26,1.81,1.81,1.81,1.81,400,1.81
2013-09-25,1.74,1.80,1.74,1.78,13600,1.78
2013-09-24,1.87,1.87,1.71,1.76,25100,1.76
2013-09-23,1.86,1.88,1.85,1.88,14500,1.88
2013-09-20,1.87,1.88,1.82,1.82,3400,1.82
2013-09-19,1.91,1.91,1.79,1.81,45400,1.81
2013-09-18,1.85,1.91,1.83,1.85,27900,1.85
2013-09-17,1.85,1.85,1.84,1.84,400,1.84
2013-09-16,1.88,1.90,1.84,1.84,44900,1.84
2013-09-13,1.90,1.95,1.86,1.91,19600,1.91
2013-09-12,1.82,1.97,1.82,1.86,65900,1.86
2013-09-11,1.82,1.82,1.78,1.78,6700,1.78
2013-09-10,1.83,1.83,1.78,1.79,63900,1.79
2013-09-09,1.78,1.90,1.78,1.88,65200,1.88
2013-09-06,1.84,1.86,1.70,1.78,107500,1.78
2013-09-05,1.70,1.85,1.70,1.80,85300,1.80
2013-09-04,1.66,1.72,1.65,1.72,25300,1.72
2013-09-03,1.61,1.62,1.61,1.61,5000,1.61
2013-08-30,1.62,1.64,1.61,1.62,13200,1.62
2013-08-29,1.62,1.65,1.62,1.64,2600,1.64
2013-08-28,1.70,1.70,1.62,1.67,5500,1.67
2013-08-27,1.70,1.72,1.63,1.71,52200,1.71
2013-08-26,1.76,1.78,1.69,1.76,11000,1.76
2013-08-23,1.65,1.85,1.63,1.78,41400,1.78
2013-08-22,1.69,1.69,1.65,1.65,2400,1.65
2013-08-21,1.82,1.82,1.67,1.69,87600,1.69
2013-08-20,1.83,1.84,1.79,1.81,13000,1.81
2013-08-19,1.80,1.96,1.70,1.84,125100,1.84
2013-08-16,1.85,1.88,1.79,1.82,34800,1.82
2013-08-15,1.88,1.88,1.80,1.84,123700,1.84
2013-08-14,1.99,1.99,1.82,1.88,128300,1.88
2013-08-13,1.65,2.10,1.62,2.00,456100,2.00
2013-08-12,1.48,1.65,1.48,1.65,87400,1.65
2013-08-09,1.51,1.51,1.48,1.48,17500,1.48
2013-08-08,1.41,1.53,1.33,1.52,60800,1.52
2013-08-07,1.44,1.48,1.39,1.41,23300,1.41
2013-08-06,1.46,1.52,1.46,1.46,73200,1.46
2013-08-05,1.35,1.47,1.32,1.46,59200,1.46
