Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,246.51,249.48,244.58,246.72,2317500,246.72
2013-09-26,248.97,255.84,248.50,254.01,1656900,254.01
2013-09-25,247.35,249.22,245.00,246.69,1097000,246.69
2013-09-24,239.87,249.99,239.78,245.80,1745800,245.80
2013-09-23,242.35,242.75,233.16,239.56,2303800,239.56
2013-09-20,249.53,249.55,241.87,243.90,3199700,243.90
2013-09-19,251.90,252.30,246.66,249.06,1565500,249.06
2013-09-18,246.71,250.36,246.53,249.58,1291300,249.58
2013-09-17,246.57,248.49,244.52,247.69,963400,247.69
2013-09-16,253.01,253.72,243.78,245.00,1437100,245.00
2013-09-13,250.99,251.99,247.12,249.59,1165100,249.59
2013-09-12,256.58,257.20,249.00,249.70,1719200,249.70
2013-09-11,251.31,257.56,248.95,256.14,1618900,256.14
2013-09-10,252.26,252.55,249.01,252.17,1017400,252.17
2013-09-09,252.38,254.61,247.64,249.01,1822800,249.01
2013-09-06,249.80,253.53,245.65,253.22,2848700,253.22
2013-09-05,237.50,249.98,237.22,248.35,6215400,248.35
2013-09-04,240.59,243.42,237.50,238.93,2384100,238.93
2013-09-03,243.77,246.70,241.76,246.13,1878600,246.13
2013-08-30,240.99,242.47,238.12,240.04,1078000,240.04
2013-08-29,238.02,243.55,238.00,241.12,1105600,241.12
2013-08-28,236.93,240.74,235.40,238.88,985500,238.88
2013-08-27,238.88,242.38,234.68,235.92,1592800,235.92
2013-08-26,240.77,247.98,238.51,242.39,2035400,242.39
2013-08-23,235.75,240.88,235.00,240.37,1367300,240.37
2013-08-22,232.38,235.00,231.78,234.25,751100,234.25
2013-08-21,231.18,233.90,228.75,230.79,1132200,230.79
2013-08-20,232.41,234.20,228.88,231.77,1199000,231.77
2013-08-19,225.29,233.50,225.29,230.50,1706200,230.50
2013-08-16,223.01,230.00,222.22,227.01,2213500,227.01
2013-08-15,232.50,232.75,227.30,228.29,2252900,228.29
2013-08-14,241.50,241.75,233.98,236.33,1729100,236.33
2013-08-13,240.65,244.00,238.10,241.82,1774500,241.82
2013-08-12,234.11,242.00,233.05,239.65,2448700,239.65
2013-08-09,231.38,234.00,230.88,232.81,1132800,232.81
2013-08-08,234.50,235.80,230.07,232.39,1252400,232.39
2013-08-07,229.72,233.21,227.28,232.92,1729600,232.92
2013-08-06,232.37,235.49,229.36,231.77,1655800,231.77
2013-08-05,233.87,236.00,230.38,233.64,2933200,233.64
2013-08-02,233.47,237.96,228.80,235.58,7492900,235.58
2013-08-01,206.99,213.48,206.99,213.00,5087100,213.00
2013-07-31,203.01,207.28,202.13,203.79,1923800,203.79
2013-07-30,203.71,204.72,201.30,202.57,1576500,202.57
2013-07-29,209.17,209.39,201.07,203.71,213200,203.71
2013-07-26,203.40,208.88,203.05,208.53,2245100,208.53
2013-07-25,201.79,206.30,201.00,203.98,2817200,203.98
2013-07-24,196.02,199.34,194.11,197.60,1176700,197.60
2013-07-23,198.25,199.36,193.26,194.51,1148700,194.51
2013-07-22,200.00,200.87,194.11,197.04,1516200,197.04
2013-07-19,200.93,202.40,198.30,199.29,2089500,199.29
2013-07-18,198.70,207.23,197.26,204.16,2849000,204.16
2013-07-17,194.01,199.15,194.01,197.94,1355600,197.94
