Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,0.72,0.74,0.72,0.73,1500,0.73
2013-09-26,0.85,0.89,0.74,0.74,4900,0.74
2013-09-25,0.77,0.88,0.77,0.81,9800,0.81
2013-09-24,0.81,0.82,0.79,0.79,6500,0.79
2013-09-23,0.90,0.90,0.74,0.74,2300,0.74
2013-09-20,0.80,0.90,0.80,0.90,6200,0.90
2013-09-19,0.85,0.90,0.80,0.88,25600,0.88
2013-09-18,0.81,0.81,0.76,0.76,3800,0.76
2013-09-17,0.85,0.85,0.85,0.85,700,0.85
2013-09-16,0.78,0.78,0.65,0.73,6200,0.73
2013-09-13,0.87,0.87,0.80,0.80,14800,0.80
2013-09-12,0.75,0.85,0.72,0.85,43900,0.85
2013-09-11,0.65,0.65,0.65,0.65,1200,0.65
2013-09-10,0.73,0.73,0.65,0.65,2600,0.65
2013-09-09,0.70,0.75,0.70,0.75,5100,0.75
2013-09-06,0.70,0.70,0.70,0.70,1100,0.70
2013-09-05,0.70,0.72,0.70,0.72,2900,0.72
2013-09-04,0.74,0.74,0.68,0.69,3600,0.69
2013-09-03,0.66,0.66,0.65,0.65,200,0.65
2013-08-30,0.67,0.67,0.67,0.67,1000,0.67
2013-08-29,0.66,0.67,0.65,0.65,1400,0.65
2013-08-28,0.66,0.66,0.66,0.66,000,0.66
2013-08-27,0.74,0.75,0.66,0.66,3600,0.66
2013-08-26,0.72,0.72,0.69,0.71,4000,0.71
2013-08-23,0.66,0.70,0.66,0.70,5700,0.70
2013-08-22,0.65,0.65,0.65,0.65,000,0.65
2013-08-21,0.65,0.65,0.65,0.65,000,0.65
2013-08-20,0.75,0.75,0.65,0.65,28200,0.65
2013-08-19,0.79,0.80,0.71,0.71,59200,0.71
2013-08-16,0.68,0.75,0.68,0.71,10300,0.71
2013-08-15,0.64,0.64,0.62,0.62,1100,0.62
2013-08-14,0.66,0.66,0.66,0.66,000,0.66
2013-08-13,0.65,0.66,0.64,0.66,6200,0.66
2013-08-12,0.64,0.67,0.64,0.67,1900,0.67
2013-08-09,0.63,0.63,0.63,0.63,400,0.63
2013-08-08,0.63,0.63,0.63,0.63,100,0.63
2013-08-07,0.63,0.64,0.63,0.64,2900,0.64
2013-08-06,0.62,0.62,0.62,0.62,000,0.62
2013-08-05,0.63,0.63,0.62,0.62,5600,0.62
2013-08-02,0.62,0.63,0.62,0.62,5500,0.62
2013-08-01,0.64,0.64,0.64,0.64,100,0.64
2013-07-31,0.63,0.63,0.62,0.63,6000,0.63
2013-07-30,0.66,0.67,0.66,0.67,2000,0.67
2013-07-29,0.63,0.66,0.63,0.65,2800,0.65
2013-07-26,0.65,0.66,0.65,0.66,2000,0.66
2013-07-25,0.62,0.62,0.61,0.61,2500,0.61
2013-07-24,0.60,0.62,0.59,0.62,7300,0.62
2013-07-23,0.62,0.65,0.61,0.62,2600,0.62
2013-07-22,0.61,0.63,0.61,0.63,7300,0.63
2013-07-19,0.64,0.64,0.64,0.64,000,0.64
2013-07-18,0.61,0.67,0.61,0.64,1600,0.64
2013-07-17,0.65,0.66,0.65,0.66,2300,0.66
2013-07-16,0.64,0.65,0.62,0.65,3700,0.65
2013-07-15,0.61,0.63,0.60,0.62,4800,0.62
2013-07-12,0.64,0.64,0.64,0.64,000,0.64
