Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,18.64,18.65,18.64,18.65,21700,18.65
2013-09-26,18.61,18.70,18.54,18.64,61100,18.64
2013-09-25,12.38,12.38,12.38,12.38,000,12.38
2013-09-24,12.45,12.45,12.38,12.38,800,12.38
2013-09-23,12.47,12.47,12.47,12.47,000,12.47
2013-09-20,12.32,12.80,12.32,12.53,1700,12.53
2013-09-19,12.40,12.69,12.40,12.42,200,12.42
2013-09-18,12.38,12.38,12.35,12.37,1200,12.37
2013-09-17,12.22,12.70,12.22,12.70,500,12.70
2013-09-16,12.50,12.50,12.24,12.50,700,12.50
2013-09-13,12.34,12.42,12.34,12.40,400,12.40
2013-09-12,12.64,12.68,12.64,12.68,600,12.68
2013-09-11,12.57,12.57,12.57,12.57,900,12.57
2013-09-10,12.38,12.57,12.28,12.57,2400,12.57
2013-09-09,12.21,12.40,12.21,12.40,400,12.40
2013-09-06,12.56,12.56,12.19,12.55,300,12.55
2013-09-05,12.40,12.57,12.40,12.57,600,12.57
2013-09-04,12.24,12.24,12.15,12.15,2100,12.15
2013-09-03,12.23,12.23,12.23,12.23,000,12.23
2013-09-02,12.66,12.66,12.23,12.23,200,12.23
2013-08-30,12.47,12.47,12.47,12.47,000,12.47
2013-08-29,12.21,12.47,12.20,12.47,500,12.47
2013-08-28,12.48,12.48,12.25,12.47,500,12.47
2013-08-27,12.24,12.64,12.24,12.62,100,12.62
2013-08-26,12.33,12.64,12.33,12.50,200,12.50
2013-08-23,12.68,12.68,12.68,12.68,000,12.68
2013-08-22,12.50,12.68,12.50,12.68,200,12.68
2013-08-21,12.50,12.50,12.50,12.50,400,12.50
2013-08-20,12.20,12.45,12.20,12.30,400,12.30
2013-08-19,12.45,12.73,12.45,12.73,400,12.73
2013-08-16,12.42,12.45,12.10,12.45,1700,12.45
2013-08-15,12.50,12.50,12.12,12.33,500,12.33
2013-08-14,12.25,12.25,12.11,12.25,600,12.25
2013-08-13,12.10,12.21,12.07,12.21,300,12.21
2013-08-12,12.28,12.49,12.17,12.49,500,12.49
2013-08-09,12.75,12.78,12.28,12.28,100,12.28
2013-08-08,12.08,12.75,12.05,12.75,3400,12.75
2013-08-07,12.20,12.49,12.20,12.40,400,12.40
2013-08-06,12.10,12.25,12.10,12.25,1700,12.25
2013-08-05,12.21,12.21,12.07,12.07,200,12.07
2013-08-02,12.20,12.52,12.20,12.25,600,12.25
2013-08-01,12.07,12.20,12.06,12.10,700,12.10
2013-07-31,12.10,12.80,11.93,12.44,1400,12.44
2013-07-30,12.10,12.10,11.81,12.10,100,12.10
2013-07-29,12.10,12.10,12.10,12.10,000,12.10
2013-07-26,12.30,12.80,11.85,12.10,1000,12.10
2013-07-25,11.66,12.06,11.66,12.05,900,12.05
2013-07-24,11.66,12.01,11.66,12.01,2400,12.01
2013-07-23,11.89,11.90,11.89,11.90,1300,11.90
2013-07-22,11.66,11.75,11.66,11.69,100,11.69
2013-07-19,11.56,11.85,11.56,11.74,700,11.74
2013-07-18,11.89,11.90,11.89,11.90,200,11.90
2013-07-17,11.84,11.84,11.84,11.84,200,11.84
2013-07-16,11.79,11.83,11.72,11.72,600,11.72
2013-07-15,11.47,11.83,11.47,11.83,2700,11.83
2013-07-12,11.75,11.85,11.75,11.85,500,11.85
2013-07-11,11.51,12.00,11.50,12.00,500,12.00
2013-07-10,11.50,11.75,11.50,11.75,200,11.75
2013-07-09,11.60,11.75,11.55,11.75,100,11.75
2013-07-08,11.59,11.59,11.59,11.59,000,11.59
2013-07-05,11.69,11.70,11.49,11.59,1500,11.59
2013-07-04,11.47,11.75,11.47,11.75,300,11.75
2013-07-03,10.81,12.50,10.55,11.66,9400,11.66
2013-07-02,12.01,12.01,12.01,12.01,000,12.01
2013-07-01,12.02,12.15,12.02,12.07,800,12.07
2013-06-28,12.20,12.20,12.08,12.08,100,12.08
