Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,1.81,1.82,1.76,1.79,320800,1.79
2013-09-26,1.80,1.82,1.77,1.81,244700,1.81
2013-09-25,1.80,1.82,1.76,1.79,248600,1.79
2013-09-24,1.74,1.82,1.71,1.80,555300,1.80
2013-09-23,1.77,1.80,1.71,1.76,464000,1.76
2013-09-20,1.83,1.84,1.77,1.81,404400,1.81
2013-09-19,1.83,1.89,1.80,1.84,495100,1.84
2013-09-18,1.81,1.83,1.77,1.82,440000,1.82
2013-09-17,1.81,1.88,1.81,1.84,379700,1.84
2013-09-16,1.93,1.94,1.81,1.86,476000,1.86
2013-09-13,1.96,1.96,1.91,1.93,273500,1.93
2013-09-12,2.00,2.05,1.94,1.96,1032600,1.96
2013-09-11,1.85,2.02,1.80,2.00,2638600,2.00
2013-09-10,1.80,1.85,1.73,1.85,416300,1.85
2013-09-09,1.82,1.83,1.73,1.78,382800,1.78
2013-09-06,1.82,1.84,1.78,1.82,378200,1.82
2013-09-05,1.76,1.85,1.76,1.82,881200,1.82
2013-09-04,1.74,1.77,1.71,1.76,800100,1.76
2013-09-03,1.71,1.75,1.68,1.73,291000,1.73
2013-08-30,1.68,1.72,1.61,1.72,477800,1.72
2013-08-29,1.68,1.75,1.68,1.69,311500,1.69
2013-08-28,1.70,1.72,1.68,1.71,244100,1.71
2013-08-27,1.72,1.74,1.66,1.70,399000,1.70
2013-08-26,1.67,1.78,1.65,1.74,808600,1.74
2013-08-23,1.65,1.73,1.62,1.71,543600,1.71
2013-08-22,1.59,1.66,1.57,1.63,174300,1.63
2013-08-21,1.56,1.66,1.55,1.60,516500,1.60
2013-08-20,1.66,1.66,1.50,1.56,1104300,1.56
2013-08-19,1.71,1.74,1.63,1.67,874700,1.67
2013-08-16,1.74,1.75,1.70,1.74,552400,1.74
2013-08-15,1.70,1.77,1.68,1.76,951300,1.76
2013-08-14,1.79,1.79,1.70,1.72,772000,1.72
2013-08-13,1.86,1.88,1.75,1.79,1299700,1.79
2013-08-12,1.77,1.86,1.70,1.86,1613800,1.86
