Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,0.37,0.37,0.37,0.37,000,0.37
2013-09-26,0.37,0.37,0.37,0.37,000,0.37
2013-09-25,0.37,0.37,0.37,0.37,3000,0.37
2013-09-24,0.39,0.39,0.39,0.39,000,0.39
2013-09-23,0.39,0.39,0.39,0.39,000,0.39
2013-09-20,0.39,0.39,0.39,0.39,000,0.39
2013-09-19,0.39,0.39,0.39,0.39,000,0.39
2013-09-18,0.39,0.39,0.39,0.39,000,0.39
2013-09-17,0.39,0.39,0.39,0.39,000,0.39
2013-09-16,0.39,0.39,0.39,0.39,000,0.39
2013-09-13,0.39,0.39,0.39,0.39,000,0.39
2013-09-12,0.39,0.39,0.39,0.39,000,0.39
2013-09-11,0.39,0.39,0.39,0.39,000,0.39
2013-09-10,0.39,0.39,0.39,0.39,000,0.39
2013-09-09,0.39,0.39,0.39,0.39,000,0.39
2013-09-06,0.39,0.39,0.39,0.39,000,0.39
2013-09-05,0.39,0.39,0.39,0.39,500,0.39
2013-09-04,0.39,0.39,0.39,0.39,000,0.39
2013-09-03,0.31,0.31,0.31,0.31,000,0.31
2013-09-02,0.31,0.31,0.31,0.31,000,0.31
2013-08-30,0.31,0.31,0.31,0.31,000,0.31
2013-08-29,0.31,0.31,0.31,0.31,000,0.31
2013-08-28,0.31,0.31,0.31,0.31,000,0.31
2013-08-27,0.31,0.31,0.31,0.31,000,0.31
2013-08-26,0.31,0.31,0.31,0.31,000,0.31
2013-08-23,0.31,0.31,0.31,0.31,000,0.31
2013-08-22,0.31,0.31,0.31,0.31,100,0.31
2013-08-21,0.30,0.30,0.30,0.30,000,0.30
2013-08-20,0.30,0.30,0.30,0.30,000,0.30
2013-08-19,0.30,0.30,0.30,0.30,000,0.30
2013-08-16,0.30,0.30,0.30,0.30,000,0.30
2013-08-15,0.30,0.30,0.30,0.30,000,0.30
2013-08-14,0.30,0.30,0.30,0.30,500,0.30
2013-08-13,0.39,0.39,0.39,0.39,000,0.39
2013-08-12,0.39,0.39,0.39,0.39,000,0.39
