Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,143.30,151.20,143.30,150.10,1501600,150.10
2013-09-26,144.40,145.30,142.50,143.60,1073300,143.60
2013-09-25,144.40,145.10,142.50,144.00,1183300,144.00
2013-09-24,146.80,148.80,141.77,143.70,3304800,143.70
2013-09-23,151.00,151.03,144.50,144.50,998700,144.50
2013-09-20,155.00,155.00,149.66,150.50,1232400,150.50
2013-09-19,154.40,157.46,154.40,154.60,1111800,154.60
2013-09-18,157.10,157.20,149.85,153.60,10392500,153.60
2013-09-17,164.80,164.80,157.30,157.30,1522200,157.30
2013-09-16,165.40,165.90,162.86,163.50,273800,163.50
2013-09-13,164.70,168.42,163.89,164.70,667100,164.70
2013-09-12,163.50,167.00,163.10,164.40,878600,164.40
2013-09-11,170.90,170.90,162.70,163.70,1435900,163.70
2013-09-10,172.10,173.90,168.50,168.50,1177900,168.50
2013-09-09,175.30,175.66,171.60,172.30,834300,172.30
2013-09-06,173.50,175.20,172.10,174.80,580400,174.80
2013-09-05,174.00,174.60,170.95,174.00,813600,174.00
2013-09-04,171.50,174.00,169.90,173.80,1547500,173.80
2013-09-03,175.00,175.00,168.80,171.00,1194100,171.00
2013-09-02,171.90,172.50,170.32,172.40,1118500,172.40
2013-08-30,173.50,174.10,169.30,170.00,1701400,170.00
2013-08-29,170.10,172.60,169.70,171.90,903100,171.90
2013-08-28,168.70,170.60,167.40,170.40,1601800,170.40
2013-08-27,170.10,171.90,167.90,169.30,626600,169.30
2013-08-26,170.00,170.00,170.00,170.00,000,170.00
2013-08-23,170.80,171.80,169.50,170.00,798900,170.00
2013-08-22,167.10,171.24,166.90,168.90,859100,168.90
2013-08-21,169.90,170.60,165.10,165.60,1245500,165.60
2013-08-20,166.00,169.50,162.60,168.60,1076600,168.60
2013-08-19,163.60,168.24,161.10,166.00,2775800,166.00
2013-08-16,157.90,162.22,157.90,160.50,1172700,160.50
2013-08-15,160.20,161.00,157.20,157.50,1022100,157.50
2013-08-14,164.00,165.00,157.55,160.00,2967800,160.00
2013-08-13,178.70,179.70,165.00,166.00,1495200,163.84
2013-08-12,181.00,186.00,178.00,178.20,829900,175.88
2013-08-09,185.00,189.60,182.39,185.20,618400,182.79
2013-08-08,183.50,185.50,183.50,185.00,317200,182.59
