Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,16.77,16.89,16.51,16.57,301500,16.57
2013-09-26,16.50,16.87,16.45,16.85,628300,16.85
2013-09-25,16.39,16.57,16.15,16.45,389500,16.45
2013-09-24,16.25,16.58,15.98,16.37,518800,16.37
2013-09-23,16.23,16.31,15.85,16.18,487000,16.18
2013-09-20,15.99,16.48,15.89,16.22,958300,16.22
2013-09-19,15.93,16.00,15.81,15.97,493500,15.97
2013-09-18,15.40,15.97,15.29,15.85,744800,15.85
2013-09-17,15.32,15.67,15.26,15.34,416400,15.34
2013-09-16,16.00,16.00,15.37,15.41,441500,15.41
2013-09-13,15.53,15.88,15.53,15.75,460600,15.75
2013-09-12,15.47,15.75,15.31,15.41,407300,15.41
2013-09-11,15.04,15.56,15.04,15.49,511700,15.49
2013-09-10,15.01,15.14,14.80,15.13,567600,15.13
2013-09-09,14.46,14.93,14.42,14.91,754200,14.91
2013-09-06,14.61,14.67,14.24,14.48,449500,14.48
2013-09-05,14.52,14.60,14.42,14.49,317300,14.49
2013-09-04,14.35,14.61,14.30,14.55,398600,14.55
2013-09-03,14.68,14.78,14.20,14.38,410300,14.38
2013-08-30,14.67,14.70,14.10,14.50,681400,14.50
2013-08-29,14.59,14.77,14.54,14.72,319000,14.72
2013-08-28,14.63,14.74,14.60,14.65,275900,14.65
2013-08-27,14.76,14.79,14.46,14.58,856100,14.58
2013-08-26,14.90,15.22,14.81,14.96,507100,14.96
2013-08-23,14.83,14.96,14.67,14.89,319800,14.89
2013-08-22,14.45,14.88,14.45,14.84,428500,14.84
2013-08-21,14.46,14.65,14.31,14.45,245100,14.45
2013-08-20,14.29,14.47,14.26,14.47,326100,14.47
2013-08-19,14.41,14.48,14.24,14.32,373100,14.32
2013-08-16,14.30,14.51,14.23,14.45,584500,14.45
2013-08-15,14.55,14.59,14.24,14.29,512800,14.29
2013-08-14,14.47,14.67,14.40,14.65,688000,14.65
2013-08-13,14.55,14.59,14.34,14.49,430000,14.49
2013-08-12,13.95,14.54,13.87,14.49,829400,14.49
2013-08-09,13.71,14.01,13.71,13.97,255100,13.97
2013-08-08,13.58,13.90,13.43,13.70,402100,13.70
2013-08-07,13.92,14.13,13.64,13.68,5119600,13.68
2013-08-06,14.36,14.43,13.66,13.90,853700,13.90
2013-08-05,14.69,14.98,14.48,14.53,583300,14.53
2013-08-02,14.96,14.99,14.18,14.75,720500,14.75
2013-08-01,14.00,14.57,13.76,14.43,1246500,14.43
2013-07-31,13.82,13.99,13.72,13.89,202700,13.89
2013-07-30,13.73,13.89,13.63,13.81,150600,13.81
2013-07-29,14.02,14.06,13.69,13.71,175500,13.71
2013-07-26,13.89,14.21,13.87,14.06,729800,14.06
2013-07-25,13.34,13.93,13.34,13.90,1109100,13.90
2013-07-24,13.47,13.70,13.26,13.27,501500,13.27
2013-07-23,13.76,13.76,13.38,13.39,268500,13.39
2013-07-22,13.67,13.82,13.51,13.73,392400,13.73
2013-07-19,13.67,13.83,13.59,13.70,232900,13.70
2013-07-18,13.77,13.90,13.64,13.67,447500,13.67
2013-07-17,13.75,13.96,13.54,13.73,465300,13.73
2013-07-16,13.08,13.68,12.96,13.57,978000,13.57
2013-07-15,12.87,12.97,12.79,12.92,265500,12.92
2013-07-12,12.94,12.98,12.80,12.85,150900,12.85
2013-07-11,13.02,13.03,12.89,12.96,206300,12.96
2013-07-10,13.00,13.14,12.84,12.85,145700,12.85
2013-07-09,13.02,13.09,12.83,13.04,193300,13.04
