Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,0.00,0.00,0.00,0.00,392000,0.00
2013-09-26,0.00,0.00,0.00,0.00,3564300,0.00
2013-09-25,0.00,0.00,0.00,0.00,554500,0.00
2013-09-24,0.00,0.00,0.00,0.00,802800,0.00
2013-09-23,0.00,0.00,0.00,0.00,146800,0.00
2013-09-20,0.00,0.00,0.00,0.00,22200,0.00
2013-09-19,0.00,0.00,0.00,0.00,000,0.00
2013-09-18,0.00,0.00,0.00,0.00,46000,0.00
2013-09-17,0.00,0.00,0.00,0.00,180000,0.00
2013-09-16,0.00,0.00,0.00,0.00,2646700,0.00
2013-09-13,0.00,0.00,0.00,0.00,000,0.00
2013-09-12,0.00,0.00,0.00,0.00,81000,0.00
2013-09-11,0.00,0.00,0.00,0.00,181000,0.00
2013-09-10,0.00,0.00,0.00,0.00,90000,0.00
2013-09-09,0.00,0.00,0.00,0.00,000,0.00
2013-09-06,0.00,0.00,0.00,0.00,000,0.00
2013-09-05,0.00,0.00,0.00,0.00,30000,0.00
2013-09-04,0.00,0.00,0.00,0.00,1029900,0.00
2013-09-03,0.00,0.00,0.00,0.00,261500,0.00
2013-09-02,0.00,0.00,0.00,0.00,000,0.00
2013-08-30,0.00,0.00,0.00,0.00,64900,0.00
2013-08-29,0.00,0.00,0.00,0.00,3273100,0.00
2013-08-28,0.00,0.00,0.00,0.00,140000,0.00
2013-08-27,0.00,0.00,0.00,0.00,125000,0.00
2013-08-26,0.00,0.00,0.00,0.00,13000,0.00
2013-08-23,0.00,0.00,0.00,0.00,1000000,0.00
2013-08-22,0.00,0.00,0.00,0.00,000,0.00
2013-08-21,0.00,0.00,0.00,0.00,45000,0.00
2013-08-20,0.00,0.00,0.00,0.00,67500,0.00
2013-08-19,0.00,0.00,0.00,0.00,645300,0.00
2013-08-16,0.00,0.00,0.00,0.00,20000,0.00
2013-08-15,0.00,0.00,0.00,0.00,410000,0.00
2013-08-14,0.00,0.00,0.00,0.00,4887300,0.00
2013-08-13,0.00,0.00,0.00,0.00,25017700,0.00
2013-08-12,0.00,0.00,0.00,0.00,1775000,0.00
2013-08-09,0.00,0.00,0.00,0.00,1850300,0.00
2013-08-08,0.00,0.00,0.00,0.00,101800,0.00
2013-08-07,0.00,0.00,0.00,0.00,470000,0.00
2013-08-06,0.00,0.00,0.00,0.00,8178500,0.00
2013-08-05,0.00,0.00,0.00,0.00,200000,0.00
2013-08-02,0.00,0.00,0.00,0.00,000,0.00
2013-08-01,0.00,0.00,0.00,0.00,6757000,0.00
2013-07-31,0.00,0.00,0.00,0.00,1475000,0.00
2013-07-30,0.00,0.00,0.00,0.00,926100,0.00
2013-07-29,0.00,0.00,0.00,0.00,1500000,0.00
2013-07-26,0.00,0.00,0.00,0.00,4068000,0.00
2013-07-25,0.00,0.00,0.00,0.00,2030000,0.00
2013-07-24,0.00,0.00,0.00,0.00,19100,0.00
2013-07-23,0.00,0.00,0.00,0.00,805400,0.00
2013-07-22,0.00,0.00,0.00,0.00,1369500,0.00
2013-07-19,0.00,0.00,0.00,0.00,1289900,0.00
2013-07-18,0.00,0.00,0.00,0.00,144000,0.00
2013-07-17,0.00,0.00,0.00,0.00,000,0.00
2013-07-16,0.00,0.00,0.00,0.00,1047800,0.00
2013-07-15,0.00,0.00,0.00,0.00,101500,0.00
2013-07-12,0.00,0.00,0.00,0.00,1496400,0.00
2013-07-11,0.00,0.00,0.00,0.00,4710700,0.00
2013-07-10,0.00,0.00,0.00,0.00,700000,0.00
2013-07-09,0.00,0.00,0.00,0.00,7865000,0.00
2013-07-08,0.00,0.00,0.00,0.00,2276200,0.00
2013-07-05,0.00,0.00,0.00,0.00,64590400,0.00
2013-07-04,0.00,0.00,0.00,0.00,000,0.00
2013-07-03,0.00,0.00,0.00,0.00,000,0.00
2013-07-02,0.00,0.00,0.00,0.00,1000,0.00
2013-07-01,0.00,0.00,0.00,0.00,1256400,0.00
2013-06-28,0.00,0.00,0.00,0.00,681200,0.00
2013-06-27,0.00,0.00,0.00,0.00,400000,0.00
2013-06-26,0.00,0.00,0.00,0.00,120000,0.00
2013-06-25,0.00,0.00,0.00,0.00,1000000,0.00
2013-06-24,0.00,0.00,0.00,0.00,104800,0.00
2013-06-21,0.00,0.00,0.00,0.00,1505800,0.00
2013-06-20,0.00,0.00,0.00,0.00,2000000,0.00
2013-06-19,0.00,0.00,0.00,0.00,1806900,0.00
