Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,1.82,1.86,1.70,1.70,7371700,1.70
2013-09-26,1.89,1.89,1.84,1.86,2747200,1.86
2013-09-25,1.68,1.94,1.68,1.90,10966800,1.90
2013-09-24,1.68,1.69,1.65,1.68,1112900,1.68
2013-09-23,1.72,1.72,1.68,1.68,712000,1.68
2013-09-20,1.71,1.72,1.69,1.71,832900,1.71
2013-09-19,1.72,1.72,1.70,1.70,469600,1.70
2013-09-18,1.71,1.73,1.70,1.70,716500,1.70
2013-09-17,1.74,1.74,1.71,1.71,508300,1.71
2013-09-16,1.74,1.75,1.73,1.75,613000,1.75
2013-09-13,1.74,1.74,1.71,1.74,470500,1.74
2013-09-12,1.73,1.74,1.72,1.73,648800,1.73
2013-09-11,1.76,1.76,1.73,1.73,890800,1.73
2013-09-10,1.73,1.76,1.72,1.76,1475300,1.76
2013-09-09,1.76,1.77,1.70,1.71,1387800,1.71
2013-09-06,1.75,1.76,1.74,1.75,876500,1.75
2013-09-05,1.76,1.76,1.73,1.75,756900,1.75
2013-09-04,1.75,1.77,1.73,1.76,582700,1.76
2013-09-03,1.72,1.77,1.70,1.76,1228800,1.76
2013-09-02,1.71,1.73,1.70,1.70,487800,1.70
2013-08-30,1.73,1.74,1.69,1.69,546500,1.69
2013-08-29,1.68,1.73,1.68,1.72,677000,1.72
2013-08-28,1.69,1.70,1.65,1.68,1093700,1.68
2013-08-27,1.78,1.79,1.71,1.71,1074400,1.71
2013-08-26,1.82,1.83,1.77,1.78,848300,1.78
2013-08-23,1.79,1.86,1.79,1.82,1521000,1.82
2013-08-22,1.76,1.82,1.76,1.80,1121700,1.80
2013-08-21,1.78,1.79,1.76,1.77,151700,1.77
2013-08-20,1.77,1.80,1.72,1.78,1851500,1.78
2013-08-19,1.78,1.80,1.76,1.77,768800,1.77
2013-08-16,1.79,1.79,1.75,1.78,558900,1.78
2013-08-15,1.76,1.80,1.76,1.78,675500,1.78
2013-08-14,1.78,1.80,1.73,1.78,1096900,1.78
2013-08-13,1.83,1.85,1.77,1.77,1668500,1.77
2013-08-12,1.70,1.83,1.69,1.83,2450600,1.83
2013-08-09,1.65,1.70,1.63,1.70,941300,1.70
2013-08-08,1.61,1.65,1.61,1.65,315100,1.65
2013-08-07,1.62,1.63,1.60,1.61,281600,1.61
2013-08-06,1.60,1.66,1.60,1.62,827000,1.62
2013-08-05,1.63,1.63,1.60,1.60,452900,1.60
2013-08-02,1.62,1.63,1.59,1.63,313300,1.63
2013-08-01,1.64,1.66,1.61,1.61,667500,1.61
2013-07-31,1.62,1.64,1.58,1.64,528700,1.64
2013-07-30,1.59,1.61,1.58,1.60,418800,1.60
2013-07-29,1.59,1.62,1.58,1.58,342000,1.58
2013-07-26,1.52,1.61,1.52,1.61,1748300,1.61
2013-07-25,1.58,1.60,1.51,1.51,2784000,1.51
2013-07-24,1.65,1.67,1.62,1.62,749500,1.62
2013-07-23,1.66,1.69,1.64,1.67,425700,1.67
2013-07-22,1.66,1.69,1.62,1.68,612900,1.68
2013-07-19,1.64,1.67,1.62,1.65,531800,1.65
2013-07-18,1.63,1.65,1.61,1.61,437900,1.61
2013-07-17,1.58,1.71,1.58,1.62,1376300,1.62
2013-07-16,1.60,1.62,1.58,1.58,366000,1.58
2013-07-15,1.63,1.63,1.59,1.59,407400,1.59
2013-07-12,1.67,1.68,1.62,1.63,314000,1.63
2013-07-11,1.64,1.71,1.63,1.67,678200,1.67
2013-07-10,1.68,1.73,1.62,1.65,1098500,1.65
2013-07-09,1.47,1.68,1.47,1.68,2112000,1.68
2013-07-08,1.48,1.49,1.47,1.47,351200,1.47
2013-07-05,1.53,1.53,1.47,1.47,394000,1.47
2013-07-04,1.52,1.53,1.50,1.51,374000,1.51
2013-07-03,1.53,1.53,1.50,1.50,362000,1.50
2013-07-02,1.54,1.55,1.52,1.52,185000,1.52
2013-07-01,1.58,1.58,1.53,1.53,185400,1.53
2013-06-28,1.56,1.58,1.54,1.57,248100,1.57
2013-06-27,1.55,1.59,1.55,1.57,298600,1.57
2013-06-26,1.52,1.56,1.52,1.56,196400,1.56
2013-06-25,1.55,1.56,1.50,1.52,725800,1.52
2013-06-24,1.60,1.61,1.55,1.55,568800,1.55
2013-06-21,1.57,1.61,1.57,1.60,405800,1.60
2013-06-20,1.57,1.59,1.56,1.57,384000,1.57
2013-06-19,1.59,1.59,1.55,1.59,810900,1.59
2013-06-18,1.62,1.63,1.59,1.59,821500,1.59
2013-06-17,1.64,1.65,1.61,1.62,576600,1.62
2013-06-14,1.66,1.67,1.62,1.65,471500,1.65
2013-06-13,1.67,1.67,1.64,1.64,520900,1.64
2013-06-12,1.68,1.70,1.67,1.68,216200,1.68
2013-06-11,1.70,1.72,1.68,1.68,319500,1.68
2013-06-10,1.72,1.72,1.72,1.72,000,1.72
2013-06-07,1.80,1.80,1.72,1.72,899200,1.72
2013-06-06,1.81,1.83,1.76,1.78,637600,1.78
2013-06-05,1.80,1.84,1.78,1.80,1085100,1.80
2013-06-04,1.84,1.86,1.78,1.79,930500,1.79
2013-06-03,1.84,1.89,1.80,1.83,2195200,1.83
2013-05-31,1.85,1.85,1.81,1.84,798500,1.84
2013-05-30,1.80,1.88,1.79,1.84,2209100,1.84
2013-05-29,1.82,1.82,1.75,1.81,1491500,1.81
2013-05-28,1.84,1.86,1.79,1.80,2263300,1.80
2013-05-27,1.69,1.84,1.68,1.82,4955200,1.82
2013-05-24,1.68,1.70,1.64,1.68,664800,1.68
2013-05-23,1.64,1.69,1.61,1.67,1782300,1.67
2013-05-22,1.68,1.69,1.67,1.67,369600,1.67
2013-05-21,1.70,1.71,1.67,1.69,582200,1.69
2013-05-20,1.63,1.72,1.62,1.69,1034900,1.69
2013-05-17,1.65,1.65,1.61,1.62,783400,1.62
2013-05-16,1.65,1.68,1.63,1.65,649600,1.65
2013-05-15,1.68,1.68,1.62,1.65,731900,1.65
2013-05-14,1.74,1.74,1.66,1.67,1325900,1.67
2013-05-13,1.69,1.75,1.67,1.73,3255500,1.73
2013-05-10,1.56,1.67,1.56,1.66,1383500,1.66
2013-05-09,1.57,1.58,1.55,1.56,262400,1.56
2013-05-08,1.57,1.58,1.55,1.58,218700,1.58
