Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,24.68,24.68,24.00,24.05,2700,24.05
2013-09-26,24.54,24.80,24.54,24.80,400,24.80
2013-09-25,24.60,24.70,24.30,24.40,1800,24.40
2013-09-24,24.20,24.60,24.04,24.50,4600,24.50
2013-09-23,24.26,24.40,23.98,24.29,4200,24.29
2013-09-20,24.60,24.60,24.26,24.48,2200,24.48
2013-09-19,25.20,25.20,24.60,24.64,2400,24.64
2013-09-18,25.23,25.50,25.20,25.40,6600,25.40
2013-09-17,25.10,25.25,25.00,25.25,4500,25.25
2013-09-16,24.41,25.20,24.41,25.06,900,25.06
2013-09-13,24.50,25.15,24.50,25.15,12900,25.15
2013-09-12,24.10,24.45,24.10,24.38,59500,24.38
2013-09-11,24.60,24.60,24.28,24.49,1900,24.49
2013-09-10,24.69,24.70,24.40,24.53,3700,24.53
2013-09-09,24.00,24.79,23.96,24.49,7600,24.49
2013-09-06,23.99,23.99,23.40,23.74,2600,23.74
2013-09-05,23.40,23.88,23.32,23.88,2000,23.88
2013-09-04,23.40,23.60,23.38,23.39,2400,23.39
2013-09-03,23.00,23.40,23.00,23.38,2700,23.38
2013-08-30,23.18,23.30,22.80,23.10,2600,23.10
2013-08-29,23.30,23.46,22.95,23.20,5300,23.20
2013-08-28,23.18,23.30,22.90,23.20,5800,23.20
2013-08-27,23.40,23.50,22.90,23.12,4400,23.12
2013-08-26,23.00,23.60,22.54,23.30,7400,23.30
2013-08-23,22.50,23.00,22.40,23.00,6800,23.00
2013-08-22,22.30,23.50,22.10,22.49,4900,22.49
2013-08-21,21.59,22.40,21.40,22.40,4000,22.40
2013-08-20,21.60,21.74,21.40,21.60,8200,21.60
2013-08-19,21.20,21.70,21.20,21.43,2500,21.43
2013-08-16,20.95,21.25,20.51,21.10,9800,21.10
2013-08-15,21.40,21.55,20.98,20.98,1300,20.98
2013-08-14,21.65,21.73,21.48,21.48,7500,21.48
2013-08-13,21.70,21.85,21.44,21.52,6500,21.52
2013-08-12,22.05,22.10,21.43,21.43,3900,21.43
2013-08-09,22.05,22.07,21.25,22.05,10300,22.05
2013-08-08,22.65,22.65,21.69,21.85,9200,21.85
2013-08-07,23.45,23.84,22.50,22.64,3300,22.64
2013-08-06,23.16,23.55,23.10,23.55,3800,23.55
2013-08-02,21.36,23.10,21.36,23.10,4400,23.10
2013-08-01,22.30,22.72,22.20,22.20,4000,22.20
2013-07-31,22.00,22.37,21.75,22.30,2500,22.30
2013-07-30,23.25,23.25,22.11,22.26,6100,22.26
2013-07-29,23.84,23.84,23.24,23.45,5000,23.45
2013-07-26,23.50,23.85,23.50,23.52,3000,23.52
2013-07-25,23.70,23.70,23.50,23.55,1500,23.55
2013-07-24,23.87,23.90,23.71,23.71,2100,23.71
2013-07-23,24.25,24.25,23.84,23.84,2200,23.84
2013-07-22,24.00,24.25,23.92,24.25,6900,24.25
2013-07-19,23.57,24.04,23.55,23.90,10500,23.90
2013-07-18,23.85,23.85,23.61,23.63,2300,23.63
2013-07-17,23.25,23.75,23.20,23.75,6700,23.75
2013-07-16,23.35,23.40,23.10,23.25,6200,23.25
