Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,37.50,38.52,37.43,38.40,203500,38.40
2013-09-26,37.70,37.86,37.19,37.50,241400,37.50
2013-09-25,37.35,38.38,37.17,37.91,249000,37.91
2013-09-24,37.50,37.58,37.04,37.39,127400,37.39
2013-09-23,37.99,38.17,37.18,37.50,238800,37.50
2013-09-20,39.05,39.18,38.19,38.46,297300,38.46
2013-09-19,39.03,39.74,38.71,39.45,304800,39.45
2013-09-18,38.70,38.98,37.86,38.98,148000,38.98
2013-09-17,38.05,38.93,38.03,38.50,167900,38.50
2013-09-16,37.66,38.88,37.66,38.58,252200,38.58
2013-09-13,37.25,37.69,36.68,37.13,257700,37.13
2013-09-12,37.75,38.43,37.42,37.65,274900,37.65
2013-09-11,38.99,38.99,37.68,37.87,716900,37.87
2013-09-10,38.50,39.31,38.49,38.85,179300,38.85
2013-09-09,38.00,38.50,37.27,38.40,152600,38.40
2013-09-06,38.27,38.69,37.54,37.75,225200,37.75
2013-09-05,37.70,38.49,36.97,37.47,131700,37.47
2013-09-04,37.17,37.82,35.49,37.57,220100,37.57
2013-09-03,37.00,37.87,36.35,37.16,303100,37.16
2013-09-02,37.08,37.25,36.64,37.00,322600,37.00
2013-08-30,34.50,36.19,34.40,36.18,174000,36.18
2013-08-29,35.30,36.14,34.45,35.40,158700,35.40
2013-08-28,35.03,35.69,34.42,34.42,167700,34.42
2013-08-27,35.51,36.66,35.26,35.61,78900,35.61
2013-08-26,34.58,35.74,34.50,35.74,194100,35.74
2013-08-23,34.25,35.35,34.00,34.82,219400,34.56
2013-08-22,34.20,34.99,34.16,34.49,413000,34.24
2013-08-21,34.30,35.43,33.82,35.29,465200,35.03
2013-08-20,33.46,33.77,33.15,33.57,286200,33.32
2013-08-19,33.49,34.13,33.42,33.70,250300,33.45
2013-08-16,32.01,33.36,32.01,33.33,280400,33.09
2013-08-15,32.50,32.99,32.14,32.79,311100,32.55
2013-08-14,33.40,33.46,32.00,32.52,277700,32.28
2013-08-13,33.51,34.49,32.86,32.86,249300,32.62
2013-08-12,33.00,34.36,32.39,34.36,167800,34.11
2013-08-09,32.32,33.11,32.32,32.86,120800,32.62
2013-08-08,32.15,33.43,31.92,32.85,176200,32.61
2013-08-07,32.49,33.06,32.29,32.53,109700,32.29
2013-08-06,33.00,33.40,32.35,32.92,146800,32.68
