Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,2.32,2.32,2.32,2.32,1000,2.32
2013-09-26,2.65,2.65,2.49,2.49,500,2.49
2013-09-25,2.17,2.99,2.17,2.99,19900,2.99
2013-09-24,2.30,2.30,2.30,2.30,200,2.30
2013-09-23,2.31,2.32,2.14,2.14,2300,2.14
2013-09-20,2.18,2.18,2.18,2.18,000,2.18
2013-09-19,2.18,2.18,2.18,2.18,000,2.18
2013-09-18,2.18,2.18,2.18,2.18,100,2.18
2013-09-17,2.20,2.20,2.20,2.20,000,2.20
2013-09-16,2.19,2.19,2.19,2.19,300,2.19
2013-09-13,2.26,2.26,2.26,2.26,000,2.26
2013-09-12,2.34,2.34,2.34,2.34,100,2.34
2013-09-11,2.35,2.35,2.35,2.35,000,2.35
2013-09-10,2.35,2.35,2.35,2.35,000,2.35
2013-09-09,2.27,2.35,2.27,2.35,1000,2.35
2013-09-06,2.41,2.41,2.41,2.41,000,2.41
2013-09-05,2.26,2.26,2.26,2.26,000,2.26
2013-09-04,2.26,2.26,2.26,2.26,000,2.26
2013-09-03,2.26,2.26,2.26,2.26,000,2.26
2013-09-02,2.26,2.26,2.26,2.26,000,2.26
2013-08-30,2.17,2.26,2.17,2.26,1900,2.26
2013-08-29,2.50,2.55,2.50,2.55,3000,2.55
2013-08-28,2.35,2.61,2.35,2.61,400,2.61
2013-08-27,2.31,2.31,2.31,2.31,100,2.31
2013-08-26,2.16,2.16,2.16,2.16,000,2.16
2013-08-23,2.16,2.16,2.16,2.16,000,2.16
2013-08-22,2.16,2.17,2.16,2.16,100,2.16
2013-08-21,2.20,2.20,2.16,2.16,200,2.16
2013-08-20,2.20,2.20,2.20,2.20,000,2.20
2013-08-19,2.15,2.20,2.14,2.20,2100,2.20
2013-08-16,2.05,2.05,2.05,2.05,000,2.05
2013-08-15,2.05,2.05,2.05,2.05,000,2.05
2013-08-14,2.05,2.05,2.05,2.05,000,2.05
2013-08-13,2.05,2.05,2.05,2.05,000,2.05
2013-08-12,2.03,2.03,2.03,2.03,000,2.03
2013-08-09,2.03,2.03,2.03,2.03,000,2.03
2013-08-08,2.03,2.03,2.03,2.03,600,2.03
2013-08-07,2.05,2.05,2.05,2.05,000,2.05
2013-08-06,2.03,2.10,2.03,2.10,1000,2.10
2013-08-05,1.98,1.98,1.98,1.98,000,1.98
2013-08-02,1.98,1.98,1.98,1.98,100,1.98
2013-08-01,2.00,2.00,2.00,2.00,000,2.00
2013-07-31,2.00,2.00,2.00,2.00,1100,2.00
2013-07-30,2.05,2.05,2.05,2.05,000,2.05
2013-07-29,2.07,2.07,2.07,2.07,000,2.07
2013-07-26,2.07,2.07,2.07,2.07,300,2.07
2013-07-25,2.08,2.08,2.08,2.08,000,2.08
2013-07-24,2.08,2.08,2.08,2.08,000,2.08
2013-07-23,2.05,2.05,2.05,2.05,000,2.05
2013-07-22,2.05,2.05,2.05,2.05,000,2.05
2013-07-19,2.02,2.02,2.02,2.02,800,2.02
2013-07-18,2.21,2.21,2.21,2.21,000,2.21
2013-07-17,2.21,2.21,2.21,2.21,000,2.21
2013-07-16,2.21,2.21,2.21,2.21,000,2.21
2013-07-15,2.30,2.30,2.30,2.30,000,2.30
2013-07-12,2.30,2.30,2.30,2.30,000,2.30
2013-07-11,2.30,2.30,2.30,2.30,1200,2.30
2013-07-10,2.22,2.28,2.22,2.28,1600,2.28
2013-07-09,2.08,2.08,2.08,2.08,000,2.08
2013-07-08,2.00,2.08,2.00,2.08,5400,2.08
2013-07-05,2.00,2.00,2.00,2.00,800,2.00
2013-07-04,2.00,2.00,2.00,2.00,000,2.00
2013-07-03,2.00,2.00,2.00,2.00,000,2.00
2013-07-02,2.00,2.00,2.00,2.00,000,2.00
2013-07-01,2.00,2.00,2.00,2.00,000,2.00
2013-06-28,2.00,2.00,2.00,2.00,3300,2.00
2013-06-27,2.05,2.11,2.05,2.11,1100,2.11
2013-06-26,1.98,2.04,1.97,2.04,000,2.04
2013-06-25,2.15,2.15,2.15,2.15,000,2.15
2013-06-24,2.15,2.15,2.15,2.15,000,2.15
2013-06-21,2.15,2.15,2.15,2.15,000,2.15
2013-06-20,2.15,2.15,2.15,2.15,000,2.15
2013-06-19,2.10,2.15,2.00,2.15,400,2.15
2013-06-18,2.00,2.00,2.00,2.00,000,2.00
2013-06-17,1.99,2.00,1.99,2.00,1400,2.00
2013-06-14,2.08,2.16,2.02,2.16,3000,2.16
