Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,5.19,5.38,5.10,5.10,1400,5.10
2013-09-26,4.90,5.05,4.90,5.05,1400,5.05
2013-09-25,4.90,4.90,4.90,4.90,000,4.90
2013-09-24,4.90,4.90,4.90,4.90,000,4.90
2013-09-23,4.90,4.90,4.90,4.90,000,4.90
2013-09-20,4.90,4.90,4.90,4.90,000,4.90
2013-09-19,4.90,4.90,4.90,4.90,300,4.90
2013-09-18,4.80,4.80,4.80,4.80,000,4.80
2013-09-17,4.81,4.81,4.80,4.80,000,4.80
2013-09-16,4.80,4.80,4.80,4.80,101200,4.80
2013-09-13,4.75,4.75,4.75,4.75,1100,4.75
2013-09-12,4.65,4.65,4.64,4.64,000,4.64
2013-09-11,4.64,4.64,4.64,4.64,300,4.64
2013-09-10,4.60,4.60,4.60,4.60,000,4.60
2013-09-09,4.64,4.64,4.60,4.60,000,4.60
2013-09-06,4.64,4.64,4.64,4.64,000,4.64
2013-09-05,4.64,4.64,4.64,4.64,000,4.64
2013-09-04,4.64,4.64,4.64,4.64,000,4.64
2013-09-03,4.59,4.65,4.59,4.65,100,4.65
2013-09-02,4.58,4.58,4.58,4.58,000,4.58
2013-08-30,4.56,4.58,4.56,4.58,000,4.58
2013-08-29,4.55,4.55,4.55,4.55,300,4.55
2013-08-28,4.56,4.56,4.56,4.56,000,4.56
2013-08-27,4.56,4.56,4.56,4.56,000,4.56
2013-08-26,4.56,4.56,4.56,4.56,000,4.56
2013-08-23,4.56,4.56,4.56,4.56,000,4.56
2013-08-22,4.56,4.56,4.56,4.56,000,4.56
2013-08-21,4.56,4.56,4.56,4.56,000,4.56
2013-08-20,4.56,4.56,4.56,4.56,000,4.56
2013-08-19,4.56,4.56,4.56,4.56,000,4.56
2013-08-16,4.56,4.56,4.56,4.56,000,4.56
2013-08-15,4.56,4.56,4.56,4.56,000,4.56
2013-08-14,4.56,4.56,4.56,4.56,000,4.56
2013-08-13,4.56,4.56,4.55,4.55,300,4.55
2013-08-12,4.56,4.56,4.56,4.56,000,4.56
2013-08-09,4.56,4.56,4.56,4.56,000,4.56
2013-08-08,4.61,4.61,4.55,4.55,100,4.55
2013-08-07,4.61,4.61,4.61,4.61,000,4.61
2013-08-06,4.61,4.61,4.61,4.61,000,4.61
2013-08-05,4.61,4.61,4.61,4.61,000,4.61
2013-08-02,4.63,4.63,4.61,4.61,400,4.61
2013-08-01,4.62,4.62,4.62,4.62,000,4.62
2013-07-31,4.62,4.62,4.62,4.62,000,4.62
2013-07-30,4.62,4.62,4.62,4.62,000,4.62
2013-07-29,4.61,4.61,4.61,4.61,000,4.61
2013-07-26,4.61,4.61,4.61,4.61,000,4.61
2013-07-25,4.60,4.60,4.60,4.60,100,4.60
2013-07-24,4.61,4.61,4.60,4.60,200,4.60
2013-07-23,4.61,4.61,4.61,4.61,000,4.61
2013-07-22,4.61,4.61,4.61,4.61,000,4.61
2013-07-19,4.61,4.61,4.61,4.61,000,4.61
2013-07-18,4.61,4.61,4.61,4.61,000,4.61
2013-07-17,4.61,4.61,4.61,4.61,000,4.61
2013-07-16,4.61,4.61,4.61,4.61,300,4.61
2013-07-15,4.61,4.61,4.61,4.61,000,4.61
