date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,85.99,88.97,85.5,88.46,917400,88.46
20140113,0,89.95,90.58,85.5,86.78,1247400,86.78
20140110,0,88.91,90.7,88.3,89.21,813000,89.21
20140109,0,91.37,91.69,87.51,88.95,1595000,88.95
20140108,0,91.08,92.41,89.71,91.69,1018800,91.69
20140107,0,83.95,93.49,83.32,91.95,2203600,91.95
20140106,0,82.79,85.31,81.36,83.98,855200,83.98
20140103,0,82.15,83.22,80.75,82.33,841200,82.33
20140102,0,82.4,82.7,80.58,82.51,1104600,82.51
20131231,0,80.92,82.73,80.26,82.41,640000,82.41
20131230,0,81,83.03,80.35,81.18,527000,81.18
20131227,0,81.5,82.49,80.2,81.14,535000,81.14
20131226,0,82.65,84.44,80,81.58,802400,81.58
20131224,0,82.91,83.99,79.55,83.26,700000,83.26
20131223,0,77.96,82.33,77.67,80.65,878800,80.65
20131220,0,76.22,77.94,74.8,77.23,704000,77.23
20131219,0,76.84,76.84,73.48,76.01,663900,76.01
20131218,0,74.62,76.43,74.25,76.06,1104600,76.06
20131217,0,71.6,76.76,71.6,75.73,1267900,75.73
20131216,0,73.75,75.27,71.31,72.47,885100,72.47
20131213,0,72.07,74.35,72.05,73.28,993200,73.28
20131212,0,69.36,72.34,69,71.82,919900,71.82
20131211,0,72.03,73.5,68.18,69.02,915000,69.02
20131210,0,69.99,72.3,69.38,71.75,1088500,71.75
20131209,0,72.12,72.59,69.62,70.02,945900,70.02
20131206,0,72.91,74.5,70.26,71.64,984300,71.64
20131205,0,72.91,73.9,71.7,72.67,1860000,72.67
20131204,0,73.76,75.99,71.8,73.76,1961100,73.76
20131203,0,72.48,77.45,71,76.54,2246300,76.54
20131202,0,65.6,72.65,65.52,71.85,1797800,71.85
20131129,0,64.01,66.2,64.01,64.95,455900,64.95
20131127,0,65,66.9,64,65.5,974200,65.5
20131126,0,65.19,66.79,63.1,65.62,966400,65.62
20131125,0,67.99,67.99,64.71,65.44,692900,65.44
20131122,0,68,68.56,65.64,67.82,451200,67.82
20131121,0,65.28,67.98,65.28,67.76,590100,67.76
20131120,0,68.1,68.86,64.5,65.27,882300,65.27
20131119,0,67.01,68.89,64.49,67.43,1031000,67.43
20131118,0,68.5,71.62,65.48,66.53,1580700,66.53
20131115,0,65.25,67.63,64.2,67.05,1739000,67.05
20131114,0,67.5,68.42,62.07,63.7,3578900,63.7
20131113,0,61.66,67.81,61.55,67.43,1651900,67.43
20131112,0,60.89,63.44,60.14,62.46,929200,62.46
20131111,0,57.21,62.93,57.21,62.41,2258600,62.41
20131108,0,51.5,57.74,51.1,57.19,2118800,57.19
20131107,0,56.57,56.93,45.64,51.4,3046300,51.4
20131106,0,55.57,57.38,52.9,53.59,1574000,53.59
