Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,76.23,78.58,75.11,75.79,1621200,75.79
2013-09-26,74.95,77.30,74.30,76.14,1771800,76.14
2013-09-25,72.62,74.65,72.30,73.83,1440400,73.83
2013-09-24,72.19,73.42,71.50,72.15,1017300,72.15
2013-09-23,72.83,74.27,70.75,72.18,1610600,72.18
2013-09-20,75.83,75.90,71.51,72.06,3256200,72.06
2013-09-19,75.99,76.75,74.31,76.54,1767500,76.54
2013-09-18,68.30,76.25,68.30,76.13,5301600,76.13
2013-09-17,71.32,72.00,67.25,67.76,5472300,67.76
2013-09-16,69.02,69.71,66.95,69.61,4923100,69.61
2013-09-13,66.79,67.34,63.92,64.75,2194100,64.75
2013-09-12,66.31,67.50,66.20,67.35,1514200,67.35
2013-09-11,65.00,66.87,65.00,66.14,725200,66.14
2013-09-10,64.57,65.59,64.10,65.41,858100,65.41
2013-09-09,66.94,67.80,63.74,64.55,1482200,64.55
2013-09-06,66.00,66.98,65.05,66.37,531200,66.37
2013-09-05,66.89,67.73,65.61,65.96,1005800,65.96
2013-09-04,63.90,66.63,63.30,66.34,1311600,66.34
2013-09-03,63.00,63.93,62.56,63.40,822700,63.40
2013-08-30,63.49,63.49,61.33,62.27,860300,62.27
2013-08-29,63.90,64.54,63.25,63.44,1065300,63.44
2013-08-28,61.00,64.21,61.00,63.40,1590700,63.40
2013-08-27,61.00,61.28,59.95,60.61,508400,60.61
2013-08-26,62.00,62.30,60.42,61.33,690400,61.33
2013-08-23,62.09,62.51,61.96,62.30,518100,62.30
2013-08-22,61.38,62.75,61.38,62.20,636600,62.20
2013-08-21,59.98,61.80,59.98,61.04,675700,61.04
2013-08-20,60.50,60.99,59.52,60.02,603300,60.02
2013-08-19,61.29,61.54,60.27,60.90,587900,60.90
2013-08-16,60.34,62.00,60.00,61.06,718500,61.06
2013-08-15,61.99,62.39,59.81,60.09,1890300,60.09
2013-08-14,61.23,62.81,60.84,61.60,887500,61.60
2013-08-13,64.68,65.50,60.50,61.32,1927400,61.32
2013-08-12,62.25,64.76,62.20,64.54,1084600,64.54
2013-08-09,62.00,62.99,61.55,61.97,857900,61.97
2013-08-08,60.20,62.18,60.20,61.45,846200,61.45
2013-08-07,61.06,61.65,59.64,59.94,974500,59.94
2013-08-06,63.15,63.66,60.82,61.55,1272500,61.55
2013-08-05,62.41,63.79,62.01,63.06,1154700,63.06
2013-08-02,64.53,64.68,61.78,62.64,938600,62.64
2013-08-01,63.50,65.27,63.40,64.17,1206800,64.17
2013-07-31,62.88,63.22,62.20,62.47,656000,62.47
2013-07-30,63.72,63.90,62.17,62.86,978700,62.86
2013-07-29,66.50,66.95,62.29,63.05,3571400,63.05
2013-07-26,67.56,70.63,67.56,70.00,1494500,70.00
2013-07-25,68.90,69.30,67.16,68.31,1139900,68.31
2013-07-24,67.50,67.89,65.56,67.32,1140600,67.32
2013-07-23,67.69,68.20,66.92,67.49,859700,67.49
2013-07-22,69.00,69.40,66.84,67.69,954800,67.69
2013-07-19,69.02,69.19,67.60,68.73,1291800,68.73
2013-07-18,66.52,69.66,66.52,68.10,1781900,68.10
2013-07-17,65.40,66.65,64.65,66.41,778900,66.41
2013-07-16,66.33,67.10,64.63,64.88,983400,64.88
2013-07-15,65.62,66.89,65.32,66.13,636900,66.13
2013-07-12,65.66,65.71,64.00,65.18,937600,65.18
2013-07-11,66.49,66.49,65.37,65.67,616000,65.67
2013-07-10,66.00,66.53,64.65,65.16,577300,65.16
2013-07-09,66.99,68.31,65.58,65.79,905400,65.79
2013-07-08,64.18,67.99,64.00,66.40,1652500,66.40
2013-07-05,62.09,64.22,61.37,64.13,911200,64.13
2013-07-03,61.11,62.16,60.63,61.79,424900,61.79
2013-07-02,62.20,62.45,60.43,61.30,786800,61.30
2013-07-01,63.97,63.99,61.88,62.20,967500,62.20
2013-06-28,61.54,61.99,60.13,61.62,498400,61.62
2013-06-27,61.14,62.39,60.88,61.49,662100,61.49
2013-06-26,60.00,60.78,59.31,59.94,691600,59.94
2013-06-25,59.06,59.95,58.02,59.02,1103600,59.02
2013-06-24,61.88,61.88,58.25,58.90,1233400,58.90
2013-06-21,64.41,64.41,62.28,62.68,979400,62.68
2013-06-20,65.95,65.95,63.37,64.36,1074200,64.36
2013-06-19,65.94,67.71,65.60,66.49,681200,66.49
2013-06-18,65.84,67.76,65.84,66.26,632000,66.26
2013-06-17,65.13,66.81,64.90,66.31,739400,66.31
2013-06-14,63.89,65.58,63.89,64.88,927300,64.88
2013-06-13,63.64,64.06,62.69,63.81,459500,63.81
2013-06-12,64.70,65.36,63.65,64.10,366200,64.10
2013-06-11,65.25,66.27,64.36,64.58,516200,64.58
2013-06-10,66.05,66.68,64.70,66.37,513300,66.37
2013-06-07,63.47,66.38,63.47,66.00,1163100,66.00
2013-06-06,61.87,63.83,61.81,63.43,575200,63.43
2013-06-05,61.94,63.00,61.03,61.76,979500,61.76
2013-06-04,63.25,63.37,61.00,61.59,1137400,61.59
2013-06-03,64.58,64.89,62.80,63.53,592600,63.53
2013-05-31,63.90,66.15,63.81,64.18,635000,64.18
2013-05-30,64.00,64.85,63.76,64.09,382800,64.09
2013-05-29,64.49,64.55,63.50,63.92,443100,63.92
2013-05-28,64.62,66.18,64.22,64.30,767800,64.30
2013-05-24,63.91,64.38,63.20,64.12,400800,64.12
2013-05-23,62.50,64.18,61.40,63.81,677100,63.81
2013-05-22,67.60,67.61,64.20,64.46,690100,64.46
2013-05-21,67.17,68.58,65.01,67.20,1101100,67.20
2013-05-20,63.27,67.75,62.91,67.57,1776400,67.57
2013-05-17,62.59,64.75,62.48,63.00,1725500,63.00
2013-05-16,62.59,63.23,61.07,61.25,1422900,61.25
2013-05-15,63.37,65.13,61.67,62.16,1385100,62.16
2013-05-14,63.20,66.14,62.55,65.70,1467900,65.70
2013-05-13,60.45,64.27,60.24,63.20,1819700,63.20
2013-05-10,57.25,61.48,57.02,60.70,1321100,60.70
2013-05-09,57.50,57.98,56.05,57.04,1106700,57.04
2013-05-08,53.80,57.89,53.78,57.67,1358600,57.67
2013-05-07,53.75,54.10,53.18,53.81,670100,53.81
2013-05-06,52.19,54.54,52.07,53.72,988300,53.72
2013-05-03,51.60,52.21,51.05,52.04,569900,52.04
2013-05-02,50.46,51.87,50.42,51.43,647700,51.43
2013-05-01,50.98,51.44,50.16,50.99,363000,50.99
2013-04-30,50.80,51.49,50.24,51.44,686800,51.44
2013-04-29,52.36,52.69,49.74,50.66,1401900,50.66
2013-04-26,50.40,50.94,49.15,50.77,902000,50.77
2013-04-25,49.51,50.80,49.30,50.30,952900,50.30
2013-04-24,49.00,49.99,48.05,49.10,832400,49.10
2013-04-23,48.65,49.00,48.31,48.92,546200,48.92
2013-04-22,48.34,48.98,46.85,48.76,437900,48.76
2013-04-19,48.97,49.37,47.90,47.98,192200,47.98
2013-04-18,47.21,49.00,47.18,48.60,641200,48.60
2013-04-17,47.30,47.98,46.24,46.98,397500,46.98
2013-04-16,47.00,47.66,46.42,47.51,223500,47.51
2013-04-15,47.41,47.89,46.39,46.42,549900,46.42
2013-04-12,47.07,48.36,47.01,48.04,335100,48.04
2013-04-11,47.51,48.13,47.09,47.13,363400,47.13
2013-04-10,47.07,48.34,46.90,47.65,469400,47.65
2013-04-09,46.61,46.85,45.85,46.74,371600,46.74
2013-04-08,46.85,47.15,45.92,46.44,287300,46.44
2013-04-05,46.60,47.28,45.85,47.04,423200,47.04
2013-04-04,47.83,48.23,47.47,47.93,197300,47.93
2013-04-03,48.59,48.59,47.64,48.04,239900,48.04
2013-04-02,48.50,48.80,47.69,48.18,349400,48.18
2013-04-01,49.48,49.49,47.93,48.12,370800,48.12
2013-03-28,48.80,50.25,48.68,49.61,368300,49.61
2013-03-27,49.04,49.30,48.36,48.83,325200,48.83
2013-03-26,49.23,49.60,48.68,49.22,496800,49.22
2013-03-25,48.79,49.23,48.19,49.15,794100,49.15
2013-03-22,48.71,49.07,48.42,48.42,355000,48.42
2013-03-21,48.26,49.00,48.05,48.64,674900,48.64
2013-03-20,47.50,48.79,47.36,48.24,688200,48.24
2013-03-19,46.62,47.80,46.52,47.06,639200,47.06
2013-03-18,45.04,47.12,44.47,46.61,726600,46.61
2013-03-15,45.02,45.83,45.02,45.76,550600,45.76
2013-03-14,45.42,45.79,45.07,45.25,487900,45.25
2013-03-13,45.01,45.45,44.78,45.41,503000,45.41
2013-03-12,45.40,45.47,44.75,45.10,360800,45.10
2013-03-11,44.56,45.75,44.54,45.54,495900,45.54
2013-03-08,44.63,45.15,44.63,44.86,672300,44.86
2013-03-07,43.93,44.94,43.72,44.46,769800,44.46
2013-03-06,44.73,45.94,43.24,43.44,2060400,43.44
2013-03-05,44.07,49.68,39.79,48.84,3913800,48.84
2013-03-04,43.46,44.21,43.23,43.64,405800,43.64
2013-03-01,44.04,44.79,43.49,43.76,723600,43.76
2013-02-28,45.43,45.65,44.44,44.64,362600,44.64
2013-02-27,45.28,45.64,44.96,45.31,277500,45.31
2013-02-26,45.01,46.22,45.01,45.25,374100,45.25
2013-02-25,46.30,46.32,45.27,45.28,404200,45.28
2013-02-22,46.50,46.89,45.18,45.93,568100,45.93
2013-02-21,47.01,47.41,46.00,46.34,549600,46.34
2013-02-20,47.59,48.80,46.92,47.01,646800,47.01
2013-02-19,47.00,47.60,46.95,47.10,493000,47.10
2013-02-15,47.08,47.49,46.61,46.81,402000,46.81
2013-02-14,45.95,47.44,45.95,47.06,430300,47.06
2013-02-13,45.70,46.09,45.61,45.92,359400,45.92
2013-02-12,45.88,46.10,45.65,45.79,233800,45.79
2013-02-11,45.97,46.32,45.62,45.89,341200,45.89
2013-02-08,45.95,46.33,45.54,45.93,356600,45.93
2013-02-07,46.70,46.95,45.65,45.86,486400,45.86
2013-02-06,45.38,46.88,45.19,46.69,555600,46.69
2013-02-05,45.44,46.16,45.01,45.80,664400,45.80
2013-02-04,49.01,49.39,45.80,46.49,1445300,46.49
2013-02-01,48.35,49.50,47.29,49.22,714100,49.22
2013-01-31,47.92,48.20,47.51,47.88,307700,47.88
2013-01-30,48.50,48.77,47.84,48.03,378600,48.03
2013-01-29,49.63,49.63,48.33,48.47,367300,48.47
2013-01-28,49.50,49.75,48.70,49.42,471400,49.42
2013-01-25,50.57,50.68,49.20,49.29,748200,49.29
2013-01-24,49.64,50.68,49.56,50.26,577700,50.26
2013-01-23,49.28,50.40,49.10,49.82,586700,49.82
2013-01-22,48.00,49.11,47.98,49.11,437000,49.11
2013-01-18,48.19,48.40,47.64,48.28,488800,48.28
2013-01-17,49.07,49.07,47.75,47.78,555700,47.78
2013-01-16,48.80,49.25,48.75,48.80,434400,48.80
2013-01-15,48.70,49.49,48.59,48.88,383000,48.88
2013-01-14,48.30,49.20,48.30,48.85,527300,48.85
2013-01-11,47.75,48.83,47.11,48.22,695900,48.22
