Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,2.59,2.60,2.54,2.60,129100,2.60
2013-09-26,2.61,2.65,2.53,2.62,195700,2.62
2013-09-25,2.64,2.67,2.62,2.62,108100,2.62
2013-09-24,2.64,2.71,2.61,2.67,81800,2.67
2013-09-23,2.68,2.72,2.59,2.65,106200,2.65
2013-09-20,2.72,2.76,2.68,2.69,82700,2.69
2013-09-19,2.72,2.73,2.68,2.73,93200,2.73
2013-09-18,2.68,2.75,2.68,2.73,101000,2.73
2013-09-17,2.70,2.75,2.68,2.68,88100,2.68
2013-09-16,2.73,2.76,2.68,2.69,69100,2.69
2013-09-13,2.76,2.76,2.68,2.70,114800,2.70
2013-09-12,2.73,2.77,2.70,2.73,69300,2.73
2013-09-11,2.75,2.76,2.66,2.74,165800,2.74
2013-09-10,2.82,2.82,2.72,2.74,129200,2.74
2013-09-09,2.72,2.84,2.72,2.82,243500,2.82
2013-09-06,2.65,2.73,2.64,2.72,201100,2.72
2013-09-05,2.67,2.76,2.65,2.67,112900,2.67
2013-09-04,2.64,2.80,2.60,2.64,110100,2.64
2013-09-03,2.62,2.67,2.60,2.60,98600,2.60
2013-08-30,2.68,2.76,2.62,2.62,83800,2.62
2013-08-29,2.63,2.76,2.63,2.70,105800,2.70
2013-08-28,2.64,2.68,2.61,2.66,189500,2.66
2013-08-27,2.68,2.75,2.65,2.65,119700,2.65
2013-08-26,2.70,2.70,2.66,2.70,224500,2.70
2013-08-23,2.82,2.82,2.68,2.72,206200,2.72
2013-08-22,2.70,2.85,2.70,2.82,150200,2.82
2013-08-21,2.65,2.73,2.61,2.70,234700,2.70
2013-08-20,2.69,2.70,2.61,2.65,179900,2.65
2013-08-19,2.71,2.73,2.70,2.70,86200,2.70
2013-08-16,2.75,2.75,2.70,2.71,116800,2.71
2013-08-15,2.76,2.79,2.70,2.75,170400,2.75
2013-08-14,2.85,2.89,2.77,2.82,247400,2.82
2013-08-13,2.87,2.93,2.82,2.86,135400,2.86
2013-08-12,2.94,2.94,2.80,2.89,329700,2.89
2013-08-09,2.90,2.96,2.84,2.93,261300,2.93
2013-08-08,2.88,2.92,2.84,2.89,267800,2.89
2013-08-07,2.91,2.97,2.80,2.88,690700,2.88
2013-08-06,3.38,3.39,3.28,3.30,236100,3.30
2013-08-05,3.35,3.59,3.27,3.38,430500,3.38
2013-08-02,3.41,3.46,3.31,3.37,134500,3.37
2013-08-01,3.35,3.50,3.31,3.40,199200,3.40
2013-07-31,3.29,3.41,3.24,3.32,310000,3.32
2013-07-30,3.29,3.43,3.17,3.26,95500,3.26
2013-07-29,3.19,3.28,3.16,3.26,104400,3.26
2013-07-26,3.29,3.33,3.15,3.25,212400,3.25
2013-07-25,3.47,3.48,3.28,3.34,272100,3.34
2013-07-24,3.22,3.56,3.18,3.40,959300,3.40
2013-07-23,3.02,3.17,2.98,3.17,218900,3.17
2013-07-22,2.99,3.00,2.96,3.00,132600,3.00
2013-07-19,2.99,3.00,2.97,2.99,124900,2.99
2013-07-18,2.97,3.02,2.97,3.02,118000,3.02
2013-07-17,3.05,3.05,2.97,3.03,139200,3.03
2013-07-16,3.09,3.10,3.05,3.05,47200,3.05
2013-07-15,3.12,3.12,3.03,3.06,80400,3.06
2013-07-12,3.16,3.22,3.09,3.09,49600,3.09
2013-07-11,3.09,3.23,3.05,3.20,181100,3.20
2013-07-10,3.07,3.08,3.04,3.08,55800,3.08
2013-07-09,3.15,3.15,3.05,3.09,35300,3.09
2013-07-08,3.19,3.23,3.12,3.15,51200,3.15
2013-07-05,3.29,3.29,3.16,3.21,76200,3.21
2013-07-03,3.21,3.30,3.20,3.27,32700,3.27
2013-07-02,3.25,3.35,3.21,3.24,150600,3.24
2013-07-01,3.09,3.33,3.09,3.28,238100,3.28
2013-06-28,3.04,3.15,3.03,3.10,1003600,3.10
2013-06-27,3.04,3.18,2.94,3.08,152100,3.08
2013-06-26,3.02,3.13,3.00,3.03,149200,3.03
2013-06-25,2.93,3.09,2.89,3.00,102500,3.00
2013-06-24,3.00,3.04,2.85,2.89,275300,2.89
2013-06-21,3.05,3.10,2.95,3.09,251500,3.09
2013-06-20,3.02,3.14,3.00,3.03,276700,3.03
2013-06-19,3.18,3.19,3.10,3.10,81700,3.10
