Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,2.47,2.47,2.45,2.45,600,2.45
2013-09-26,2.59,2.59,2.43,2.43,4000,2.43
2013-09-25,2.50,2.54,2.44,2.44,1900,2.44
2013-09-24,2.43,2.50,2.43,2.50,2800,2.50
2013-09-23,2.40,2.40,2.40,2.40,000,2.40
2013-09-20,2.40,2.42,2.40,2.40,2000,2.40
2013-09-19,2.35,2.35,2.35,2.35,000,2.35
2013-09-18,2.35,2.35,2.35,2.35,1500,2.35
2013-09-17,2.35,2.35,2.35,2.35,000,2.35
2013-09-16,2.35,2.35,2.35,2.35,000,2.35
2013-09-13,2.35,2.35,2.31,2.35,6600,2.35
2013-09-12,2.32,2.38,2.26,2.38,1100,2.38
2013-09-11,2.50,2.50,2.35,2.35,800,2.35
2013-09-10,2.41,2.41,2.41,2.41,000,2.41
2013-09-09,2.40,2.41,2.40,2.41,4500,2.41
2013-09-06,2.35,2.35,2.35,2.35,500,2.35
2013-09-05,2.26,2.30,2.26,2.30,5000,2.30
2013-09-04,2.15,2.29,2.15,2.21,38700,2.21
2013-09-03,2.28,2.36,2.28,2.30,1900,2.30
2013-08-30,2.46,2.50,2.46,2.49,6700,2.49
2013-08-29,2.50,2.51,2.49,2.50,10700,2.50
2013-08-28,2.52,2.52,2.50,2.51,11000,2.51
2013-08-27,2.45,2.55,2.45,2.50,39700,2.50
2013-08-26,2.31,2.53,2.28,2.46,27800,2.46
2013-08-23,2.35,2.36,2.35,2.35,11200,2.35
2013-08-22,2.38,2.38,2.30,2.35,2200,2.35
2013-08-21,2.28,2.29,2.18,2.18,6000,2.18
2013-08-20,2.21,2.35,2.21,2.32,11000,2.32
2013-08-19,2.18,2.26,2.18,2.25,500,2.25
2013-08-16,2.19,2.27,2.18,2.18,1200,2.18
2013-08-15,2.15,2.15,2.13,2.13,2400,2.13
2013-08-14,2.17,2.17,2.08,2.14,5200,2.14
2013-08-13,2.06,2.16,2.06,2.16,27400,2.16
2013-08-12,2.22,2.22,2.22,2.22,000,2.22
2013-08-09,2.10,2.25,2.10,2.22,7900,2.22
2013-08-08,2.09,2.12,2.08,2.12,2000,2.12
2013-08-07,1.99,1.99,1.99,1.99,000,1.99
2013-08-06,1.99,1.99,1.99,1.99,800,1.99
2013-08-02,1.94,1.94,1.94,1.94,500,1.94
2013-08-01,1.92,1.92,1.92,1.92,1600,1.92
2013-07-31,1.93,1.98,1.93,1.94,1400,1.94
2013-07-30,1.83,1.83,1.83,1.83,000,1.83
2013-07-29,1.83,1.83,1.83,1.83,1500,1.83
2013-07-26,1.88,1.88,1.88,1.88,000,1.88
2013-07-25,1.88,1.88,1.88,1.88,000,1.88
2013-07-24,1.91,1.91,1.88,1.88,6000,1.88
2013-07-23,1.93,1.93,1.93,1.93,100,1.93
2013-07-22,1.89,1.93,1.89,1.93,800,1.93
2013-07-19,1.98,1.98,1.98,1.98,000,1.98
2013-07-18,1.98,1.99,1.98,1.98,6100,1.98
