Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,2.41,2.42,2.35,2.35,155500,2.35
2013-09-26,2.44,2.45,2.38,2.42,390900,2.42
2013-09-25,2.44,2.47,2.37,2.45,422300,2.45
2013-09-24,2.35,2.44,2.29,2.44,200200,2.44
2013-09-23,2.34,2.35,2.32,2.33,70100,2.33
2013-09-20,2.35,2.35,2.29,2.34,22200,2.34
2013-09-19,2.29,2.38,2.29,2.34,27500,2.34
2013-09-18,2.25,2.30,2.21,2.30,61200,2.30
2013-09-17,2.18,2.26,2.18,2.25,89100,2.25
2013-09-16,2.28,2.30,2.22,2.23,22600,2.23
2013-09-13,2.19,2.30,2.19,2.23,19600,2.23
2013-09-12,2.24,2.28,2.17,2.20,31900,2.20
2013-09-11,2.40,2.40,2.23,2.23,56100,2.23
2013-09-10,2.37,2.38,2.28,2.28,26100,2.28
2013-09-09,2.30,2.36,2.25,2.34,122300,2.34
2013-09-06,2.19,2.29,2.16,2.23,81700,2.23
2013-09-05,2.11,2.21,2.00,2.19,40600,2.19
2013-09-04,2.16,2.25,2.06,2.15,189300,2.15
2013-09-03,2.35,2.40,2.14,2.21,133500,2.21
2013-08-30,2.40,2.40,2.33,2.35,76500,2.35
2013-08-29,2.37,2.40,2.33,2.39,87000,2.39
2013-08-28,2.39,2.48,2.32,2.36,139800,2.36
2013-08-27,2.32,2.48,2.26,2.41,419300,2.41
2013-08-26,2.26,2.40,2.21,2.30,444500,2.30
2013-08-23,2.28,2.28,2.20,2.24,89000,2.24
2013-08-22,2.20,2.28,2.10,2.23,155600,2.23
2013-08-21,2.13,2.20,2.08,2.20,242300,2.20
2013-08-20,2.14,2.31,2.10,2.15,427700,2.15
2013-08-19,2.07,2.20,2.06,2.16,263100,2.16
2013-08-16,2.05,2.21,2.05,2.06,412100,2.06
2013-08-15,2.09,2.11,2.04,2.05,155300,2.05
2013-08-14,2.06,2.10,2.05,2.09,41800,2.09
2013-08-13,2.04,2.10,1.94,2.04,220100,2.04
2013-08-12,2.10,2.18,2.05,2.06,154800,2.06
2013-08-09,2.07,2.20,2.05,2.13,388300,2.13
2013-08-08,1.95,2.06,1.95,2.03,183200,2.03
2013-08-07,1.95,2.05,1.89,1.95,185400,1.95
2013-08-06,1.90,1.95,1.88,1.94,206600,1.94
2013-08-05,1.87,1.89,1.83,1.89,73800,1.89
2013-08-02,1.82,1.89,1.82,1.82,129700,1.82
2013-08-01,1.90,1.90,1.83,1.86,37000,1.86
2013-07-31,1.87,1.90,1.79,1.90,46800,1.90
