Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,3.79,3.81,3.79,3.81,300,3.81
2013-09-26,3.80,3.80,3.79,3.79,5500,3.79
2013-09-25,3.80,3.83,3.80,3.80,53800,3.80
2013-09-24,3.81,3.81,3.80,3.81,2200,3.81
2013-09-23,3.80,3.80,3.80,3.80,500,3.80
2013-09-20,3.82,3.89,3.80,3.80,12300,3.80
2013-09-19,3.80,3.84,3.80,3.81,6100,3.81
2013-09-18,3.89,3.89,3.77,3.80,48400,3.80
2013-09-17,3.80,3.90,3.79,3.80,46300,3.80
2013-09-16,3.85,3.85,3.80,3.80,63900,3.80
2013-09-13,3.90,3.90,3.90,3.90,000,3.90
2013-09-12,3.93,3.93,3.85,3.90,5400,3.90
2013-09-11,3.88,3.94,3.82,3.93,8800,3.93
2013-09-10,3.90,3.90,3.80,3.90,13100,3.90
2013-09-09,3.88,3.95,3.88,3.89,7500,3.89
2013-09-06,3.80,3.85,3.79,3.85,13600,3.85
2013-09-05,3.85,3.85,3.79,3.80,10100,3.80
2013-09-04,3.78,3.84,3.78,3.84,7800,3.84
2013-09-03,3.85,3.91,3.79,3.88,16600,3.88
2013-09-02,3.94,3.94,3.91,3.91,2900,3.91
2013-08-30,3.96,4.00,3.87,3.87,1600,3.87
2013-08-29,3.95,4.00,3.90,4.00,16800,4.00
2013-08-28,3.95,3.95,3.90,3.90,7300,3.90
2013-08-27,4.14,4.14,3.93,3.95,12400,3.95
2013-08-26,4.05,4.16,4.00,4.15,4300,4.15
2013-08-23,4.00,4.19,3.91,4.10,68600,4.10
2013-08-22,3.94,4.00,3.94,3.99,29800,3.99
2013-08-21,3.94,3.97,3.90,3.97,24600,3.97
2013-08-20,3.90,3.93,3.90,3.91,12100,3.91
2013-08-19,3.92,3.92,3.90,3.91,6100,3.91
2013-08-16,3.96,3.97,3.88,3.88,4700,3.88
2013-08-15,3.94,3.99,3.85,3.97,17600,3.97
2013-08-14,4.00,4.04,3.90,3.90,62100,3.90
2013-08-13,3.94,4.05,3.92,4.03,159200,4.03
2013-08-12,4.00,4.07,3.92,3.93,100000,3.93
2013-08-09,3.93,4.03,3.90,4.03,115100,4.03
2013-08-08,3.85,3.93,3.85,3.90,75700,3.90
2013-08-07,3.84,3.84,3.84,3.84,3900,3.84
2013-08-06,3.85,3.85,3.85,3.85,12000,3.85
2013-08-05,3.93,3.93,3.90,3.90,7100,3.90
2013-08-02,3.92,3.92,3.84,3.92,2600,3.92
2013-08-01,3.90,3.95,3.87,3.93,61500,3.93
2013-07-31,3.81,3.81,3.81,3.81,500,3.81
2013-07-30,3.83,3.90,3.82,3.90,3500,3.90
2013-07-29,3.82,3.85,3.82,3.85,12900,3.85
2013-07-26,3.82,3.82,3.75,3.82,6400,3.82
2013-07-25,3.90,3.90,3.85,3.85,40300,3.85
2013-07-24,3.85,3.92,3.85,3.92,2100,3.92
2013-07-23,3.86,3.90,3.75,3.81,40800,3.81
2013-07-22,3.85,3.99,3.85,3.86,9100,3.86
2013-07-19,3.86,3.90,3.85,3.86,3700,3.86
2013-07-18,3.86,3.92,3.85,3.87,5300,3.87
2013-07-17,3.90,3.90,3.85,3.90,16300,3.90
2013-07-16,3.89,3.92,3.86,3.92,3700,3.92
2013-07-15,3.87,3.99,3.87,3.95,11400,3.95
2013-07-12,3.98,4.00,3.80,3.95,53300,3.95
2013-07-11,3.97,3.97,3.87,3.96,4100,3.96
2013-07-10,3.83,3.94,3.83,3.94,3800,3.94
2013-07-09,3.98,4.02,3.89,3.92,20300,3.92
2013-07-08,3.87,3.95,3.87,3.95,13500,3.95
2013-07-05,3.86,3.87,3.80,3.80,6500,3.80
2013-07-04,3.80,3.82,3.70,3.82,99200,3.82
2013-07-03,3.78,3.82,3.76,3.82,100,3.82
2013-07-02,3.84,3.91,3.79,3.84,8900,3.84
2013-07-01,3.93,3.93,3.83,3.93,2400,3.93
2013-06-28,3.79,3.90,3.78,3.89,11900,3.89
2013-06-27,3.79,3.88,3.78,3.88,500,3.88
2013-06-26,3.85,3.85,3.85,3.85,400,3.85
2013-06-25,3.75,3.96,3.61,3.87,48800,3.87
2013-06-24,3.94,3.94,3.75,3.84,8300,3.84
2013-06-21,3.88,3.90,3.70,3.87,7400,3.87
2013-06-20,4.00,4.01,3.89,3.90,16900,3.90
2013-06-19,4.03,4.04,4.00,4.00,19100,4.00
2013-06-18,4.03,4.03,3.95,4.01,10900,4.01
2013-06-17,3.99,4.04,3.99,4.03,5600,4.03
2013-06-14,4.10,4.15,4.03,4.10,5000,4.10
2013-06-13,3.90,3.98,3.90,3.97,2100,3.97
2013-06-12,4.00,4.04,4.00,4.01,6000,4.01
2013-06-11,4.05,4.10,4.00,4.04,26700,4.04
2013-06-10,4.11,4.12,4.05,4.05,9000,4.05
2013-06-07,4.15,4.15,4.10,4.10,2800,4.10
2013-06-06,4.14,4.14,4.05,4.10,11400,4.10
2013-06-05,4.05,4.10,4.05,4.10,400,4.10
2013-06-04,4.10,4.15,4.10,4.10,10600,4.10
2013-06-03,4.12,4.12,4.08,4.10,400,4.10
2013-05-31,4.10,4.12,4.10,4.12,8200,4.12
2013-05-30,4.10,4.10,4.10,4.10,1500,4.10
2013-05-29,4.10,4.10,4.10,4.10,1300,4.10
2013-05-28,4.14,4.14,4.14,4.14,000,4.14
2013-05-27,4.10,4.15,4.09,4.09,2200,4.09
2013-05-24,4.05,4.15,4.05,4.15,1800,4.15
2013-05-23,4.10,4.10,4.06,4.10,8000,4.10
2013-05-22,4.09,4.18,4.06,4.10,3500,4.10
2013-05-21,4.18,4.18,4.10,4.10,13900,4.10
2013-05-20,4.10,4.17,4.09,4.10,3400,4.10
2013-05-17,4.19,4.20,4.10,4.10,2100,4.10
2013-05-16,4.12,4.13,4.11,4.13,1100,4.13
2013-05-15,4.14,4.19,4.14,4.19,600,4.19
2013-05-14,4.20,4.21,4.16,4.20,8400,4.20
2013-05-13,4.20,4.20,4.18,4.20,3800,4.20
2013-05-10,4.17,4.20,3.96,4.20,20900,4.20
