date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,22.36,22.79,22.36,22.77,659700,22.77
20140113,0,23.15,23.39,22.43,22.43,787300,22.43
20140110,0,22.88,23.3,22.76,23.3,862900,23.3
20140109,0,22.93,23.1,22.79,22.84,711400,22.84
20140108,0,22.81,23.12,22.65,22.8,526300,22.8
20140107,0,22.81,23.1,22.69,22.89,864100,22.89
20140106,0,22.91,22.96,22.66,22.7,706200,22.7
20140103,0,23.12,23.32,22.74,22.82,841300,22.82
20140102,0,23.33,23.35,23.02,23.1,882100,23.1
20131231,0,23.27,23.49,23.1,23.37,596000,23.37
20131230,0,23.25,23.44,23.16,23.27,397200,23.27
20131227,0,23.42,23.52,23.28,23.29,345400,23.29
20131226,0,23.67,23.8,23.28,23.38,406600,23.38
20131224,0,23.58,23.77,23.4,23.63,233400,23.63
20131223,0,23.35,23.62,23.14,23.61,542300,23.61
20131220,0,23.13,23.42,23.01,23.26,3217400,23.26
20131219,0,22.84,22.99,22.56,22.83,911700,22.83
20131218,0,22.27,22.5,22,22.23,965100,22.23
20131217,0,22.4,22.44,21.94,22.17,1163600,22.17
20131216,0,21.31,22.38,21.27,22.34,1061300,22.34
20131213,0,21.21,21.31,21.01,21.17,684800,21.17
20131212,0,21.12,21.43,21.12,21.18,852400,21.18
20131211,0,21.48,21.54,21.07,21.17,686300,21.17
20131210,0,21.1,21.6,21.06,21.46,688200,21.46
20131209,0,21,21.46,21,21.14,692000,21.14
20131206,0,21.27,21.46,20.99,21.01,697700,21.01
20131205,0,21.19,21.19,20.94,21.13,749900,21.13
20131204,0,20.91,21.26,20.88,21.18,920700,21.18
20131203,0,21.82,21.93,20.99,21,1219200,21
20131202,0,21.44,22.12,21.44,21.92,1561100,21.92
20131129,0,21.44,21.52,21.31,21.4,342200,21.4
20131127,0,21.07,21.45,21.05,21.4,669000,21.4
20131126,0,20.97,21.25,20.86,20.99,833100,20.99
20131125,0,20.93,21.1,20.8,21.03,1087700,21.03
20131122,0,21.2,21.27,20.95,20.96,2057300,20.96
20131121,0,21.12,21.3,20.92,21.21,893800,21.21
20131120,0,21.37,21.47,20.95,21.02,909000,21.02
20131119,0,21.41,21.87,21.29,21.38,924200,21.38
20131118,0,21.48,21.7,21.32,21.36,1251700,21.36
20131115,0,21.29,21.47,21,21.46,832900,21.46
20131114,0,21.07,21.26,21,21.2,728500,21.2
20131113,0,21.03,21.2,20.95,21.15,1198100,21.15
20131112,0,21.6,21.82,21.02,21.07,1486700,21.07
20131111,0,21.86,22.25,21.47,21.65,1574800,21.65
20131108,0,20.53,21.9,20.5,21.86,3819500,21.86
20131107,0,19.92,21.16,19.51,20.53,3112500,20.53
20131106,0,19,20.01,18.62,19.85,4584800,19.85
20131105,0,19.85,20.16,19.7,19.94,2838500,19.94
20131104,0,20,20.09,19.58,19.89,2299300,19.89
20131101,0,19.33,19.83,19.22,19.75,2515400,19.75
20131031,0,19.43,19.61,19.01,19.2,1339200,19.2
20131030,0,19.55,19.55,19.27,19.4,1115600,19.4
20131029,0,19.67,19.76,19.32,19.48,1439800,19.48
20131028,0,19.52,19.8,19.48,19.69,934000,19.69
20131025,0,19.95,20.12,19.48,19.52,805000,19.52
20131024,0,19.85,19.98,19.77,19.87,605300,19.87
20131023,0,19.89,20,19.84,19.87,1381200,19.87
20131022,0,19.99,20.06,19.64,19.99,1158600,19.99
20131021,0,19.89,20,19.5,19.89,926900,19.89
20131018,0,19.66,20.01,19.65,19.89,1914100,19.89
20131017,0,19.35,19.68,19.3,19.51,1737700,19.51
20131016,0,19.61,19.75,19.37,19.45,946400,19.45
20131015,0,19.4,19.65,19.35,19.48,1251400,19.48
20131014,0,19.11,19.73,19.06,19.42,1599900,19.42
20131011,0,19.48,19.55,18.96,19.18,1625300,19.18
20131010,0,19.62,19.75,19.4,19.48,940100,19.48
20131009,0,19.1,19.56,19,19.31,1562700,19.31
20131008,0,20.12,20.18,18.76,19,2478000,19
20131007,0,20.69,20.94,20.17,20.19,1190000,20.19
20131004,0,20.78,21.19,20.69,20.9,734200,20.9
20131003,0,21.07,21.16,20.65,20.79,965500,20.79
20131002,0,21.57,21.84,21.06,21.16,1908800,21.16
20131001,0,20.82,21.84,20.63,21.76,1610500,21.76
20130930,0,20.46,20.91,20.35,20.86,994000,20.86
20130927,0,20.57,21.01,20.56,20.66,921400,20.66
20130926,0,20.68,21,20.6,20.81,1102500,20.81
20130925,0,20.92,21.13,20.6,20.65,1179000,20.65
20130924,0,20.81,21.19,20.74,20.87,1147000,20.87
20130923,0,21.25,21.27,20.6,20.79,1060900,20.79
20130920,0,21.37,21.58,21.16,21.26,1999700,21.26
20130919,0,21.72,21.9,21.25,21.35,1085000,21.35
20130918,0,21.96,22.07,21.36,21.71,1342600,21.71
20130917,0,21.72,22.2,21.72,22.02,854600,22.02
20130916,0,23.04,23.04,21.6,21.7,1419000,21.7
20130913,0,22.47,22.99,22.47,22.75,1068900,22.75
20130912,0,22.18,22.49,22,22.39,1214900,22.39
20130911,0,21.43,22.25,21.31,22.23,1729900,22.23
20130910,0,21.12,21.67,21.1,21.43,1400700,21.43
20130909,0,20.81,21.37,20.81,21.02,1660400,21.02
20130906,0,21.36,21.47,20.79,20.87,1345500,20.87
20130905,0,21.03,21.55,20.93,21.22,1115000,21.22
20130904,0,20.62,21.27,20.55,20.98,2429400,20.98
20130903,0,21.16,21.41,20.55,20.61,2046500,20.61
20130830,0,21.38,21.69,21.13,21.16,1242200,21.16
20130829,0,21.11,21.59,21.02,21.43,1254200,21.43
20130828,0,21.16,21.52,21.03,21.14,1559100,21.14
20130827,0,21.91,22.12,21.18,21.21,2324800,21.21
20130826,0,22.39,22.47,22.06,22.13,899400,22.13
20130823,0,22.03,22.48,21.99,22.38,1036700,22.38
20130822,0,21.78,22.08,21.65,22.03,595000,22.03
20130821,0,21.66,21.86,21.43,21.67,432700,21.67
20130820,0,21.59,21.88,21.39,21.76,647000,21.76
20130819,0,21.58,21.83,21.46,21.59,878800,21.59
20130816,0,21.2,21.79,21.2,21.58,976200,21.58
20130815,0,21.21,21.64,21.12,21.55,1061300,21.55
20130814,0,21.4,21.76,21.39,21.44,832200,21.44
20130813,0,21.65,21.68,21.11,21.52,1068800,21.52
20130812,0,20.71,21.77,20.71,21.63,1099400,21.63
20130809,0,21.01,21.31,20.84,21.19,830300,21.19
20130808,0,20.77,21.26,20.57,21.13,1435900,21.13
20130807,0,20.59,20.71,20.31,20.53,1200800,20.53
20130806,0,20.83,21,20.45,20.66,1567200,20.66
20130805,0,21.38,21.38,20.82,20.96,1847200,20.96
20130802,0,20.84,21.5,20.51,21.37,6925700,21.37
20130801,0,24.73,25.59,24.73,25.1,2375000,25.1
20130731,0,24.63,25,24.2,24.44,977700,24.44
20130730,0,24.48,24.93,24.13,24.49,970800,24.49
20130729,0,23.91,24.84,23.76,24.33,827800,24.33
20130726,0,24.27,24.47,24.05,24.11,1051500,24.11
