Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,4.72,4.78,4.71,4.76,172200,4.76
2013-09-26,4.68,4.72,4.64,4.69,535800,4.69
2013-09-25,4.53,4.69,4.53,4.69,564500,4.69
2013-09-24,4.53,4.55,4.49,4.52,384300,4.52
2013-09-23,4.56,4.58,4.50,4.53,340800,4.53
2013-09-20,4.68,4.68,4.56,4.56,1030600,4.56
2013-09-19,4.65,4.68,4.63,4.68,627300,4.68
2013-09-18,4.62,4.63,4.53,4.57,639400,4.57
2013-09-17,4.52,4.60,4.50,4.60,767400,4.60
2013-09-16,4.51,4.60,4.51,4.58,388200,4.58
2013-09-13,4.60,4.66,4.47,4.49,1154300,4.49
2013-09-12,4.67,4.68,4.57,4.59,813200,4.59
2013-09-11,4.74,4.74,4.68,4.70,463400,4.70
2013-09-10,4.68,4.79,4.68,4.74,474100,4.74
2013-09-09,4.70,4.72,4.63,4.66,332500,4.66
2013-09-06,4.73,4.80,4.61,4.80,676600,4.69
2013-09-05,4.78,4.80,4.70,4.73,438200,4.62
2013-09-04,4.86,4.86,4.74,4.78,298600,4.67
2013-09-03,4.76,4.86,4.75,4.85,521400,4.73
2013-09-02,4.65,4.77,4.61,4.76,455100,4.65
2013-08-30,4.49,4.64,4.42,4.60,879500,4.49
2013-08-29,4.69,4.70,4.31,4.48,1267900,4.37
2013-08-28,4.75,4.92,4.69,4.71,893300,4.60
2013-08-27,4.85,5.09,4.85,5.03,325600,4.91
2013-08-26,4.95,5.00,4.94,4.96,335500,4.84
2013-08-23,4.93,4.99,4.92,4.98,445600,4.86
2013-08-22,4.84,4.97,4.80,4.96,333800,4.84
2013-08-21,4.98,4.98,4.92,4.92,276800,4.80
2013-08-20,4.78,4.97,4.78,4.97,313400,4.85
2013-08-19,4.94,4.95,4.81,4.83,386800,4.71
2013-08-16,4.89,4.90,4.81,4.85,271500,4.73
2013-08-15,4.88,4.90,4.82,4.90,281500,4.78
2013-08-14,4.90,4.91,4.76,4.83,390000,4.71
2013-08-13,4.70,4.84,4.70,4.82,631600,4.70
2013-08-12,4.70,4.81,4.65,4.80,380600,4.69
2013-08-09,4.61,4.74,4.59,4.68,349300,4.57
2013-08-08,4.74,4.77,4.65,4.70,282800,4.59
2013-08-07,4.75,4.85,4.69,4.74,581200,4.63
2013-08-06,4.92,4.96,4.76,4.79,488600,4.68
2013-08-05,4.93,5.03,4.92,5.02,162700,4.90
2013-08-02,4.96,5.00,4.89,4.90,244700,4.78
2013-08-01,4.93,4.99,4.93,4.95,416700,4.83
2013-07-31,5.00,5.01,4.91,4.95,350000,4.83
2013-07-30,5.00,5.01,4.96,5.01,184500,4.89
2013-07-29,5.00,5.04,4.96,5.01,195400,4.89
2013-07-26,4.94,5.04,4.93,5.02,311100,4.90
2013-07-25,5.03,5.04,4.89,4.90,955500,4.78
2013-07-24,5.15,5.15,5.00,5.01,454500,4.89
2013-07-23,5.17,5.21,5.09,5.14,394000,5.02
2013-07-22,5.18,5.25,5.14,5.16,300600,5.04
