Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,32.02,32.02,31.47,31.89,280400,31.89
2013-09-26,32.09,32.71,31.83,32.26,457400,32.26
2013-09-25,31.64,32.09,31.51,31.95,433500,31.95
2013-09-24,31.84,32.08,31.16,31.67,346100,31.67
2013-09-23,32.04,32.19,31.34,31.72,564300,31.72
2013-09-20,31.96,32.18,31.46,32.06,913900,32.06
2013-09-19,31.97,32.19,31.71,31.87,706700,31.87
2013-09-18,30.84,32.00,30.79,31.75,939700,31.75
2013-09-17,30.08,30.87,30.08,30.83,368600,30.83
2013-09-16,30.67,30.69,29.80,30.01,370400,30.01
2013-09-13,30.18,30.40,29.42,30.17,797700,30.17
2013-09-12,29.77,30.50,29.55,30.04,1116300,30.04
2013-09-11,30.25,30.75,29.80,29.90,1439600,29.90
2013-09-10,30.33,31.70,30.33,31.13,757400,31.13
2013-09-09,30.71,31.30,29.88,30.09,1361200,30.09
2013-09-06,29.25,30.70,28.67,30.37,1193900,30.37
2013-09-05,28.94,29.27,28.78,29.01,443700,29.01
2013-09-04,29.15,29.44,28.76,28.99,382100,28.99
2013-09-03,28.67,29.22,28.36,29.02,517200,29.02
2013-08-30,29.11,29.20,28.08,28.22,370400,28.22
2013-08-29,28.26,29.10,28.24,29.04,700300,29.04
2013-08-28,27.92,28.70,27.70,28.41,360600,28.41
2013-08-27,28.38,28.49,27.96,28.00,430400,28.00
2013-08-26,28.74,28.84,28.57,28.71,331900,28.71
2013-08-23,28.92,29.08,28.19,28.71,496600,28.71
2013-08-22,28.66,29.05,28.65,28.91,265400,28.91
2013-08-21,28.85,28.86,28.37,28.53,528800,28.53
2013-08-20,28.90,29.24,28.02,28.89,696000,28.89
2013-08-19,29.29,29.45,28.72,28.99,543900,28.99
2013-08-16,28.72,29.47,28.50,29.25,689800,29.25
2013-08-15,28.18,29.11,27.91,28.84,1344400,28.84
2013-08-14,28.00,29.00,27.77,28.58,1072400,28.58
2013-08-13,27.70,28.04,27.32,27.94,788800,27.94
2013-08-12,26.89,27.66,26.63,27.53,1466800,27.53
2013-08-09,26.17,27.00,25.77,26.89,6190000,26.89
2013-08-08,28.40,28.43,28.02,28.16,646400,28.16
2013-08-07,28.14,28.42,27.75,28.20,1121800,28.20
2013-08-06,28.45,28.95,27.50,28.16,922400,28.16
2013-08-05,28.19,29.43,27.93,29.22,696500,29.22
2013-08-02,27.50,29.48,26.78,28.19,1705400,28.19
2013-08-01,26.08,27.50,26.07,27.41,1037900,27.41
2013-07-31,26.93,26.98,25.22,25.98,857100,25.98
2013-07-30,27.20,27.36,26.67,26.87,282400,26.87
2013-07-29,27.55,28.25,27.00,27.00,681000,27.00
2013-07-26,27.28,27.56,27.11,27.49,472900,27.49
2013-07-25,26.69,27.52,26.38,27.43,280800,27.43
2013-07-24,27.11,27.29,26.48,26.69,396800,26.69
2013-07-23,27.07,27.08,26.82,26.97,292000,26.97
2013-07-22,27.15,27.17,26.58,27.00,320700,27.00
2013-07-19,27.16,27.45,27.01,27.23,202000,27.23
2013-07-18,27.39,27.53,26.91,27.28,321200,27.28
2013-07-17,26.33,27.64,26.33,27.32,676000,27.32
2013-07-16,26.83,27.01,25.96,26.17,482500,26.17
2013-07-15,26.24,26.83,25.99,26.77,346400,26.77
2013-07-12,26.20,26.50,26.08,26.21,346200,26.21
2013-07-11,26.45,26.65,26.07,26.12,572600,26.12
2013-07-10,26.00,26.21,25.71,25.92,327100,25.92
2013-07-09,26.12,26.32,25.82,25.93,700800,25.93
2013-07-08,27.34,27.37,25.76,25.83,745700,25.83
2013-07-05,26.12,27.40,25.91,27.19,516900,27.19
2013-07-03,25.57,25.95,25.35,25.71,162500,25.71
2013-07-02,25.39,25.93,25.38,25.69,498800,25.69
2013-07-01,25.60,26.00,24.82,25.34,777400,25.34
2013-06-28,25.01,26.04,24.73,25.60,1925100,25.60
2013-06-27,24.63,25.64,24.50,25.01,1361800,25.01
2013-06-26,23.74,24.58,23.50,24.37,869600,24.37
2013-06-25,22.78,23.52,22.72,23.47,542500,23.47
2013-06-24,22.34,22.79,22.26,22.57,419800,22.57
2013-06-21,23.08,23.15,22.34,22.66,626800,22.66
2013-06-20,22.35,23.13,21.59,22.94,724800,22.94
2013-06-19,22.52,23.17,22.37,22.78,285400,22.78
2013-06-18,22.30,22.70,22.30,22.49,238000,22.49
2013-06-17,22.12,22.51,21.89,22.25,193900,22.25
2013-06-14,21.90,22.00,21.61,21.81,106400,21.81
2013-06-13,21.55,21.99,21.19,21.95,229500,21.95
2013-06-12,22.14,22.23,21.55,21.55,183600,21.55
2013-06-11,21.97,22.27,21.70,21.99,266800,21.99
2013-06-10,22.69,22.69,22.03,22.28,310100,22.28
2013-06-07,21.73,22.85,21.54,22.55,687000,22.55
2013-06-06,21.12,21.66,21.00,21.60,203300,21.60
2013-06-05,21.37,21.50,21.08,21.14,162600,21.14
2013-06-04,21.50,21.83,21.17,21.47,364700,21.47
2013-06-03,20.96,21.40,20.26,21.34,485000,21.34
2013-05-31,21.32,21.60,20.95,20.99,206700,20.99
2013-05-30,21.27,21.48,21.26,21.42,172200,21.42
2013-05-29,21.38,21.64,20.96,21.24,200800,21.24
2013-05-28,21.57,21.67,21.40,21.52,355200,21.52
2013-05-24,20.71,21.31,20.66,21.16,261000,21.16
2013-05-23,20.21,20.92,19.85,20.84,440000,20.84
2013-05-22,21.02,21.43,20.50,20.71,522700,20.71
2013-05-21,21.88,21.93,21.00,21.15,1129000,21.15
2013-05-20,21.64,22.84,21.50,22.43,951400,22.43
2013-05-17,20.57,21.60,20.36,21.46,1008800,21.46
2013-05-16,20.10,20.80,20.10,20.58,583400,20.58
2013-05-15,19.84,20.25,19.83,20.13,368300,20.13
2013-05-14,19.69,20.19,19.69,19.89,528600,19.89
2013-05-13,19.39,19.66,19.30,19.62,364900,19.62
2013-05-10,19.10,19.41,18.81,19.41,308000,19.41
2013-05-09,19.18,19.19,18.93,19.08,259600,19.08
2013-05-08,18.91,19.30,18.72,19.24,270600,19.24
2013-05-07,18.80,19.22,18.79,18.92,213900,18.92
2013-05-06,19.00,19.37,18.72,18.93,368500,18.93
2013-05-03,18.00,19.88,17.91,19.00,1498800,19.00
2013-05-02,17.82,17.95,17.61,17.77,328700,17.77
2013-05-01,17.31,17.90,17.31,17.72,453900,17.72
2013-04-30,17.41,17.74,17.26,17.40,297200,17.40
2013-04-29,17.43,17.49,17.26,17.42,144000,17.42
2013-04-26,17.19,17.35,17.13,17.29,278400,17.29
2013-04-25,17.14,17.50,16.94,17.26,311400,17.26
2013-04-24,16.96,17.20,16.87,17.07,281700,17.07
2013-04-23,16.63,17.17,16.63,16.96,255600,16.96
2013-04-22,16.49,17.00,16.28,16.49,239100,16.49
