Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,48.88,48.88,47.00,48.22,724800,48.22
2013-09-26,47.58,49.25,46.99,48.90,1297800,48.90
2013-09-25,46.26,47.25,45.61,46.69,619600,46.69
2013-09-24,46.74,48.00,45.60,46.07,1187000,46.07
2013-09-23,48.93,48.94,44.77,46.59,2310900,46.59
2013-09-20,50.70,51.38,48.75,48.94,1594600,48.94
2013-09-19,49.04,50.94,48.45,50.07,2189400,50.07
2013-09-18,47.40,48.58,46.71,48.10,1541200,48.10
2013-09-17,45.27,47.51,45.27,47.05,933500,47.05
2013-09-16,46.14,48.40,44.88,45.80,1907400,45.80
2013-09-13,47.14,47.60,44.01,45.96,1569900,45.96
2013-09-12,47.34,48.18,46.01,47.29,1296300,47.29
2013-09-11,48.72,48.95,45.80,46.68,2237700,46.68
2013-09-10,48.00,49.82,47.03,48.88,3576800,48.88
2013-09-09,43.99,47.15,43.60,46.49,2662500,46.49
2013-09-06,44.11,44.57,41.58,42.89,2194400,42.89
2013-09-05,42.76,43.99,40.51,43.70,3312200,43.70
2013-09-04,40.37,41.49,40.35,40.91,782200,40.91
2013-09-03,40.64,42.90,39.75,40.30,1712600,40.30
2013-08-30,40.76,41.24,39.30,39.46,1314700,39.46
2013-08-29,39.83,40.49,39.01,39.71,471300,39.71
2013-08-28,38.68,39.88,38.50,39.33,313300,39.33
2013-08-27,40.20,41.12,38.59,39.19,790800,39.19
2013-08-26,39.12,42.26,39.00,41.63,1136800,41.63
2013-08-23,37.55,39.18,37.55,38.77,907500,38.77
2013-08-22,39.50,39.64,36.19,37.18,1333600,37.18
2013-08-21,40.31,40.69,39.30,39.43,493100,39.43
2013-08-20,40.80,41.50,39.70,40.69,631000,40.69
2013-08-19,39.40,42.42,39.40,40.64,1381000,40.64
2013-08-16,38.30,40.26,38.01,39.37,671200,39.37
2013-08-15,41.00,41.42,38.05,38.57,1504200,38.57
2013-08-14,41.91,42.82,41.50,42.01,658200,42.01
2013-08-13,41.08,42.13,40.25,41.74,722400,41.74
2013-08-12,42.00,42.41,40.51,40.89,666200,40.89
2013-08-09,43.00,43.00,40.63,41.60,642100,41.60
2013-08-08,41.89,42.20,41.17,41.99,841400,41.99
2013-08-07,42.10,42.40,40.03,40.67,1101300,40.67
2013-08-06,44.07,44.67,41.80,42.31,1722400,42.31
2013-08-05,42.73,44.64,40.75,44.29,1857700,44.29
2013-08-02,47.56,48.00,41.20,41.80,4637800,41.80
2013-08-01,43.92,43.92,40.00,41.84,2535900,41.84
2013-07-31,41.26,44.09,39.50,43.69,1389300,43.69
2013-07-30,42.05,42.15,40.00,40.36,745600,40.36
2013-07-29,41.73,42.25,40.00,41.99,992600,41.99
2013-07-26,39.26,42.80,38.67,41.39,1823300,41.39
2013-07-25,35.57,39.82,35.07,39.35,1537900,39.35
2013-07-24,35.50,36.18,34.80,35.42,891900,35.42
2013-07-23,36.38,36.75,35.23,35.51,463700,35.51
2013-07-22,37.42,37.42,34.91,36.27,1051600,36.27
2013-07-19,35.50,36.94,34.62,36.18,1489600,36.18
2013-07-18,34.69,35.73,33.90,35.10,1097700,35.10
