Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,409.00,418.20,409.00,417.80,3318100,417.80
2013-09-26,407.20,413.00,404.20,409.00,2677300,409.00
2013-09-25,400.00,410.00,400.00,409.60,2692100,409.60
2013-09-24,411.20,411.20,401.00,402.60,4213500,402.60
2013-09-23,410.20,413.00,405.60,409.20,3633200,409.20
2013-09-20,410.20,410.20,410.20,410.20,000,410.20
2013-09-19,411.20,415.60,408.00,410.20,6517200,410.20
2013-09-18,411.00,412.20,400.60,402.40,6462500,402.40
2013-09-17,421.60,422.00,415.60,418.80,4862000,418.80
2013-09-16,418.00,422.40,415.80,421.20,3739300,421.20
2013-09-13,407.00,414.20,406.20,410.80,3440800,410.80
2013-09-12,400.00,413.20,398.60,412.80,4025400,412.80
2013-09-11,400.00,405.80,399.40,402.20,3892800,402.20
2013-09-10,396.00,399.00,395.00,399.00,3661900,399.00
2013-09-09,388.80,392.40,387.00,390.40,2929400,390.40
2013-09-06,389.00,389.80,383.00,387.00,3621200,387.00
2013-09-05,385.00,388.60,382.60,387.60,4614500,387.60
2013-09-04,377.80,385.00,376.20,379.00,3559800,379.00
2013-09-03,377.80,384.80,376.60,379.80,3870800,379.80
2013-09-02,369.20,377.20,367.00,376.40,4015800,376.40
2013-08-30,358.00,364.20,357.20,363.60,2383800,363.60
2013-08-29,357.00,363.60,356.60,361.80,2480700,361.80
2013-08-28,357.80,361.60,356.00,356.20,2741200,356.20
2013-08-27,355.00,368.00,354.80,362.00,2871900,362.00
2013-08-26,352.20,359.60,352.00,356.80,2129400,356.80
2013-08-23,358.00,360.00,353.20,355.80,3344600,355.80
2013-08-22,353.00,360.40,351.00,360.00,4500900,360.00
2013-08-21,360.20,363.60,357.00,360.00,3582600,360.00
2013-08-20,370.00,373.80,362.00,364.00,4481900,364.00
2013-08-19,366.00,374.60,365.00,370.20,2192500,370.20
2013-08-16,364.80,377.40,360.20,366.60,4873000,366.60
2013-08-15,366.00,378.80,351.40,368.00,11849100,368.00
2013-08-14,370.00,370.00,370.00,370.00,000,370.00
2013-08-13,366.00,372.80,365.60,370.00,3058800,370.00
2013-08-12,357.00,369.60,353.20,367.40,3231500,367.40
2013-08-09,357.40,361.20,354.40,357.40,2325900,357.40
2013-08-08,363.00,365.80,354.20,356.40,4025800,356.40
2013-08-07,372.80,380.00,359.40,360.20,4884000,360.20
2013-08-06,370.00,379.00,368.20,375.60,3944700,375.60
2013-08-05,361.20,373.60,361.20,371.00,4008000,371.00
2013-08-02,359.00,363.00,357.00,360.20,3379800,360.20
2013-08-01,354.00,361.80,354.00,360.60,4451800,360.60
2013-07-31,357.20,362.40,348.40,351.80,7117600,351.80
2013-07-30,352.20,364.00,348.80,363.60,6616500,363.60
2013-07-29,350.80,355.80,348.40,349.60,4946400,349.60
2013-07-26,340.00,350.40,337.80,347.40,6269700,347.40
2013-07-25,330.00,336.20,329.20,334.40,3230900,334.40
2013-07-24,330.00,334.00,329.80,330.80,2494600,330.80
2013-07-23,326.40,333.00,326.40,332.60,3505800,332.60
2013-07-22,334.80,337.00,325.40,327.60,2966500,327.60
2013-07-19,331.00,335.20,325.20,333.80,5014000,333.80
2013-07-18,334.00,334.80,326.60,327.80,3217400,327.80
2013-07-17,334.00,334.00,325.20,330.00,4741400,330.00
2013-07-16,321.40,331.60,320.00,329.80,5900300,329.80
2013-07-15,310.00,322.00,309.80,321.40,5251700,321.40
2013-07-12,311.20,312.60,306.80,309.80,1876800,309.80
2013-07-11,308.00,311.20,305.00,310.80,3144700,310.80
2013-07-10,305.00,305.80,301.00,304.40,3036000,304.40
2013-07-09,302.40,307.80,299.40,301.40,2764200,301.40
2013-07-08,306.80,307.20,296.00,302.40,3889800,302.40
2013-07-05,309.00,310.00,306.00,308.40,2426000,308.40
2013-07-04,301.00,307.40,301.00,306.40,2919200,306.40
2013-07-03,302.00,306.80,296.00,298.80,4772900,298.80
2013-07-02,313.20,313.60,301.60,301.80,4078300,301.80
2013-07-01,304.20,304.20,304.20,304.20,000,304.20
2013-06-28,306.00,306.00,300.00,304.20,5078700,304.20
2013-06-27,298.00,301.60,294.40,297.80,5130000,297.80
2013-06-26,283.60,291.00,279.60,290.40,5154900,290.40
2013-06-25,278.00,285.60,269.40,283.40,6855200,283.40
2013-06-24,281.80,282.00,276.00,278.60,5629000,278.60
2013-06-21,287.20,288.00,280.20,285.80,8791000,285.80
2013-06-20,293.00,295.20,289.20,290.20,6211200,290.20
2013-06-19,301.00,303.00,298.00,299.60,4637800,299.60
2013-06-18,300.60,304.00,298.40,300.60,3255800,300.60
2013-06-17,301.40,308.00,298.40,301.00,3270800,301.00
2013-06-14,300.00,303.40,300.00,300.80,2963500,300.80
2013-06-13,300.20,305.00,292.20,297.80,6829800,297.80
2013-06-12,304.80,304.80,304.80,304.80,000,304.80
2013-06-11,306.00,311.80,303.00,304.80,3503200,304.80
2013-06-10,300.00,314.00,300.00,305.20,3822700,305.20
2013-06-07,301.00,302.20,297.80,299.80,3289400,299.80
2013-06-06,300.00,301.00,297.00,300.20,3470000,300.20
2013-06-05,300.00,303.20,300.00,300.40,2462100,300.40
2013-06-04,304.60,308.40,303.00,303.40,2929600,303.40
2013-06-03,306.20,315.00,303.00,303.20,3508200,303.20
2013-05-31,309.60,309.60,304.80,307.80,3939500,307.80
2013-05-30,303.60,308.60,303.60,307.80,3627700,307.80
2013-05-29,300.00,308.80,300.00,303.60,4047000,303.60
2013-05-28,300.00,304.80,298.80,304.20,2779100,304.20
2013-05-27,299.40,302.00,297.20,300.40,2258700,300.40
2013-05-24,291.60,302.60,291.60,299.40,4505200,299.40
2013-05-23,301.00,303.00,289.80,292.80,5457900,292.80
2013-05-22,304.00,308.00,300.00,303.00,3157700,303.00
2013-05-21,308.00,309.00,302.40,304.00,6659400,304.00
2013-05-20,293.00,310.00,293.00,309.40,12488600,309.40
2013-05-17,292.20,292.20,292.20,292.20,000,291.20
2013-05-16,288.00,295.40,283.00,292.20,12734700,291.20
2013-05-15,270.60,276.40,270.40,274.40,2897600,273.46
2013-05-14,269.00,272.60,266.40,269.80,3073700,268.88
2013-05-13,273.80,275.00,267.00,268.80,2568200,267.88
2013-05-10,275.00,277.00,272.20,276.80,1713400,275.85
2013-05-09,275.80,276.00,272.60,273.80,1654600,272.86
2013-05-08,275.20,277.00,270.80,274.60,1712900,273.66
2013-05-07,274.20,276.00,272.80,275.20,1421600,274.26
2013-05-06,276.00,276.00,273.00,274.80,2421900,273.86
2013-05-03,282.00,282.00,270.00,271.00,3983200,270.07
2013-05-02,267.00,275.60,263.40,273.40,6859900,272.46
2013-05-01,266.20,266.20,266.20,266.20,000,265.29
2013-04-30,267.00,268.60,264.40,266.20,4940400,265.29
2013-04-29,262.00,262.00,259.60,262.00,3418700,261.10
2013-04-26,259.20,260.00,258.00,259.00,3385900,258.11
2013-04-25,256.00,256.00,252.40,255.60,3474700,254.73
2013-04-24,255.00,255.20,252.20,254.40,3139300,253.53
2013-04-23,255.00,255.80,250.40,251.60,2395300,250.74
2013-04-22,254.00,256.60,252.20,255.00,3079400,254.13
2013-04-19,249.80,254.60,247.60,253.00,4778100,252.13
2013-04-18,246.40,249.80,246.40,247.20,3124100,246.35
2013-04-17,247.60,252.40,246.80,250.00,7106200,249.14
2013-04-16,245.60,248.40,243.00,244.60,4615200,243.76
2013-04-15,247.00,247.60,244.40,246.00,2678100,245.16
2013-04-12,251.00,251.60,248.80,250.00,4425600,249.14
2013-04-11,250.60,253.00,249.20,250.40,4718200,249.54
2013-04-10,249.40,251.80,248.00,249.40,4099000,248.55
2013-04-09,245.00,248.40,245.00,247.60,5259700,246.75
2013-04-08,240.00,242.80,239.00,241.20,4383500,240.37
2013-04-05,240.00,242.00,237.00,237.20,4984400,236.39
2013-04-04,242.80,242.80,242.80,242.80,000,241.97
2013-04-03,244.60,245.80,241.60,242.80,4366700,241.97
2013-04-02,242.00,246.00,241.00,242.80,5859800,241.97
2013-04-01,246.80,246.80,246.80,246.80,000,245.96
2013-03-29,246.80,246.80,246.80,246.80,000,245.96
2013-03-28,254.00,254.00,246.20,246.80,5434100,245.96
2013-03-27,255.00,255.00,250.00,250.60,5703000,249.74
2013-03-26,243.40,250.20,243.00,248.40,7536100,247.55
2013-03-25,243.00,244.60,239.40,240.80,10007200,239.98
2013-03-22,250.00,251.40,245.00,245.40,12368300,244.56
2013-03-21,250.00,260.00,240.00,252.40,17176300,251.54
2013-03-20,258.00,265.00,256.20,262.80,6320500,261.90
2013-03-19,268.40,268.60,257.00,259.20,8183400,258.31
2013-03-18,273.20,273.60,263.00,263.20,9106100,262.30
2013-03-15,274.60,278.00,272.40,274.20,17530900,273.26
2013-03-14,278.20,278.20,274.00,275.80,5819900,274.86
2013-03-13,282.00,282.00,275.00,278.20,3905100,277.25
2013-03-12,279.20,282.20,277.40,278.40,2952500,277.45
2013-03-11,285.00,286.00,279.20,281.60,3387200,280.64
2013-03-08,282.00,284.80,280.60,284.40,4803100,283.43
2013-03-07,277.80,279.80,276.40,279.60,3053500,278.64
2013-03-06,280.00,282.60,275.80,278.80,6541900,277.85
2013-03-05,277.20,279.00,275.00,275.40,4676700,274.46
2013-03-04,271.20,275.00,270.20,274.20,5322400,273.26
2013-03-01,270.40,271.00,266.00,268.60,3191200,267.68
2013-02-28,263.00,268.60,262.60,268.20,4228700,267.28
2013-02-27,268.00,268.00,263.20,264.20,3479700,263.30
2013-02-26,263.00,269.20,263.00,267.00,3549300,266.09
2013-02-25,266.60,266.80,264.20,264.80,2353700,263.89
2013-02-22,268.00,270.20,263.60,264.40,6139000,263.50
2013-02-21,271.00,274.00,271.00,271.80,3829600,270.87
2013-02-20,274.00,278.80,274.00,276.60,3568600,275.65
2013-02-19,275.40,278.60,274.80,275.00,4055300,274.06
2013-02-18,274.00,276.60,271.00,275.00,2412900,274.06
2013-02-15,272.40,276.60,270.00,274.40,2673800,273.46
2013-02-14,273.00,273.00,269.00,271.80,2347900,270.87
2013-02-13,270.60,270.60,270.60,270.60,000,269.67
2013-02-12,270.60,270.60,270.60,270.60,000,269.67
2013-02-11,270.60,270.60,270.60,270.60,000,269.67
2013-02-08,272.00,273.00,267.40,270.60,3324500,269.67
2013-02-07,264.00,273.00,264.00,272.00,2932800,271.07
2013-02-06,267.20,267.20,264.80,267.00,1898500,266.09
2013-02-05,264.00,266.40,263.40,265.40,2658300,264.49
2013-02-04,273.60,273.60,268.40,268.80,2059400,267.88
2013-02-01,268.00,270.20,267.40,268.60,1706000,267.68
2013-01-31,272.80,272.80,270.20,271.40,2956200,270.47
2013-01-30,269.80,272.00,268.60,270.80,3222000,269.87
2013-01-29,267.80,269.40,266.00,267.20,2636800,266.29
2013-01-28,268.00,269.00,265.20,267.80,3004900,266.88
2013-01-25,272.80,272.80,266.80,267.20,5161500,266.29
2013-01-24,268.00,272.00,267.20,270.80,2893600,269.87
2013-01-23,271.60,271.60,268.20,269.00,3270000,268.08
2013-01-22,270.00,270.40,267.00,269.00,2479700,268.08
2013-01-21,272.80,273.00,268.00,268.40,4064200,267.48
2013-01-18,269.60,271.80,268.60,270.40,4994100,269.47
2013-01-17,267.20,269.20,263.00,267.40,7959000,266.48
2013-01-16,260.40,268.80,258.40,267.20,7307100,266.29
2013-01-15,257.00,258.40,253.20,258.20,3425200,257.32
2013-01-14,256.40,256.60,254.00,254.80,4234500,253.93
2013-01-11,253.80,256.40,253.20,255.20,3077100,254.33
2013-01-10,252.40,256.60,252.00,253.40,3105800,252.53
2013-01-09,256.80,257.80,252.60,253.20,3392000,252.33
2013-01-08,253.00,255.80,252.00,255.60,2970800,254.73
2013-01-07,259.80,259.80,252.20,255.60,3956700,254.73
2013-01-04,260.40,260.60,256.60,259.20,2631000,258.31
2013-01-03,261.00,261.60,256.20,259.60,4506400,258.71
2013-01-02,251.00,258.40,250.60,257.40,5338100,256.52
2013-01-01,249.00,249.00,249.00,249.00,000,248.15
2012-12-31,250.00,250.40,247.60,249.00,1317500,248.15
2012-12-28,251.00,251.20,247.20,250.00,2224700,249.14
2012-12-27,250.00,250.00,246.00,247.60,2779200,246.75
2012-12-26,246.40,246.40,246.40,246.40,000,245.56
2012-12-25,246.40,246.40,246.40,246.40,000,245.56
2012-12-24,250.20,250.20,245.20,246.40,958500,245.56
2012-12-21,247.00,248.20,245.60,247.80,2856500,246.95
2012-12-20,248.00,249.60,245.80,249.00,3344300,248.15
2012-12-19,251.20,251.20,247.40,249.40,3519600,248.55
2012-12-18,248.40,251.00,248.40,250.20,2436200,249.34
2012-12-17,250.00,251.20,245.80,249.40,3333000,248.55
2012-12-14,250.00,252.60,250.00,251.60,2259900,250.74
2012-12-13,251.00,253.20,250.80,252.80,2932700,251.93
