date,time,open price,high price,low price,close price,volume,adjusted price
20140129,0,0.23,0.25,0.22,0.23,3540900,0.23
20140128,0,0.19,0.23,0.19,0.23,3391700,0.23
20140127,0,0.19,0.2,0.19,0.19,45700,0.19
20140124,0,0.19,0.2,0.19,0.19,503000,0.19
20140123,0,0.2,0.2,0.19,0.2,25100,0.2
20140122,0,0.19,0.2,0.19,0.2,108100,0.2
20140121,0,0.2,0.2,0.19,0.19,288000,0.19
20140120,0,0.2,0.21,0.19,0.2,358800,0.2
20140117,0,0.2,0.21,0.19,0.2,231900,0.2
20140116,0,0.21,0.21,0.2,0.2,397800,0.2
20140115,0,0.2,0.21,0.2,0.2,304100,0.2
20140114,0,0.21,0.21,0.2,0.2,378800,0.2
20140113,0,0.2,0.21,0.2,0.21,512700,0.21
20140110,0,0.2,0.2,0.19,0.2,420200,0.2
20140109,0,0.2,0.21,0.2,0.2,858800,0.2
20140108,0,0.19,0.2,0.19,0.2,271900,0.2
20140107,0,0.19,0.2,0.18,0.2,590000,0.2
20140106,0,0.19,0.19,0.18,0.18,166600,0.18
20140103,0,0.2,0.2,0.18,0.18,473000,0.18
20140102,0,0.18,0.2,0.17,0.2,1583200,0.2
20140101,0,0.18,0.18,0.18,0.18,0,0.18
20131231,0,0.17,0.18,0.16,0.18,319200,0.18
20131230,0,0.16,0.17,0.16,0.17,181800,0.17
20131227,0,0.17,0.17,0.16,0.17,94600,0.17
20131226,0,0.17,0.17,0.17,0.17,0,0.17
20131225,0,0.17,0.17,0.17,0.17,0,0.17
20131224,0,0.16,0.17,0.16,0.17,81300,0.17
20131223,0,0.17,0.17,0.16,0.16,248200,0.16
20131220,0,0.17,0.18,0.16,0.18,191900,0.18
20131219,0,0.16,0.18,0.16,0.17,1187100,0.17
20131218,0,0.17,0.17,0.16,0.17,129000,0.17
20131217,0,0.17,0.17,0.16,0.17,551100,0.17
20131216,0,0.17,0.18,0.17,0.18,221000,0.18
20131213,0,0.17,0.18,0.17,0.18,574800,0.18
20131212,0,0.19,0.19,0.16,0.17,5139300,0.17
20131211,0,0.2,0.2,0.19,0.19,49600,0.19
20131210,0,0.2,0.2,0.19,0.2,116900,0.2
20131209,0,0.19,0.21,0.19,0.2,605300,0.2
20131206,0,0.2,0.2,0.19,0.19,76600,0.19
20131205,0,0.19,0.2,0.19,0.2,261500,0.2
20131204,0,0.2,0.2,0.19,0.19,546300,0.19
20131203,0,0.21,0.21,0.2,0.21,770000,0.21
20131202,0,0.21,0.22,0.21,0.22,108400,0.22
20131129,0,0.22,0.22,0.21,0.22,12600,0.22
20131128,0,0.22,0.22,0.21,0.21,24100,0.21
20131127,0,0.22,0.22,0.21,0.21,116100,0.21
20131126,0,0.22,0.23,0.21,0.22,867900,0.22
20131125,0,0.21,0.22,0.2,0.22,759400,0.22
20131122,0,0.21,0.21,0.2,0.2,67200,0.2
20131121,0,0.21,0.21,0.2,0.2,411100,0.2
20131120,0,0.21,0.21,0.2,0.21,538500,0.21
20131119,0,0.21,0.21,0.2,0.21,850700,0.21
20131118,0,0.24,0.24,0.2,0.21,3889500,0.21
20131115,0,0.24,0.25,0.24,0.24,295900,0.24
20131114,0,0.25,0.25,0.23,0.24,988300,0.24
20131113,0,0.25,0.26,0.25,0.25,82900,0.25
20131112,0,0.25,0.26,0.24,0.25,86900,0.25
20131111,0,0.25,0.26,0.25,0.25,80000,0.25
20131108,0,0.25,0.25,0.25,0.25,203500,0.25
20131107,0,0.26,0.26,0.25,0.25,311000,0.25
20131106,0,0.25,0.27,0.25,0.26,446300,0.26
20131105,0,0.26,0.26,0.25,0.26,103300,0.26
20131104,0,0.26,0.26,0.25,0.26,447700,0.26
20131101,0,0.24,0.27,0.24,0.26,1629400,0.26
20131031,0,0.24,0.25,0.24,0.24,561500,0.24
20131030,0,0.25,0.26,0.24,0.25,380300,0.25
20131029,0,0.27,0.27,0.25,0.25,509500,0.25
20131028,0,0.27,0.28,0.26,0.27,998600,0.27
20131025,0,0.26,0.27,0.26,0.27,472900,0.27
20131024,0,0.29,0.3,0.26,0.27,2627400,0.27
20131023,0,0.31,0.32,0.28,0.29,2654000,0.29
20131022,0,0.3,0.35,0.28,0.32,7951800,0.32
