Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,29.27,29.27,29.27,29.27,000,29.27
2013-09-26,28.83,29.28,28.83,29.28,600,29.28
2013-09-25,28.93,28.93,28.76,28.76,100,28.76
2013-09-24,29.00,29.00,29.00,29.00,000,29.00
2013-09-23,28.69,29.00,28.50,29.00,200,29.00
2013-09-20,28.53,28.70,28.53,28.70,200,28.70
2013-09-19,28.53,28.53,28.53,28.53,000,28.53
2013-09-18,28.51,28.51,28.51,28.51,000,28.51
2013-09-17,28.51,28.51,28.50,28.50,000,28.50
2013-09-16,28.50,28.70,28.30,28.50,200,28.50
2013-09-13,28.50,28.50,28.50,28.50,000,28.50
2013-09-12,28.50,28.50,28.50,28.50,000,28.50
2013-09-11,28.20,28.50,28.20,28.50,100,28.50
2013-09-10,28.20,28.20,28.20,28.20,000,28.20
2013-09-09,28.20,28.20,28.20,28.20,000,28.20
2013-09-06,28.20,28.20,28.20,28.20,000,28.20
2013-09-05,28.20,28.20,28.20,28.20,000,28.20
2013-09-04,28.20,28.20,27.82,28.20,9100,28.20
2013-09-03,28.00,28.20,28.00,28.20,500,28.20
2013-09-02,28.00,28.00,28.00,28.00,200,28.00
2013-08-30,28.01,28.01,27.81,27.81,000,27.81
2013-08-29,28.24,28.55,28.01,28.01,1000,28.01
2013-08-28,28.24,28.24,28.24,28.24,000,28.24
2013-08-27,27.81,28.23,27.81,28.23,400,28.23
2013-08-26,27.81,27.81,27.81,27.81,000,27.81
2013-08-23,28.02,28.02,27.81,27.81,100,27.81
2013-08-22,28.02,28.02,28.02,28.02,000,28.02
2013-08-21,28.02,28.02,28.02,28.02,000,28.02
2013-08-20,28.02,28.02,28.02,28.02,000,28.02
2013-08-19,28.02,28.02,28.02,28.02,000,28.02
2013-08-16,28.02,28.02,28.02,28.02,000,28.02
2013-08-15,28.02,28.02,28.02,28.02,000,28.02
2013-08-14,28.24,28.24,28.02,28.02,000,28.02
2013-08-13,28.24,28.24,28.24,28.24,100,28.24
2013-08-12,28.24,28.24,28.24,28.24,100,28.24
2013-08-09,28.24,28.24,28.24,28.24,100,28.24
2013-08-08,28.24,28.24,28.24,28.24,200,28.24
2013-08-07,28.24,28.24,28.24,28.24,000,28.24
2013-08-06,28.02,28.24,28.02,28.24,800,28.24
2013-08-05,28.03,28.10,28.03,28.03,100,28.03
2013-08-02,28.02,28.02,28.01,28.01,000,28.01
2013-08-01,28.01,28.01,28.01,28.01,000,28.01
2013-07-31,28.00,28.00,28.00,28.00,100,28.00
2013-07-30,28.00,28.00,28.00,28.00,800,28.00
2013-07-29,28.00,28.00,27.72,28.00,2100,28.00
2013-07-26,27.76,27.76,27.76,27.76,000,27.76
2013-07-25,28.00,28.15,27.76,27.76,200,27.76
2013-07-24,27.35,28.00,27.35,28.00,1300,28.00
